,Teams,Threat allowed av,Matches,Threat allowed GW47 7 - average,Threat allowed GW46 7 - average,Threat allowed GW45 7 - average,Threat allowed GW44 7 - average,Threat allowed GW43 7 - average,Threat allowed GW42 7 - average,Threat allowed GW41 7 - average,Threat allowed GW40 7 - average,Threat allowed GW39* 7 - average,Threat allowed GW39 7 - average,Threat allowed GW38 7 - average,Threat allowed GW37 7 - average,Threat allowed GW36 7 - average,Threat allowed GW35 7 - average,Threat allowed GW34 7 - average,Threat allowed GW33 7 - average,Threat allowed GW32 7 - average,Threat allowed GW31 7 - average,Threat allowed GW30 7 - average,Threat allowed GW29 7 - average,Threat allowed GW28 7 - average,Threat allowed GW27 7 - average,Threat allowed GW26 7 - average,Threat allowed GW25 7 - average,Threat allowed GW24* 7 - average,Threat allowed GW24 7 - average,Threat allowed GW23 7 - average,Threat allowed GW22 7 - average,Threat allowed GW21 7 - average,Threat allowed GW20 7 - average,Threat allowed GW19 7 - average,Threat allowed GW18 7 - average,Threat allowed GW17 7 - average,Threat allowed GW16 7 - average,Threat allowed GW15 7 - average,Threat allowed GW14 7 - average,Threat allowed GW13 7 - average,Threat allowed GW12 7 - average,Threat allowed GW11 7 - average,Threat allowed GW10 7 - average,Threat allowed GW9 7 - average,Threat allowed GW8 7 - average,Threat allowed GW7 7 - average,Threat allowed GW47 color,Threat allowed GW47,Threat allowed GW46 color,Threat allowed GW46,Threat allowed GW45 color,Threat allowed GW45,Threat allowed GW44 color,Threat allowed GW44,Threat allowed GW43 color,Threat allowed GW43,Threat allowed GW42 color,Threat allowed GW42,Threat allowed GW41 color,Threat allowed GW41,Threat allowed GW40 color,Threat allowed GW40,Threat allowed GW39* color,Threat allowed GW39*,Threat allowed GW39 color,Threat allowed GW39,Threat allowed GW38 color,Threat allowed GW38,Threat allowed GW37 color,Threat allowed GW37,Threat allowed GW36 color,Threat allowed GW36,Threat allowed GW35 color,Threat allowed GW35,Threat allowed GW34 color,Threat allowed GW34,Threat allowed GW33 color,Threat allowed GW33,Threat allowed GW32 color,Threat allowed GW32,Threat allowed GW31 color,Threat allowed GW31,Threat allowed GW30 color,Threat allowed GW30,Threat allowed GW29 color,Threat allowed GW29,Threat allowed GW28 color,Threat allowed GW28,Threat allowed GW27 color,Threat allowed GW27,Threat allowed GW26 color,Threat allowed GW26,Threat allowed GW25 color,Threat allowed GW25,Threat allowed GW24* color,Threat allowed GW24*,Threat allowed GW24 color,Threat allowed GW24,Threat allowed GW23 color,Threat allowed GW23,Threat allowed GW22 color,Threat allowed GW22,Threat allowed GW21 color,Threat allowed GW21,Threat allowed GW20 color,Threat allowed GW20,Threat allowed GW19 color,Threat allowed GW19,Threat allowed GW18 color,Threat allowed GW18,Threat allowed GW17 color,Threat allowed GW17,Threat allowed GW16 color,Threat allowed GW16,Threat allowed GW15 color,Threat allowed GW15,Threat allowed GW14 color,Threat allowed GW14,Threat allowed GW13 color,Threat allowed GW13,Threat allowed GW12 color,Threat allowed GW12,Threat allowed GW11 color,Threat allowed GW11,Threat allowed GW10 color,Threat allowed GW10,Threat allowed GW9 color,Threat allowed GW9,Threat allowed GW8 color,Threat allowed GW8,Threat allowed GW7 color,Threat allowed GW7,Threat allowed GW6 color,Threat allowed GW6,Threat allowed GW5 color,Threat allowed GW5,Threat allowed GW4 color,Threat allowed GW4,Threat allowed GW3 color,Threat allowed GW3,Threat allowed GW2 color,Threat allowed GW2,Threat allowed GW1 color,Threat allowed GW1
1,Norwich,225.47368421052633,38,248.28571428571428,206.0,203.0,186.57142857142858,178.85714285714286,191.28571428571428,213.0,211.85714285714286,217.14285714285714,217.14285714285714,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,194.0,203.0,203.0,197.28571428571428,180.71428571428572,192.85714285714286,192.85714285714286,190.42857142857142,188.42857142857142,187.57142857142858,209.14285714285714,217.71428571428572,216.71428571428572,220.0,232.0,236.57142857142858,242.71428571428572,225.28571428571428,221.57142857142858,257.57142857142856,259.0,259.42857142857144,257.85714285714283,251.28571428571428,red,476.0,red,311.0,red,283.0,red,253.0,light green,144.0,green,101.0,pink,170.0,red,180.0,white,,red,290.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,168.0,red,199.0,red,231.0,red,253.0,pink,162.0,white,,red,217.0,light green,128.0,red,231.0,red,199.0,red,191.0,light green,137.0,red,247.0,red,200.0,green,114.0,red,225.0,red,350.0,red,251.0,light green,130.0,red,270.0,red,284.0,light green,146.0,red,268.0,red,228.0,red,225.0,red,382.0,red,280.0,red,287.0,light green,135.0,red,222.0
2,Aston Villa,214.81578947368422,38,114.85714285714286,123.0,140.57142857142858,134.71428571428572,142.71428571428572,154.0,188.42857142857142,201.85714285714286,204.42857142857142,199.42857142857142,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.85714285714286,233.71428571428572,233.71428571428572,240.0,217.85714285714286,225.85714285714286,225.85714285714286,229.57142857142858,267.85714285714283,274.14285714285717,276.42857142857144,253.28571428571428,256.42857142857144,272.42857142857144,310.2857142857143,280.2857142857143,279.2857142857143,272.42857142857144,290.2857142857143,279.57142857142856,265.7142857142857,222.28571428571428,210.28571428571428,205.14285714285714,green,69.0,green,92.0,green,112.0,pink,150.0,pink,176.0,green,119.0,green,86.0,light green,126.0,red,215.0,green,71.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,206.0,white,,red,255.0,red,360.0,red,180.0,white,,light green,144.0,red,180.0,red,312.0,red,205.0,red,299.0,red,205.0,red,236.0,pink,170.0,red,448.0,red,356.0,red,221.0,light green,137.0,red,227.0,red,348.0,red,435.0,red,238.0,red,349.0,pink,173.0,red,262.0,pink,152.0,red,251.0,light green,131.0,pink,154.0,red,313.0
3,Newcastle,201.73684210526315,38,206.42857142857142,202.85714285714286,200.14285714285714,193.57142857142858,167.57142857142858,152.57142857142858,149.57142857142858,165.0,168.14285714285714,168.14285714285714,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,187.71428571428572,192.28571428571428,211.85714285714286,224.57142857142858,227.71428571428572,220.28571428571428,220.28571428571428,215.42857142857142,210.71428571428572,216.71428571428572,230.71428571428572,219.57142857142858,215.71428571428572,222.71428571428572,228.28571428571428,235.71428571428572,224.42857142857142,203.71428571428572,198.71428571428572,216.0,201.85714285714286,201.85714285714286,198.85714285714286,202.85714285714286,pink,163.0,light green,122.0,pink,172.0,red,279.0,red,336.0,red,223.0,pink,150.0,light green,138.0,white,,green,103.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,126.0,green,97.0,red,231.0,red,202.0,red,258.0,white,,pink,160.0,red,240.0,pink,158.0,red,234.0,red,320.0,red,224.0,red,206.0,light green,126.0,red,207.0,red,200.0,red,332.0,red,242.0,red,197.0,red,255.0,pink,165.0,red,259.0,light green,121.0,red,187.0,red,207.0,red,318.0,pink,156.0,pink,165.0,red,238.0,light green,149.0
4,Bournemouth,198.0,38,181.28571428571428,168.28571428571428,145.28571428571428,156.57142857142858,164.85714285714286,176.85714285714286,182.14285714285714,196.14285714285714,224.14285714285714,224.14285714285714,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,239.42857142857142,243.71428571428572,233.71428571428572,230.42857142857142,223.28571428571428,193.85714285714286,193.85714285714286,201.42857142857142,217.42857142857142,202.0,203.14285714285714,204.42857142857142,208.85714285714286,221.42857142857142,182.42857142857142,153.42857142857142,164.14285714285714,179.42857142857142,190.28571428571428,180.85714285714286,188.85714285714286,222.57142857142858,245.0,230.85714285714286,red,196.0,red,236.0,green,111.0,red,206.0,green,118.0,red,257.0,light green,145.0,green,105.0,white,,green,75.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,190.0,red,264.0,red,202.0,red,294.0,red,243.0,white,,red,301.0,red,182.0,red,220.0,red,194.0,pink,179.0,red,244.0,green,37.0,red,354.0,red,294.0,green,112.0,red,202.0,red,188.0,red,275.0,light green,125.0,green,81.0,green,91.0,red,187.0,red,309.0,red,264.0,red,209.0,red,181.0,red,317.0,red,248.0,green,88.0
5,Arsenal,186.6315789473684,38,171.85714285714286,145.85714285714286,154.14285714285714,147.57142857142858,143.42857142857142,161.0,162.28571428571428,175.14285714285714,203.28571428571428,205.14285714285714,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,179.85714285714286,175.28571428571428,175.28571428571428,166.14285714285714,177.14285714285714,173.14285714285714,173.14285714285714,151.14285714285714,146.57142857142858,170.57142857142858,176.85714285714286,189.85714285714286,194.71428571428572,228.14285714285714,231.57142857142858,227.42857142857142,199.85714285714286,196.0,183.85714285714286,193.71428571428572,167.42857142857142,192.0,209.57142857142858,210.57142857142858,red,305.0,green,94.0,red,334.0,red,206.0,green,117.0,green,98.0,green,49.0,light green,123.0,pink,152.0,red,288.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,177.0,white,,red,240.0,green,107.0,light green,139.0,white,,red,320.0,pink,165.0,green,111.0,light green,145.0,pink,176.0,red,184.0,green,111.0,pink,166.0,light green,133.0,red,279.0,red,189.0,red,267.0,red,218.0,red,345.0,red,190.0,green,104.0,green,86.0,pink,162.0,red,182.0,red,287.0,pink,161.0,red,362.0,red,227.0,green,93.0
6,Spurs,183.92105263157896,38,164.14285714285714,159.14285714285714,135.14285714285714,155.57142857142858,162.28571428571428,168.85714285714286,191.71428571428572,213.85714285714286,220.85714285714286,220.85714285714286,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,227.71428571428572,216.42857142857142,214.28571428571428,194.71428571428572,171.0,149.85714285714286,149.85714285714286,165.85714285714286,149.28571428571428,136.71428571428572,145.14285714285714,156.14285714285714,161.85714285714286,157.85714285714286,171.14285714285714,171.57142857142858,182.28571428571428,175.57142857142858,184.28571428571428,190.71428571428572,217.28571428571428,184.42857142857142,239.0,216.71428571428572,light green,124.0,red,320.0,red,191.0,light green,131.0,light green,149.0,green,95.0,light green,139.0,green,89.0,white,,pink,152.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,334.0,pink,178.0,red,195.0,red,255.0,red,294.0,white,,light green,138.0,red,200.0,red,255.0,pink,163.0,green,58.0,green,89.0,light green,146.0,red,250.0,green,84.0,pink,167.0,red,222.0,light green,135.0,light green,129.0,green,118.0,red,343.0,green,87.0,red,242.0,pink,175.0,red,196.0,pink,174.0,red,304.0,green,113.0,red,469.0,green,86.0
7,West Ham,181.78947368421052,38,143.14285714285714,142.0,147.71428571428572,141.42857142857142,151.14285714285714,185.0,211.28571428571428,213.0,218.57142857142858,218.57142857142858,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,235.42857142857142,240.42857142857142,237.71428571428572,193.71428571428572,180.57142857142858,180.0,169.57142857142858,150.85714285714286,155.42857142857142,169.28571428571428,187.42857142857142,186.57142857142858,181.42857142857142,181.42857142857142,192.14285714285714,211.0,207.14285714285714,203.57142857142858,194.42857142857142,179.28571428571428,170.57142857142858,188.57142857142858,169.57142857142858,177.42857142857142,light green,128.0,light green,141.0,red,186.0,green,89.0,light green,134.0,light green,127.0,red,197.0,light green,120.0,white,,red,181.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,142.0,pink,157.0,red,371.0,red,311.0,red,209.0,pink,159.0,red,299.0,pink,177.0,light green,138.0,green,63.0,red,219.0,red,205.0,white,,green,86.0,pink,168.0,red,209.0,red,235.0,red,190.0,red,213.0,pink,169.0,pink,161.0,red,300.0,red,182.0,red,210.0,light green,126.0,green,107.0,green,108.0,red,287.0,pink,167.0,red,237.0
8,Crystal Palace,180.28947368421052,38,156.85714285714286,181.42857142857142,174.57142857142858,171.42857142857142,187.71428571428572,174.0,175.85714285714286,180.42857142857142,165.71428571428572,165.71428571428572,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,206.28571428571428,202.57142857142858,180.71428571428572,199.42857142857142,188.28571428571428,186.14285714285714,186.14285714285714,197.42857142857142,164.71428571428572,160.0,166.42857142857142,164.0,183.0,191.85714285714286,186.28571428571428,205.0,207.14285714285714,205.14285714285714,208.0,191.14285714285714,182.0,188.0,174.28571428571428,173.28571428571428,green,80.0,pink,171.0,red,199.0,red,189.0,pink,176.0,red,191.0,green,92.0,red,252.0,white,,light green,123.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,177.0,red,303.0,green,80.0,red,204.0,light green,124.0,white,,light green,149.0,red,407.0,pink,151.0,pink,150.0,red,211.0,light green,126.0,green,109.0,red,228.0,pink,178.0,green,118.0,red,195.0,red,194.0,red,259.0,pink,171.0,red,189.0,red,309.0,light green,133.0,red,181.0,red,214.0,light green,141.0,green,107.0,red,231.0,red,213.0,light green,126.0
9,Brighton,178.5,38,224.85714285714286,221.0,223.0,197.57142857142858,170.71428571428572,159.71428571428572,151.71428571428572,152.14285714285714,161.85714285714286,161.85714285714286,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,166.57142857142858,175.28571428571428,159.85714285714286,174.71428571428572,160.85714285714286,160.85714285714286,151.42857142857142,172.57142857142858,162.14285714285714,159.71428571428572,176.42857142857142,195.28571428571428,197.71428571428572,200.71428571428572,214.28571428571428,203.14285714285714,218.0,201.28571428571428,162.0,176.42857142857142,180.85714285714286,151.57142857142858,155.0,light green,147.0,pink,165.0,red,280.0,red,379.0,red,311.0,light green,131.0,pink,161.0,light green,120.0,white,,pink,179.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,102.0,red,191.0,red,234.0,green,75.0,pink,164.0,white,,red,188.0,green,75.0,red,239.0,red,252.0,light green,126.0,pink,179.0,green,67.0,light green,122.0,red,223.0,pink,166.0,red,235.0,red,243.0,red,311.0,green,84.0,light green,143.0,red,318.0,green,88.0,red,339.0,light green,126.0,green,36.0,red,185.0,pink,174.0,green,113.0,green,112.0
10,Burnley,178.18421052631578,38,201.85714285714286,193.57142857142858,216.14285714285714,207.85714285714286,195.42857142857142,173.28571428571428,169.85714285714286,158.71428571428572,181.14285714285714,181.14285714285714,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,209.0,193.57142857142858,200.42857142857142,215.85714285714286,200.85714285714286,200.85714285714286,171.42857142857142,162.85714285714286,158.42857142857142,151.85714285714286,151.85714285714286,130.57142857142858,155.0,183.14285714285714,181.71428571428572,164.14285714285714,170.0,158.42857142857142,171.85714285714286,172.0,162.71428571428572,170.28571428571428,170.42857142857142,pink,155.0,green,72.0,pink,175.0,red,338.0,red,308.0,pink,152.0,red,213.0,green,97.0,white,,red,230.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,117.0,red,251.0,pink,153.0,light green,128.0,light green,135.0,white,,red,254.0,red,243.0,red,299.0,light green,143.0,red,201.0,red,236.0,green,30.0,green,48.0,red,183.0,red,268.0,green,97.0,red,201.0,green,87.0,red,201.0,red,245.0,pink,173.0,light green,145.0,light green,138.0,light green,120.0,red,181.0,red,202.0,red,180.0,red,226.0,light green,146.0
