,Teams,Threat allowed av adj,Matches,Threat allowed GW47 adj 7 - average,Threat allowed GW46 adj 7 - average,Threat allowed GW45 adj 7 - average,Threat allowed GW44 adj 7 - average,Threat allowed GW43 adj 7 - average,Threat allowed GW42 adj 7 - average,Threat allowed GW41 adj 7 - average,Threat allowed GW40 adj 7 - average,Threat allowed GW39 adj* 7 - average,Threat allowed GW39 adj 7 - average,Threat allowed GW38 adj 7 - average,Threat allowed GW37 adj 7 - average,Threat allowed GW36 adj 7 - average,Threat allowed GW35 adj 7 - average,Threat allowed GW34 adj 7 - average,Threat allowed GW33 adj 7 - average,Threat allowed GW32 adj 7 - average,Threat allowed GW31 adj 7 - average,Threat allowed GW30 adj 7 - average,Threat allowed GW29 adj 7 - average,Threat allowed GW28 adj 7 - average,Threat allowed GW27 adj 7 - average,Threat allowed GW26 adj 7 - average,Threat allowed GW25 adj 7 - average,Threat allowed GW24 adj* 7 - average,Threat allowed GW24 adj 7 - average,Threat allowed GW23 adj 7 - average,Threat allowed GW22 adj 7 - average,Threat allowed GW21 adj 7 - average,Threat allowed GW20 adj 7 - average,Threat allowed GW19 adj 7 - average,Threat allowed GW18 adj 7 - average,Threat allowed GW17 adj 7 - average,Threat allowed GW16 adj 7 - average,Threat allowed GW15 adj 7 - average,Threat allowed GW14 adj 7 - average,Threat allowed GW13 adj 7 - average,Threat allowed GW12 adj 7 - average,Threat allowed GW11 adj 7 - average,Threat allowed GW10 adj 7 - average,Threat allowed GW9 adj 7 - average,Threat allowed GW8 adj 7 - average,Threat allowed GW7 adj 7 - average,Threat allowed GW47 adj color,Threat allowed GW47 adj,Threat allowed GW46 adj color,Threat allowed GW46 adj,Threat allowed GW45 adj color,Threat allowed GW45 adj,Threat allowed GW44 adj color,Threat allowed GW44 adj,Threat allowed GW43 adj color,Threat allowed GW43 adj,Threat allowed GW42 adj color,Threat allowed GW42 adj,Threat allowed GW41 adj color,Threat allowed GW41 adj,Threat allowed GW40 adj color,Threat allowed GW40 adj,Threat allowed GW39 adj* color,Threat allowed GW39 adj*,Threat allowed GW39 adj color,Threat allowed GW39 adj,Threat allowed GW38 adj color,Threat allowed GW38 adj,Threat allowed GW37 adj color,Threat allowed GW37 adj,Threat allowed GW36 adj color,Threat allowed GW36 adj,Threat allowed GW35 adj color,Threat allowed GW35 adj,Threat allowed GW34 adj color,Threat allowed GW34 adj,Threat allowed GW33 adj color,Threat allowed GW33 adj,Threat allowed GW32 adj color,Threat allowed GW32 adj,Threat allowed GW31 adj color,Threat allowed GW31 adj,Threat allowed GW30 adj color,Threat allowed GW30 adj,Threat allowed GW29 adj color,Threat allowed GW29 adj,Threat allowed GW28 adj color,Threat allowed GW28 adj,Threat allowed GW27 adj color,Threat allowed GW27 adj,Threat allowed GW26 adj color,Threat allowed GW26 adj,Threat allowed GW25 adj color,Threat allowed GW25 adj,Threat allowed GW24 adj* color,Threat allowed GW24 adj*,Threat allowed GW24 adj color,Threat allowed GW24 adj,Threat allowed GW23 adj color,Threat allowed GW23 adj,Threat allowed GW22 adj color,Threat allowed GW22 adj,Threat allowed GW21 adj color,Threat allowed GW21 adj,Threat allowed GW20 adj color,Threat allowed GW20 adj,Threat allowed GW19 adj color,Threat allowed GW19 adj,Threat allowed GW18 adj color,Threat allowed GW18 adj,Threat allowed GW17 adj color,Threat allowed GW17 adj,Threat allowed GW16 adj color,Threat allowed GW16 adj,Threat allowed GW15 adj color,Threat allowed GW15 adj,Threat allowed GW14 adj color,Threat allowed GW14 adj,Threat allowed GW13 adj color,Threat allowed GW13 adj,Threat allowed GW12 adj color,Threat allowed GW12 adj,Threat allowed GW11 adj color,Threat allowed GW11 adj,Threat allowed GW10 adj color,Threat allowed GW10 adj,Threat allowed GW9 adj color,Threat allowed GW9 adj,Threat allowed GW8 adj color,Threat allowed GW8 adj,Threat allowed GW7 adj color,Threat allowed GW7 adj,Threat allowed GW6 adj color,Threat allowed GW6 adj,Threat allowed GW5 adj color,Threat allowed GW5 adj,Threat allowed GW4 adj color,Threat allowed GW4 adj,Threat allowed GW3 adj color,Threat allowed GW3 adj,Threat allowed GW2 adj color,Threat allowed GW2 adj,Threat allowed GW1 adj color,Threat allowed GW1 adj
1,Norwich,223.71575047139,38,227.30443068575264,212.92104584437294,199.0381303521117,198.07460965792674,184.32295289190208,195.12257979487092,206.5783172793305,211.54490460463097,220.9649571136982,220.9649571136982,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,201.82474401667395,203.67280457551806,212.72134270717456,209.11601440120276,204.3017367298716,209.61501228680615,209.61501228680615,200.97012724876018,199.2766086581128,199.81101859470238,218.46947802882087,222.97266095989403,221.71392040399408,226.6853699486472,239.08488727083417,243.7938289988514,255.37998716800237,241.7600944659335,246.4716915355306,257.22103810081626,259.58332384592484,252.02210131892713,253.2493653383049,233.7213954449,red,274.8406169665809,red,381.2629629629629,red,210.47622989593185,red,274.9467772593744,pink,160.96978314966225,green,107.64090832062361,red,180.99373624513288,pink,174.15692307692305,white,,red,284.08255451713393,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,203.73158503663706,pink,178.68517989720155,red,236.5671714704445,red,187.83107071184034,red,215.75984752223633,white,,red,240.09729064039405,pink,150.1010628379638,red,216.66800894854583,red,242.0249468187971,red,211.32987332864178,pink,154.13112701252234,red,252.95277642077832,pink,179.58309537407192,light green,138.24643270343228,red,220.40887850467286,red,372.6341628576265,red,242.8521538461538,light green,145.31994312122288,red,287.75292323335026,red,266.379716629381,pink,171.20902479955248,red,301.5119856887298,red,277.2949139431444,red,275.83333333333326,red,220.56536907822252,red,304.28892344911003,red,213.45115894039733,pink,179.79987293519693,pink,164.8161964348955
2,Aston Villa,214.91011580310195,38,115.03294902932443,128.29405331966942,137.1444654282837,133.96397124911155,134.32678893468508,146.4291233920625,190.7106469982816,208.2830745708305,207.30544148656554,211.86727663164382,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,225.30253132463193,234.78027797884917,234.78027797884917,246.84301229411344,225.88458495160248,228.75669981733475,228.75669981733475,235.21201094580843,265.2735611575733,277.36228311020295,271.07280120260026,249.39104485654974,246.65699853875054,250.53929860520415,256.96935710494887,235.73831988129731,259.10695650107385,259.7922056044438,273.57502172849985,263.962828207614,270.66384568602155,252.88958395949982,242.45265083872332,230.73355163480048,green,74.98548470710212,green,97.94955137971897,green,108.36430769230768,red,182.43086443627925,pink,165.08038777032064,green,88.34742061149804,green,88.07262660804427,pink,167.81321473951712,pink,159.9024361400189,green,86.10084843810256,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,184.97058823529406,white,,red,249.79672897196258,red,398.31808585503165,red,211.07961961588663,white,,pink,160.96978314966225,red,191.83528215556683,red,180.14763128901942,red,251.31481481481475,red,334.2358691788126,red,251.60909445745506,red,231.18442367601241,red,206.15696104897796,red,402.2661336379211,red,264.7686849574267,red,207.2884414615958,red,182.4635747564591,red,232.47077023286104,red,258.3605241411875,red,251.16737054719053,red,253.64887307236057,red,428.3491412958626,red,212.08518518518517,red,278.94328762485185,pink,165.18541558665973,red,305.2676464900406,light green,126.74753846153844,red,180.5903412269252,red,346.3154468684025
3,Newcastle,201.45762410228812,38,195.06729811200853,199.95908067721808,199.22839116247295,189.67431145591604,162.10800573625093,174.5277757139217,170.63045468771807,190.73896434089536,190.67467607102571,190.67467607102571,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,198.33023007565012,203.81292677878292,216.84112774633286,220.9366672406811,220.2279767102516,210.7821390779197,210.7821390779197,210.73364090942155,214.20227313176022,225.73509489598095,223.1041427222645,217.76821632308227,220.75573136827842,224.55314314121674,226.6259837674526,225.17605339671545,206.74107701928742,203.34316813401716,195.96456121699856,196.68929666549076,182.01267697631107,183.9535205429642,198.16571571850483,204.61470427301626,light green,121.01369377877462,light green,130.02169123877306,red,190.3075299085151,red,311.8789548524706,red,194.00514138817476,red,242.34439260411264,pink,175.89968301323884,pink,155.25617173524148,white,,light green,124.90686463555723,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,123.4289719626168,green,118.91481481481479,red,280.94353123187,red,215.06314542068728,red,316.65925058548004,white,,pink,154.80615384615382,pink,178.49574266792808,pink,161.80784888454647,red,210.11222158766415,red,309.61230769230764,red,210.1023117076808,red,250.5383871591568,pink,154.46666666666664,red,202.77616822429903,red,242.5376012340917,red,191.69555637164888,red,272.26082289803213,red,231.01491702405366,red,277.1202695697252,pink,168.9765510503175,red,192.62665562913907,green,113.49276659209544,pink,167.91019417475727,red,220.61057447890184,red,236.08806516349895,pink,174.38393174546744,red,182.5624560168895,red,292.1120218579235,pink,158.6356864736753
4,Bournemouth,199.78163137721515,38,176.37380258111753,164.64423029897853,144.648660090711,155.64407761215398,157.26903885492922,173.99435599875446,190.4908401986829,201.9576238528605,232.42343661575245,232.42343661575245,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,251.30405793041317,266.28507946342285,268.35414191618077,260.2302124234663,246.4086368733931,213.83340710746566,213.83340710746566,205.61769262294925,204.88773784588966,189.21473611103156,191.02501462899463,191.27663285447844,206.4880264916137,216.75735996698742,192.0808289079147,176.8550850120625,185.83766564404692,201.88107396110823,211.3213919533549,187.88661167306765,194.3549127768762,207.56764271087496,231.47067135715565,218.2740191676348,red,189.6375384615384,red,231.18442367601241,green,64.09098420859344,red,184.97058823529406,light green,130.55981703026038,red,241.0548844146159,red,193.11838204150783,green,107.53053248656568,white,,green,91.21543221813963,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,141.05890685869434,red,196.3453169347209,red,247.63703703703698,red,356.5302738141148,red,273.3858676207513,white,,red,320.79122182680896,red,223.379781420765,red,245.92605758976177,red,210.82875410402622,red,190.7695305880359,red,259.7792449636025,green,45.359259259259254,red,263.2812204351939,red,218.27009798134807,light green,136.21504544575515,red,223.50070372976774,red,192.53085816642238,red,366.2590004235493,green,117.24459358687545,green,90.54550302168502,green,111.6898907103825,red,199.09310986964616,red,335.80456194919645,red,258.61308411214947,red,202.21553846153842,pink,162.5227013135351,red,183.0346125596768,red,279.011091234347,green,106.71654454300037
5,Arsenal,186.9073942233973,38,169.73556701433174,138.24231607707074,146.27660669551383,134.60852258669448,129.52675247623395,147.69148390129092,153.71237206082404,169.46422824956545,186.25053348404398,191.69328816310468,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,187.2231050906736,179.17305638992087,179.17305638992087,164.6998631309566,175.1658960441061,166.16490540511543,166.16490540511543,145.85825606634216,137.92164429779953,161.11390824898265,174.82356295107326,193.48856169427293,190.62788971258232,225.75900935698286,245.07776889509654,242.44667089558234,214.37588007460067,202.94412033362647,194.8307303873415,212.69875133380853,187.67333601463937,193.05551364009014,214.79346114629834,218.08103015978895,red,340.9429434767152,green,105.75420393559926,red,247.96670995159954,red,227.9264602392681,green,105.05611079383208,green,100.36183032079464,green,60.14071038251365,light green,120.49018691588783,pink,161.99423826470087,pink,166.2901211898641,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,192.35406946604456,white,,red,232.20923076923071,light green,142.50804743752644,pink,170.40370370370368,white,,red,237.99432355723744,red,200.09352101812567,light green,134.99883968284664,light green,136.00372856077553,light green,130.8968779564806,red,215.770277829573,green,107.39676923076921,green,95.84777818582444,light green,144.53723863832727,red,297.3446873411286,red,231.9713114754098,red,261.55186915887845,red,195.74557395773837,red,353.31460674157296,red,231.07909495262038,light green,126.1195526417277,green,100.84915159425694,pink,151.94899328859057,red,204.7581395348837,red,320.8217205830074,pink,178.13669950738915,red,268.75433833077557,red,278.2851851851851,light green,123.86213468869123
6,West Ham,182.30017387113446,38,153.33521318725707,151.73049472682285,159.3176739317737,151.21248821485116,157.57838101597343,173.45866700883172,174.94797692093738,185.83752294580017,183.7334282739057,183.7334282739057,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,195.60693850013237,198.4742677109588,200.41062876896453,171.6165988891757,174.05563523199297,177.85279291517648,173.0243841662928,160.22262282163896,166.3344309604144,167.39530760481765,186.87324579563284,196.0844933367205,192.62172512249276,192.62172512249276,208.47852478733276,224.39240197160098,225.4370425695462,235.6488246918588,222.50012699675932,202.39406458372017,189.175811902599,207.11566212967952,191.0755154605547,179.00315308624138,light green,144.00572450805006,light green,132.2519015659955,red,207.91930323498042,green,109.23516783762685,pink,164.27407407407404,pink,169.1450656501482,light green,146.5152554399243,light green,132.77269528501054,white,,red,185.36215600065134,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,151.18300321652274,pink,153.79641744548286,red,275.4360760240821,pink,179.57023503488796,red,222.7420776139637,green,118.04403258174948,red,268.47672758423755,pink,171.25430769230766,pink,167.35094485152328,green,73.8778668655603,red,196.64348943460874,red,249.32218139624828,white,,green,84.24517133956385,pink,178.86439817166072,red,214.0369646637355,pink,174.77708136234625,red,210.2234342012667,red,261.12222222222215,red,225.08280389665396,red,195.24276899344383,red,290.2615384615384,red,221.34944884935214,red,246.25955621853436,green,118.18255033557045,light green,120.3797853309481,light green,132.5550351288056,red,320.8217205830074,pink,177.9805117776648,light green,136.84291222915897
7,Spurs,182.1138273192688,38,181.0292057294002,173.3021904736791,152.62168664555415,174.77536312108577,180.89225044394834,176.64950365221608,204.50239657324855,204.67252026709986,215.0518731827471,215.0518731827471,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,226.6232613915727,195.17421025601465,191.94337203693993,181.39468237868599,153.9611802668105,145.22266761085862,145.22266761085862,157.60112462926222,140.37378670274194,135.70562609155803,150.08527513736558,160.87438480004613,169.67222241229425,170.47002646065835,170.27336507436408,169.45547929462262,183.92306533896817,171.2227220341486,175.40567953670754,183.28897238672107,213.21609363046804,198.33762295281184,223.12994664825084,200.10737047844538,pink,150.8095146006575,red,287.3329525985151,red,254.3835239305379,light green,139.47164381242592,pink,174.72701845981726,green,91.91615384615383,pink,168.56363285769376,green,96.72040781060998,white,,light green,142.56942580164053,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,409.4592592592592,red,182.28985507246375,light green,145.02779091769156,red,286.88640429338096,pink,169.75449871465293,white,,pink,169.3758782201405,red,223.5691432634198,red,189.31590131035293,pink,159.6739875389408,green,71.18696330991412,green,94.85188951025249,green,108.58491012298958,red,256.0250773489659,green,102.97777777777776,pink,156.6387770320656,red,260.3315308595935,light green,146.71073094867805,pink,156.43675279598915,green,114.16953846153844,red,254.6484476449061,green,97.25257731958762,red,257.91187934248427,pink,171.4291277258567,pink,175.99143346659048,red,211.61980274608393,red,323.659387167767,pink,150.49915290131298,red,270.7988431876606,green,96.75384615384614
8,Crystal Palace,177.56550878322705,38,154.01529255783248,168.09722473248638,163.6853086130811,165.28606558419838,181.0416759224774,177.56327519304978,181.25984520327935,186.62957771470107,180.75400655874222,180.75400655874222,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,193.72008303883558,188.4209877186957,168.5897720750962,182.89641142311297,174.2610070514349,173.517926550528,173.517926550528,187.37959798998213,182.23334971468708,179.0346915370585,186.8848829797558,177.93260008962943,185.88926295777793,187.0852339986412,181.11824693379364,178.18094765124812,179.06135069904516,176.64661704602108,187.379316782449,182.14806840112735,177.41038822771543,179.61689694277652,191.02934019815976,187.7968555575196,green,88.51513019000703,pink,175.12115290669269,red,186.6533929903057,red,212.63345259391767,light green,130.8968779564806,pink,171.5018560822387,green,112.78518518518517,red,187.08865541258407,white,,light green,144.23774007085584,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,197.85869178812652,red,322.9227249618708,green,106.54807285048707,red,197.37784615384612,pink,150.37331276513686,white,,light green,145.95965732087225,red,235.0002754315093,pink,160.76502454714742,red,184.10421545667444,red,206.69454828660432,light green,136.93001555209952,light green,145.17174925878862,red,242.9913573970513,red,198.97653750444363,light green,138.3744173037479,red,239.05555555555551,light green,144.02856805571946,red,192.62665562913907,pink,153.5435465448315,red,201.2224479431183,pink,178.41544252662501,light green,144.53723863832727,red,222.15241998438717,red,219.15746621071483,pink,156.00791695988738,light green,120.3797853309481,red,216.66800894854583,red,258.3025453143077,light green,121.90984615384613
9,Burnley,176.32644990030965,38,208.83052313012078,200.72188620375866,207.06918835104938,199.96002031656494,211.86833566224757,189.68260150217364,181.26254222443933,164.78804114727558,183.33232395952876,183.33232395952876,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,195.5312271637086,208.80587975955265,184.03256787104323,185.33422927307066,200.04150283440026,184.53430521201133,184.53430521201133,159.63256657512014,157.3875522079978,147.7255879270608,141.59566844895934,146.76105166210814,127.64788574456271,157.44365040707905,174.34158758753873,167.60744718595745,165.54328730250634,170.86960340723695,159.8119438908945,173.86253220844287,160.46504666694395,160.76842548376473,172.9506861700191,173.34037122017148,pink,165.19149296729367,green,88.37002341920373,pink,179.21755414427616,red,250.9363711486247,red,334.717815794021,red,184.3285769379097,red,259.0518274995165,green,108.43103448275859,white,,light green,132.80113845023868,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,129.45337790288528,red,334.29457856840315,pink,179.41767667350362,light green,125.38816199376944,light green,143.7303199593702,white,,red,238.2410141685309,red,218.1934608794974,red,222.37594607379373,pink,160.88139534883717,red,188.52930648769572,red,228.33907692307687,green,35.17993660264777,green,63.928843710292234,red,202.4783603096411,pink,154.74219610723463,green,117.97195900212724,red,224.6869889797369,green,94.54691550025919,red,243.75028924026216,red,182.21440397350992,pink,155.33937749857222,light green,140.2930769230769,pink,155.25617173524148,light green,147.28337236533955,red,192.90103372309775,light green,149.96789044976975,red,184.33805569125548,red,240.61520230235308,light green,143.02087227414327
10,Brighton,176.07962491560036,38,205.11040554521938,194.75879784712396,190.59027746449937,166.3290813497862,168.25224140688627,175.8062178890552,164.81394368309614,168.70184838436313,184.80343107276545,184.80343107276545,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,169.63237344821943,187.7442964124072,181.3336148532351,161.90314917998276,178.2194599051768,164.36570661441343,164.36570661441343,154.06801619035355,174.63887544625953,166.85221370204474,165.0017944911737,175.0643269409418,188.44317623294256,191.56435683898786,190.13305639972492,208.61732108964057,197.27897581975756,208.37292456164633,201.17574654164915,165.80843004010447,166.3398509484737,170.92435562137092,137.35836900853266,141.3343800111766,red,180.21111111111108,red,219.7554002541296,red,274.2866043613707,red,218.8331803158281,red,230.89115806870495,pink,160.7843481654957,pink,151.01103653989557,green,107.74985722444315,white,,red,190.57575757575756,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,104.45823155837809,red,232.2953007155289,red,283.7689934438873,green,83.83842872378243,pink,178.22636944876444,white,,red,220.46093604325935,green,84.37835420393559,red,231.24169230769226,red,187.42052980132448,light green,147.7557337311206,red,198.05260380014073,green,81.25009641342072,light green,148.37710307484045,red,228.3743689952776,pink,176.73506009818857,pink,174.4675953252272,red,218.1934608794974,red,291.70454884414613,green,103.0983606557377,light green,138.35799999999998,red,357.7642218246869,green,97.36664320900773,red,252.12523651844842,pink,167.81321473951712,green,44.133333333333326,green,106.81830701432241,pink,170.44953271028035,light green,122.8023155348194,light green,125.19872022751508
