,Teams,xA av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,241.04043479251604,38,274.5932422969187,270.95272917601307,104.98383838383836,289.37002801120445,254.6446125750065,272.41122994652403,224.1233909341347,261.8827847553053,232.667922020381,209.54465595036655,,,,,,,,,,171.3835785756327,,271.9567567567567,256.54895773016784,181.22830161682637,,256.2310548977395,323.76737702525173,213.71659928947685,246.2301523375941,246.7535522066738,79.53302107728337,349.18360752056395,159.08722504230113,360.7815577790857,208.890282085364,241.928789459953,187.25368124729317,260.5060355622339,272.2190527119938,249.079223324758,275.4822507663115,290.8846604215456,280.8080896515496,297.1921639001046,202.953839869281,193.12969187675066,222.5055555555555,286.6898554871941,178.43717429067743
2,Chelsea,190.41797227892815,38,160.04793130366897,187.4257450538442,228.2037931839402,245.17396842482955,170.0995037220843,172.48431284582023,215.03500289519394,141.3064588528678,,189.91038833762093,,,,,,,,,,212.09269830152337,243.06767676767672,139.38562026040918,192.35925053953304,112.57630238934586,,229.31971235194584,208.62153665536133,202.29570225963667,145.19495798319326,129.5576565143824,161.14061115355233,149.37387322936038,162.32373737373732,226.1881631938364,216.41309567560944,176.61638679791542,213.60643391521197,201.6776091081594,188.28440257215487,172.57365234086546,168.34109052961122,145.47816653934296,211.487675070028,276.571099423992,198.3416081186573,171.38484033010408,198.25617413632116,217.5161378770074,256.149970570924
3,Liverpool,186.9694234557791,38,158.4965823115053,156.61216977046337,248.29667230682458,235.08283857628115,219.27591036414563,98.07542570133526,201.53029925187028,202.7791709239527,,143.3773069514971,,,,,,,,,,184.97550505050503,108.62561686855089,288.32169947886507,149.5912931839402,151.62783804430862,147.39274753908512,190.60923106947695,241.34361389052384,168.63050507941043,280.3761212773591,181.03581186572987,270.60189972581276,,109.37800209361446,222.5055555555555,160.99663806688847,110.51876750700279,148.43545467814914,185.2196758104738,229.58740659071415,229.54984976391464,192.48263684520305,255.94481002741867,136.8596519555077,138.49963187527067,257.6800026089225,155.20482941958346,251.22302594472643,162.48585179526353,131.6080415499533
4,Leicester,164.2854601175088,38,210.00349225034333,242.86752038918297,212.22836383207746,108.91237373737373,156.78161308516638,154.03506057509853,200.86037471546138,131.75098039215686,,167.9700014954389,,,,,,,,,,157.47538895014085,139.75555555555553,145.07044887780546,150.35177595628417,246.6301212646167,,192.9124348581355,191.24281494609363,83.98145148968676,161.36789720845286,127.63720324261723,69.61527673428498,120.1340149625935,151.79332399626514,214.56406958226134,128.18763272020337,217.04813517772715,157.43361344537814,206.70697969543147,161.19521237775504,248.19689839572186,210.46926598729877,85.20783871775606,162.59846073571615,130.4771784232365,101.1767706494016,154.88459595959594,156.15313957660567,169.277327847553,215.8928766588602
5,Man Utd,163.72979724111428,38,99.88991382687033,152.49095251881874,172.85340826156764,80.6183498854087,146.84348891338968,190.910101010101,144.7313725490196,247.99465374955147,,139.11566747746457,,,,,,,,,,167.18389027431417,176.30343197338468,195.14991775085986,147.89636206149848,219.8204332552693,,258.58183429330967,137.02554470323062,125.80936041083095,122.02007896221093,120.74582779500811,207.30893555961384,197.5951697323164,271.44781999649797,186.47433915211963,100.96234082129058,132.7446649516109,157.7327233584499,185.89775910364142,166.00151515151512,138.50773809523804,146.16058101677936,145.04242108009387,140.46497461928934,114.80065141864503,112.57630238934587,229.26744079449955,213.2440081739892,142.12845433255268,187.3898657427457
6,Aston Villa,144.05159392577772,38,114.25441517081643,90.27357586012408,191.05962178252494,122.27336155305792,134.49107318030212,182.85822689706984,172.44428181108506,157.84028176363157,111.39891728020787,213.9207750269106,,,,,,,,,,56.657657657657644,,68.41509549274255,188.87696380025753,175.530303030303,,188.00225811275607,81.59103641456582,131.2691521197007,111.27192438339979,140.7900852400179,117.66184640522874,212.35584415584412,128.17194115536418,250.03270661966312,167.91548289302725,127.58144006278202,185.9791677537177,129.73210382513662,111.35294264963683,131.11231920199504,221.1302521008403,141.15017507002798,168.3011076650421,132.04062323745063,114.16337579617833,98.49798569551889,106.59695324811763,216.0694444444444,80.89585062240663
7,Wolves,141.39803699642607,38,91.51598094413164,113.1854765727631,146.10245163195984,172.11884083347925,86.65145317545748,146.05164974619288,98.99993874800928,84.58888888888889,,130.36838448176024,,,,,,,,,,107.27366946778709,137.94587208470452,125.1487511671335,207.66263219741475,196.4309986266431,,227.9034059604307,80.33008403361343,74.07992434124706,171.92002392702256,146.47558226897067,458.2657855361595,128.89220354808583,169.17041064529968,123.22100840336132,170.5167486971627,159.19947972730532,159.81616161616157,129.0466127649148,188.52811618725323,158.49658231150534,42.56725744843391,102.56872817955112,96.02316434873632,139.99014742373376,159.06349068860976,68.16478725267028,150.3749963077832,99.44936237002155,125.01635330983153
8,Everton,140.55605496520948,38,169.01060606060602,89.58496591316828,103.31433296582136,114.02187743950039,89.17023682200153,72.25736156817855,101.61427732079903,116.34062791783374,,120.96048084147256,,,,,,,,,,65.64092680814205,153.61595055915242,181.78863508178227,136.7772587943366,123.57927321668907,,158.08639446908427,135.1024319629415,152.14873949579825,153.6962593516209,184.83064179493866,234.7113129522965,72.18338973491257,71.68744359427113,175.8141836292767,175.14069621838215,196.45426948687816,144.37982026143789,224.07865546218488,106.81131778509082,103.37955182072827,160.4113781123335,120.095657953035,242.77735660847878,207.94092213850018,117.605303030303,231.84857533177203,117.33611417371063,111.91730222820397,105.015559772296
9,Brighton,140.24404058821523,38,116.38040171318858,120.02096269240803,67.45420932009166,85.16027431421445,216.09085900325567,75.67645891690009,90.68893466745143,97.67287504896198,,90.09622109419062,,,,,,,,,,136.72806401249022,226.55454678149178,115.53527090060996,111.44706146253925,173.70312680949624,,155.97121212121212,95.61005757687124,95.36462966205565,218.03137721957555,165.33282828282827,100.51241951638285,153.78376390383926,152.8417019413224,151.2109289617486,186.9319232938522,258.45852742299013,147.80258519388948,120.54842063959188,162.5098739495798,95.14438802311327,175.9656498836212,162.6915438546287,156.7483542659159,177.69337333681187,144.0590607000443,114.48802992518702,156.7205347593583,186.44863925883033,71.19445192163899
10,West Ham,136.66176744376986,38,82.82096043121399,170.2731018246027,98.28032002392699,176.52947012138185,214.2774036331413,166.0440386120532,141.90424426158506,135.4263127772213,,115.24923887587822,,,,,,,,,,116.25604906937393,151.53174942704354,146.00308039068364,80.29845386533664,119.41960784313724,151.51560230403203,75.00981198589892,186.7649098231483,107.52452457839969,129.64166666666665,221.45754014884446,139.8065537877682,,150.37868601986247,98.52057247602932,130.4685206869633,138.2272628843655,132.72678494777506,94.27462708610248,179.25208713801197,200.15583064226766,112.76371913850463,117.31633338198802,157.55934343434342,106.6057680988817,133.82326350606394,151.42631886087764,184.61652459997006,93.366106442577,85.63077306733166
