,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Trent Alexander-Arnold,Liverpool,Defender,37.464025333537386,44.48853008357565,38,32,82.43944600799881,,0.0,10.597680038666022,38.22780722891566,0.0,,61.936876832844575,,18.234966007416563,29.82886216466235,,0.0,,43.43345905172414,65.05525099601594,,58.912583426028924,,,28.878669846316907,0.0,,20.94857808286345,46.55650247589263,,12.220327304048233,,47.22569455596595,,24.136777229941732,42.3546520719312,,59.46547791164658,53.35731313981209,47.37786370227163,62.85649533402458,32.717800586510265,28.786893896177986,59.1853268678161,54.96714404894327,16.238119521912353,43.046477132262055,18.934887737478416,0.0,32.519447567046726,0.0,56.64662162162163,110.71120573733751,79.76269919097818,36.07105535734837
2,Bruno Miguel Borges Fernandes,Man Utd,Midfielder,33.79942275154348,35.677168459962566,38,36,18.219397071490093,,,,50.46149800796813,6.628167656977678,5.492200806813088,57.563811063218395,30.032899349023534,15.363597652203936,34.51444281524927,,17.815845712796456,,,0.0,,23.86308973172988,,35.21375049820646,,20.07836512983572,73.17431075697212,24.92411580148318,68.37932091198823,,40.62009176863181,59.342813553878266,17.45500241662639,,15.570833950525849,0.0,25.77429533024821,,,11.875244562089998,37.216451335055986,56.40558548850576,6.648453608247422,14.393941809485852,4.176040703052729,40.299775100401604,52.315373059589376,87.39848840239772,34.23076246334311,141.51019816336392,43.758509454949944,30.56740990043472,24.645859872611464,27.775213918996013,30.672906730259673
3,Kevin De Bruyne,Man City,Midfielder,32.28701334047937,40.8968835646072,38,30,77.30072498791688,,53.173762513904336,23.212961042808473,80.7594587014444,0.0,,43.7815730038528,,57.75837450199204,42.95027541311968,,39.525619024270654,,,62.87913867355728,,62.17824474660074,,27.233313782991203,,31.908305220883534,,0.0,48.468475991649264,,46.72122076440389,,34.25398924249215,,47.834716235632186,48.15778063272844,34.28709929632525,59.05478894965643,50.324072602013786,14.61556806399052,12.937411983525974,0.0,0.0,0.0,50.91840234857849,4.221567614125753,43.164621513944226,22.7667565579799,23.089809714571857,54.48841326759302,16.922646891043925,0.0,0.0,0.0,12.017413654618473
4,Christian Eriksen,Brentford,Midfielder,31.078116181944456,42.37924933901517,15,11,45.966640169581346,,79.43049853372433,,63.27598402738164,31.18876699629172,,76.24841767068273,,40.35444400159427,12.912347052280312,,64.31656207978486,0.0,,21.422885511154696,,14.324513753021062,,16.730682933669893,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,James Ward-Prowse,Southampton,Midfielder,30.39383150249391,32.08237769707691,38,36,9.244070888715143,,2.422008012018027,,46.707868957764575,23.10752799310939,,38.33429482071713,44.505847021328755,17.72085129310345,21.390676826535188,,33.150662427133014,,,61.3456091404278,56.16083298275137,13.091251812469793,,49.35648521118656,,53.710146627565976,,13.153090234857848,75.21243373493975,,57.271415356151714,,22.257695156273144,,32.93370804560784,2.900755020080321,23.493298109010013,,60.21288544358312,23.164511494252874,3.905370517928287,34.7072843367214,25.35035052578868,54.77456554264012,68.88492025132915,24.332615916035607,0.0,0.0,3.613290004482295,32.86114649681528,24.260807893925378,16.40944104560623,35.450960594587016,20.726081582200248,28.8408357771261
6,Heung-Min Son,Spurs,Midfielder,28.70534047691497,31.165798232079112,38,35,10.16817815628956,,38.735106643785244,47.371426005747125,35.36131697546319,47.648983580922604,,30.55171029388148,,1.7471394422310758,1.5584823586273562,,60.50176693310897,13.898706896551724,34.22337848605578,8.768726823238566,,24.963870967741933,,16.23357180710122,38.497952929639624,92.07175454825779,,58.08016590134794,2.575185396463206,,0.0,,0.0,,27.931101368407074,44.605889903023396,37.105357450473726,50.21629944917376,,,43.27042237311543,12.84207483539425,,6.6643084260731325,14.089457478005865,24.213643386897402,23.58296718576196,56.70344972654607,36.15679072015466,54.20495689655173,24.7149036306589,0.0,29.216274744254022,3.1523774255665824,39.17523897625655
7,Martin Ødegaard,Arsenal,Midfielder,27.1671635670144,27.921806999431467,37,36,57.49255131964809,,33.370929743374,20.823277108433736,38.27705352411235,29.052780867630702,,32.58379171817058,50.58606006275213,47.548958927552775,3.6998247011952197,,4.888130921619294,26.182503624939585,19.214596895343014,56.556906437320826,,48.57955360701475,,,24.932439638572063,25.477019431507948,,,28.275870241445713,,40.23708016670753,,,,2.982886216466235,,31.320957532512374,55.36502384737679,23.134621802002226,32.83361380490589,50.30598240469208,54.3063195302843,33.642238115271354,6.29722083124687,0.7711040255081707,18.488141777430286,1.3506847108103754,10.553919035314383,2.363776892430279,50.24522088353414,22.134346653591567,19.519933248935438,1.789731729879741,0.0,
8,Pascal Groß,Brighton,Midfielder,25.592983139177875,33.535633078922736,38,29,53.173762513904336,,5.211830948595654,,59.88641841779975,14.328988298029921,,8.093439817455792,32.414030218933085,68.47853815261044,17.952496408045977,,36.590597306939806,,34.912658634538154,14.53204807210816,,67.01316785864535,,0.0,,0.0,30.29196538936959,25.532111066826097,,,2.941295282773,33.531331241595694,66.32304909560723,,0.0,0.0,0.8285209571222097,,0.0,,18.670094124358247,0.0,40.58392951775305,29.92286128564524,0.0,23.57421131697546,30.62429848905335,32.137380596156056,60.45937500000001,39.32723514211886,0.0,0.0,47.941979472140765,49.350657632522925,27.905087031135082
9,Bukayo Saka,Arsenal,Midfielder,24.897840289085526,24.897840289085526,38,38,33.37972140762463,,14.198471462627962,13.778586345381527,3.7593534711181777,27.080061179087878,,13.85060259579728,19.078171223666516,44.881802624073025,63.821976095617536,,31.77285099052541,29.299468342194295,27.126489734601904,25.12706541568934,,24.846685266374386,,,64.48044734113465,34.487184840211974,,,23.595067397422604,,15.335940181417014,,,,6.363490595127969,,25.234894694441248,10.679981452040277,47.34527252502781,33.84529378208785,18.72290322580645,1.5943139678615574,22.88033936334315,14.20911367050576,33.500185997077196,34.539210320562944,43.32580956984051,12.886890611541773,14.28543426294821,36.36303614457832,4.189715616572689,38.07500287720106,1.5908726487819922,23.84771402958315,12.738509715753974
10,Mason Mount,Chelsea,Midfielder,24.48711792278028,29.07845253330158,38,32,25.789145741995487,,0.0,28.964109697933228,0.0,41.41733137829912,53.309873300370825,36.85399054505006,,60.92266522988506,12.600014261266402,,16.363288903163642,,,2.0800308512130137,54.255023593048676,7.509867614611425,,,,0.0,,,,,67.54615261044177,17.163075697211156,1.5908726487819922,,56.19058587881822,61.76651792828686,15.480924762365072,48.71856021330173,24.301950146627565,22.897880233174355,61.60265572858732,14.051228909259997,11.758065512978986,2.184962210059943,14.466376562883061,0.0,30.652975025894808,1.0356511964027622,25.29199942954935,0.0,1.8647710843373495,0.0,29.709964947421128,61.617600574712654,20.552368647717483
