Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Mohamed Salah,,55.65614113379608,,56.2851469184568,53.10141692424617,46.607518647249506,,43.05510614857431,55.79762032696201,61.75965660239552,61.412311191168385,48.06266580530951,48.218217339664356,71.70841135930817,63.010403123862915,56.06617852744834
Sadio Mane,,54.868707441979595,,55.48881393292179,52.35012795743071,45.94810659087674,,42.445954301258475,55.00818496055724,60.885869210509455,60.543438108358124,47.382666049619736,47.53601681122122,70.69386708906829,62.118919931821424,55.27294354844074
Patrick Bamford,,44.38616958020578,45.92010117277213,53.138264166110666,42.704786542702514,34.173884581846764,50.57056382657037,53.602554876987725,26.225784204492403,33.97175708225141,45.7719633404496,39.753609294946585,53.32850303394102,60.00728036050375,45.92010117277213,68.29073504236511
Roberto Firmino,,49.834583472688806,,50.39779609652349,47.54707998651547,41.732434753203954,,38.55159983385392,49.96126413214249,55.29967941539094,54.98866586797231,43.03537547162456,43.174656524266645,64.20780777791613,56.41959952946067,50.20173150531587
Ollie Watkins,,43.47084613084957,,59.81635529017737,45.140987627986696,59.47993929194513,,51.430551850402345,34.54947071699469,26.671772119691703,69.45206704721532,53.90489026796614,46.5503477862916,54.30202561117028,54.23539175472645,34.75503553695561
Jamie Vardy,,50.99034060641107,,39.34566589930626,38.14671235678567,51.435864032129444,,25.165701029996228,40.9785988591855,65.53032724567521,51.235761003108976,44.063945938486356,56.121294182709846,43.921796046212705,32.79252798370224,51.1728897509771
Dominic Calvert-Lewin,24.825248589601266,32.157563259747015,,43.46782990300186,32.3488965440112,56.80271142779489,,50.54262156510127,37.630647205275196,50.48060086234187,38.81338078797886,50.300521321212884,40.42422272760281,50.74001751417673,42.01581486284228,24.825248589601266
Michail Antonio,,44.90577339016333,,22.083671122677465,49.526694816436304,38.54271724223938,34.527023299980584,37.37579642086539,35.992954089069904,49.24814938525804,28.776444670072692,50.52970138527516,44.6321250511472,33.474904954744176,57.50486321561212,38.6674581134495
Raheem Sterling,47.63156403649552,36.847363181071,,38.37661100158058,41.132926168324516,45.445183390912625,,38.41180978032124,52.855066456317466,47.75264456978142,,47.98248168862225,30.710325028765507,52.55780177248185,35.724538707047635,47.63156403649552
Jack Grealish,,36.02505623116018,,49.57086771178478,37.409131921043304,49.29207384573261,,42.62140462675493,28.631755213369964,22.103367565111746,57.556151845193924,44.671932476140356,38.577093519951774,45.00104553336601,44.945824882310305,28.802110402131404
Josh Maja,46.317774454314126,41.37416380232152,,41.21320421399105,26.2217546420939,20.24287637055971,45.39837396790611,41.01579207978315,34.260319400511676,31.64900709770226,,26.37777064350286,46.317774454314126,35.44431402759693,35.32997099014473,45.14304682163577
Kevin De Bruyne,43.27068384274781,33.47382423607558,,34.86306266015461,37.367024991934535,41.284476007908864,,34.89503883514167,48.015951530929584,43.38067891809975,,43.58947343295275,27.898659049061692,47.74590274265109,32.453799304936666,43.27068384274781
Jesse Lingard,,40.228557397066794,,19.783519227645254,44.36818107549737,34.52825317908867,30.930818772567616,33.48287442939858,32.24406373945923,44.11864788588972,25.77919872430295,45.266718262989784,39.98341123697117,29.988285106080955,51.51537354407232,34.640001511616795
Harry Kane,,34.875603653921274,,49.00598494058703,43.605153504435386,33.48586549088968,,47.76307797118784,37.38046671482821,43.28624923875564,,43.775454933092036,48.03322390182596,36.248734236081056,43.396283881702885,34.90759133142649
Bukayo Saka,,19.03163415707312,,31.018607850579883,43.54632821185185,38.69964581316409,30.990183854917607,24.65276338053664,38.898520873534764,36.69825322894786,38.46381658681332,42.441890970321595,49.557499425366046,24.799444089696287,38.74719237934736,28.84856150059549
Diogo Jota,,37.43231606068008,,37.855362697686665,35.714100566187696,31.3465384639916,,28.95731375815633,37.52746987060495,41.53732074565511,41.30370873177105,32.32521803511671,32.42983639490736,48.22849488896655,42.37852781013364,37.70809244408027
Timo Werner,,35.4375208099767,,35.32319968738329,40.90395224979564,45.389672966280614,,52.70141577186607,41.205305337323985,30.678707596068374,32.95619397916223,39.026381959257264,20.238996643494385,31.642941284367247,32.986421186561,41.00793103890513
Neal Maupay,,38.228639549761276,,48.89427249262106,30.603486498992286,32.87751901099598,41.87389207016451,32.77145643112259,37.949056169271344,24.46755367092808,38.37794281801516,42.11072901667701,31.77926652878955,30.57544290104333,18.776934212695792,29.357059406586004
Danny Ings,,24.343183280447636,41.89667705702225,37.75615830144141,38.1828648875319,28.317804925233787,,42.745161747076054,48.64573927822825,38.03432053886689,,30.447926706741168,24.199201206742085,36.02307782357623,41.89667705702225,30.420025656481055
Wilfried Zaha,,30.35698863126256,,38.61712328482544,40.72316423679773,52.1487508699033,,40.47500402461169,26.0961518749211,35.065897511486405,32.64050187938168,20.026755986730613,40.932438031839105,40.577892417449135,31.31111067248311,25.941801557651626
