index,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,name,opponent_team,own_goals,penalties_missed,penalties_saved,position,red_cards,round,saves,selected,team,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
0,0,0,0,0,0.0,1,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,Cédric Alves Soares,7,0,0,0,Defender,0,1,0,23970,1,2,0,0.0,0,0,0,0,45,False,0
1,0,0,0,0,0.0,1,11,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,Cédric Alves Soares,10,0,0,0,Defender,0,2,0,24193,1,2,4,0.0,0,-5169,1361,6530,44,True,0
2,0,0,0,0,0.0,1,21,0,0,0.0,0.0,2022-08-20T16:30:00Z,0,Cédric Alves Soares,3,0,0,0,Defender,0,3,0,20960,1,3,0,0.0,0,-4337,879,5216,44,False,0
3,0,0,0,0,0.0,1,31,0,0,0.0,0.0,2022-08-27T16:30:00Z,0,Cédric Alves Soares,9,0,0,0,Defender,0,4,0,18825,1,1,2,0.0,0,-2988,577,3565,43,True,0
4,0,0,0,0,0.0,1,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,Cédric Alves Soares,2,0,0,0,Defender,0,5,0,17790,1,1,2,0.0,0,-1611,405,2016,43,True,0
5,0,0,0,0,0.0,1,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,Cédric Alves Soares,14,0,0,0,Defender,0,6,0,17133,1,1,3,0.0,0,-1207,516,1723,42,False,0
6,0,0,0,0,0.0,1,72,0,0,0.0,0.0,2022-09-18T11:00:00Z,0,Cédric Alves Soares,4,0,0,0,Defender,0,8,0,16837,1,3,0,0.0,0,-445,114,559,42,False,0
7,0,0,0,0,0.0,1,81,0,0,0.0,0.0,2022-10-01T11:30:00Z,0,Cédric Alves Soares,18,0,0,0,Defender,0,9,0,15362,1,1,3,0.0,0,-1572,64,1636,42,True,0
8,0,0,0,0,0.0,1,91,0,0,0.0,0.0,2022-10-09T15:30:00Z,0,Cédric Alves Soares,12,0,0,0,Defender,0,10,0,14630,1,2,3,0.0,0,-828,148,976,42,True,0
9,0,0,0,0,0.0,1,104,0,0,0.0,0.0,2022-10-16T13:00:00Z,0,Cédric Alves Soares,11,0,0,0,Defender,0,11,0,14586,1,1,0,0.0,0,-229,227,456,42,False,0
10,0,0,12,1,15.0,3,1,0,0,3.4,16.6,2022-08-05T19:00:00Z,90,Granit Xhaka,7,0,0,0,Midfielder,0,1,0,48303,1,2,0,2.0,2,0,0,0,50,False,1
11,1,2,35,0,25.5,3,11,2,1,10.8,54.8,2022-08-13T14:00:00Z,90,Granit Xhaka,10,0,0,0,Midfielder,0,2,0,65418,1,2,4,28.0,12,-629,9001,9630,50,True,0
12,1,0,25,1,34.0,3,21,0,0,6.6,25.8,2022-08-20T16:30:00Z,87,Granit Xhaka,3,0,0,0,Midfielder,0,3,0,216726,1,3,0,6.0,6,112040,137326,25286,50,False,0
13,0,0,9,0,25.0,3,31,1,0,4.5,8.2,2022-08-27T16:30:00Z,90,Granit Xhaka,9,0,0,0,Midfielder,0,4,0,267951,1,1,2,12.0,2,42760,77459,34699,50,True,0
14,0,0,14,0,25.0,3,41,1,0,4.6,12.6,2022-08-31T18:30:00Z,90,Granit Xhaka,2,0,0,0,Midfielder,0,5,0,288460,1,1,2,8.0,2,10781,49435,38654,50,True,0
15,0,0,18,0,14.9,3,56,3,0,7.6,15.2,2022-09-04T15:30:00Z,90,Granit Xhaka,14,0,0,0,Midfielder,0,6,0,308627,1,1,3,46.0,2,8776,50721,41945,50,False,0
16,1,0,24,1,36.2,3,72,0,0,6.4,25.0,2022-09-18T11:00:00Z,90,Granit Xhaka,4,0,0,0,Midfielder,0,8,0,302039,1,3,0,3.0,5,-3612,11300,14912,50,False,1
17,0,2,29,0,20.2,3,81,1,1,8.7,36.2,2022-10-01T11:30:00Z,90,Granit Xhaka,18,0,0,0,Midfielder,0,9,0,317511,1,1,3,31.0,9,7375,32640,25265,51,True,0
18,0,0,8,0,7.3,3,91,2,0,4.2,16.6,2022-10-09T15:30:00Z,90,Granit Xhaka,12,0,0,0,Midfielder,0,10,0,390185,1,2,3,18.0,2,63525,83754,20229,51,True,0
19,0,0,15,1,2.8,3,104,0,0,1.3,8.6,2022-10-16T13:00:00Z,90,Granit Xhaka,11,0,0,0,Midfielder,0,11,0,381694,1,1,0,2.0,3,-8549,26252,34801,51,False,0
20,0,0,0,0,0.0,4,1,0,0,0.0,0.0,2022-08-05T19:00:00Z,0,Mohamed Elneny,7,0,0,0,Midfielder,0,1,0,86132,1,2,0,0.0,0,0,0,0,45,False,0
21,0,0,0,0,0.0,4,11,0,0,0.0,0.0,2022-08-13T14:00:00Z,0,Mohamed Elneny,10,0,0,0,Midfielder,0,2,0,87552,1,2,4,0.0,0,-12599,5829,18428,45,True,0
22,0,0,0,0,0.0,4,21,0,0,0.0,0.0,2022-08-20T16:30:00Z,0,Mohamed Elneny,3,0,0,0,Midfielder,0,3,0,131934,1,3,0,0.0,0,21882,57920,36038,44,False,0
23,0,0,15,0,3.8,4,31,1,0,0.8,4.2,2022-08-27T16:30:00Z,90,Mohamed Elneny,9,0,0,0,Midfielder,0,4,0,115883,1,1,2,0.0,2,-18950,14683,33633,44,True,0
24,0,0,0,0,0.0,4,41,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,Mohamed Elneny,2,0,0,0,Midfielder,0,5,0,110818,1,1,2,0.0,0,-9174,10920,20094,44,True,0
25,0,0,0,0,0.0,4,56,0,0,0.0,0.0,2022-09-04T15:30:00Z,0,Mohamed Elneny,14,0,0,0,Midfielder,0,6,0,85016,1,1,3,0.0,0,-25515,941,26456,44,False,0
