id,Name,web_name,Team number,Team,Position,Team games,Played
1,Bernd Leno,Leno,1,Arsenal,Goalkeeper,20,3
2,Runar Alex Runarsson,Runarsson,1,Arsenal,Goalkeeper,20,0
3,Willian Borges Da Silva,Willian,1,Arsenal,Midfielder,20,0
4,Pierre-Emerick Aubameyang,Aubameyang,1,Arsenal,Forward,20,14
5,Cedric Soares,Cedric,1,Arsenal,Defender,20,4
6,Alexandre Lacazette,Lacazette,1,Arsenal,Forward,20,15
7,Granit Xhaka,Xhaka,1,Arsenal,Midfielder,20,10
8,Pablo Mari,Mari,1,Arsenal,Defender,20,2
9,Hector Bellerin,Bellerin,1,Arsenal,Defender,20,0
10,Calum Chambers,Chambers,1,Arsenal,Defender,20,2
11,Sead Kolasinac,Kolasinac,1,Arsenal,Defender,20,2
12,Mohamed Naser El Sayed Elneny,Elneny,1,Arsenal,Midfielder,20,7
13,Ainsley Maitland-Niles,Maitland-Niles,1,Arsenal,Midfielder,20,8
14,Rob Holding,Holding,1,Arsenal,Defender,20,5
15,Thomas Partey,Partey,1,Arsenal,Midfielder,20,16
16,Kieran Tierney,Tierney,1,Arsenal,Defender,20,14
17,Nicolas Pepe,Pepe,1,Arsenal,Midfielder,20,9
18,Lucas Torreira,Torreira,1,Arsenal,Midfielder,20,0
20,Edward Nketiah,Nketiah,1,Arsenal,Forward,20,3
21,Emile Smith Rowe,Smith Rowe,1,Arsenal,Midfielder,20,18
22,Bukayo Saka,Saka,1,Arsenal,Midfielder,20,20
23,Gabriel Magalhaes,Gabriel,1,Arsenal,Defender,20,17
24,Konstantinos Mavropanos,Mavropanos,1,Arsenal,Defender,20,0
25,Matteo Guendouzi,Guendouzi,1,Arsenal,Midfielder,20,0
26,Gabriel Teodoro Martinelli Silva,Martinelli,1,Arsenal,Midfielder,20,13
27,William Saliba,Saliba,1,Arsenal,Defender,20,0
67,Ben White,White,1,Arsenal,Defender,20,18
466,Nuno Varela Tavares,Tavares,1,Arsenal,Defender,20,13
478,Albert Sambi Lokonga,Sambi Lokonga,1,Arsenal,Midfielder,20,13
530,Folarin Balogun,Balogun,1,Arsenal,Forward,20,2
531,Reiss Nelson,Nelson,1,Arsenal,Midfielder,20,1
532,Karl Hein,Hein,1,Arsenal,Goalkeeper,20,0
558,Martin Ødegaard,Ødegaard,1,Arsenal,Midfielder,19,18
559,Aaron Ramsdale,Ramsdale,1,Arsenal,Goalkeeper,19,17
572,Arthur Okonkwo,Okonkwo,1,Arsenal,Goalkeeper,18,0
590,Takehiro Tomiyasu,Tomiyasu,1,Arsenal,Defender,17,16
664,Charlie Patino,Patino,1,Arsenal,Midfielder,2,0
28,Jed Steer,Steer,2,Aston Villa,Goalkeeper,19,1
29,Conor Hourihane,Hourihane,2,Aston Villa,Midfielder,19,0
