GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW7*,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW25*,GW26,GW27,GW28,GW28*,GW29,GW30,GW31,GW32,GW33,GW34,GW34*,GW35,GW35*,GW36,GW37,GW37*,GW38
2,12.0,21,31,43,51,62,,71,84,91,107,111,121,131,146,151,161.0,174.0,181,193,201,215,221,239,242,,251.0,269,271,,,296,301,312,321,340.0,281.0,348,,351,365,,371
6,11.0,25,37,41,55,61,,80,81,92,108,112,130,132,141,151,163.0,171.0,188,191,207,211,230,231,244,,252.0,265,272,,289.0,291,309,311,321,331.0,,341,,353,361,,376
3,14.0,22,32,42,53,62,,75,82,93,106,113,129,132,143,157,,177.0,182,198,202,217,222,233,247,,253.0,262,273,162.0,,292,302,316,322,331.0,290.0,342,,351,362,,375
8,13.0,23,32,46,52,67,,78,83,95,101,117,121,133,142,158,163.0,,183,192,203,216,223,240,241,176.0,259.0,261,271,,283.0,293,303,311,323,336.0,,343,,352,362,,372
4,20.0,24,33,45,53,61,,72,86,94,103,114,128,135,142,152,161.0,172.0,184,199,204,214,224,238,249,,254.0,264,274,,,295,303,312,324,282.0,,342,,353,366,332.0,373
1,,25,34,47,54,66,15.0,73,83,93,102,111,122,134,149,152,164.0,173.0,185,191,205,220,225,234,242,,256.0,262,279,,283.0,294,304,314,324,338.0,,345,,354,368,,374
9,19.0,26,35,42,55,64,,73,84,95,110,115,127,135,150,154,165.0,180.0,186,195,206,219,226,232,246,,,261,275,,,294,307,318,325,281.0,,341,255.0,355,367,332.0,375
7,12.0,23,36,41,56,65,,74,87,96,102,116,125,140,143,153,167.0,172.0,186,192,201,212,224,232,243,,256.0,270,276,,,298,302,313,326,333.0,284.0,344,,356,370,,376
5,11.0,27,40,43,52,63,,75,85,99,103,116,123,139,144,154,164.0,178.0,187,200,207,213,227,236,243,,254.0,263,278,,,292,310,314,325,334.0,285.0,343,,358,363,,371
5,13.0,21,39,44,56,64,,76,90,94,104,112,124,136,145,155,168.0,173.0,182,193,206,213,225,233,244,,258.0,264,280,,286.0,299,305,315,330,335.0,,344,,352,364,,378
9,14.0,29,37,50,57,68,,72,85,97,105,117,126,136,147,153,166.0,174.0,185,194,202,219,221,234,241,257.0,,268,277,,,295,308,317,326,335.0,285.0,349,,357,361,,377
4,,26,38,44,58,63,15.0,77,88,92,105,118,125,133,146,156,,175.0,190,195,205,214,229,235,245,257.0,,265,276,162.0,287.0,300,301,316,327,336.0,,350,,358,369,,378
1,16.0,30,39,49,59,70,,71,86,98,106,115,126,137,141,156,167.0,,187,196,209,220,223,236,246,176.0,253.0,266,277,,,296,309,313,327,282.0,,347,,359,364,339.0,379
10,18.0,28,31,45,54,65,,78,89,98,104,118,123,138,150,157,166.0,179.0,188,197,208,218,228,231,245,,258.0,266,278,,,293,307,317,322,288.0,,345,,356,365,337.0,373
6,16.0,29,33,46,60,66,,79,87,100,107,113,127,138,144,159,168.0,175.0,189,194,209,211,229,237,247,,251.0,267,275,,,297,310,315,328,284.0,,346,,354,366,337.0,372
2,17.0,28,35,47,59,67,,74,88,97,108,119,128,139,145,160,169.0,177.0,189,197,203,215,222,237,248,,252.0,268,274,,287.0,298,305,319,329,334.0,,347,,360,367,,374
7,17.0,30,40,48,60,69,,76,89,91,109,114,129,134,147,158,165.0,171.0,190,196,210,212,230,235,249,,260.0,269,273,,,299,308,318,323,338.0,288.0,346,,360,363,,380
8,18.0,22,34,48,51,68,,77,90,96,110,120,130,137,148,159,169.0,178.0,184,198,208,216,227,238,250,,,270,272,,286.0,300,306,319,328,,,348,255.0,357,368,339.0,380
3,19.0,24,38,49,57,69,,79,81,99,101,119,122,140,148,155,170.0,179.0,181,199,210,217,228,239,248,,259.0,263,279,,289.0,297,306,320,330,333.0,,349,,355,369,,379
10,20.0,27,36,50,58,70,,80,82,100,109,120,124,131,149,160,170.0,180.0,183,200,204,218,226,240,250,,260.0,267,280,,,291,304,320,329,340.0,290.0,350,,359,370,,377
