GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
1,18,24,31,43,51,61,71,81,93,101,114,121.0,134,142,151.0,161.0,173.0,187.0,,,,,,,,,,,,,,,,,,,
8,11,21,33,41,58,68,72,81,91,109,111,126.0,131,141,158.0,167.0,,181.0,,,,,,,,,,,,,,,,,,,
1,13,21,32,50,52,69,73,82,92,102,116,122.0,140,143,152.0,,,182.0,192.0,,,,,,,,,,,,,,,,,,
2,12,22,32,42,54,61,78,83,94,103,111,123.0,136,146,,163.0,,182.0,193.0,,,,,,,,,,,,,,,,,,
2,15,29,35,43,57,62,76,89,92,104,112,,137,145,154.0,,,,,,,,,,,,,,,,,,,,,,
3,18,23,33,48,53,63,73,84,96,104,113,125.0,135,149,155.0,168.0,180.0,181.0,193.0,,,,,,,,,,,,,,,,,,
3,13,28,34,44,54,64,71,85,95,105,112,126.0,133,144,156.0,165.0,,188.0,194.0,,,,,,,,,,,,,,,,,,
4,14,22,35,41,55,67,74,86,100,106,115,122.0,132,142,156.0,168.0,,,,,,,,,,,,,,,,,,,,,
5,20,26,37,42,57,64,75,82,93,107,113,127.0,139,141,157.0,,,185.0,197.0,,,,,,,,,,,,,,,,,,
6,14,29,36,46,56,65,79,87,97,107,118,123.0,133,143,155.0,170.0,173.0,,,,,,,,,,,,,,,,,,,,
7,15,23,36,44,52,66,80,88,94,110,114,128.0,132,150,158.0,169.0,177.0,,197.0,,,,,,,,,,,,,,,,,,
10,16,24,37,45,53,66,76,83,95,108,115,129.0,131,148,159.0,170.0,175.0,185.0,192.0,,,,,,,,,,,,,,,,,,
6,19,30,38,49,58,67,75,88,98,108,119,125.0,134,144,160.0,,,186.0,,,,,,,,,,,,,,,,,,,
9,11,25,38,46,60,70,77,85,96,103,116,121.0,138,145,157.0,169.0,175.0,186.0,,,,,,,,,,,,,,,,,,,
7,16,26,31,47,55,62,78,84,97,102,117,130.0,138,147,160.0,167.0,,187.0,194.0,,,,,,,,,,,,,,,,,,
4,19,25,39,45,59,63,79,89,99,109,117,128.0,139,146,151.0,165.0,,189.0,199.0,,,,,,,,,,,,,,,,,,
10,17,27,34,48,51,68,77,90,98,106,118,,140,147,,,177.0,188.0,199.0,,,,,,,,,,,,,,,,,,
8,12,27,40,47,60,65,80,86,99,101,119,127.0,135,148,152.0,,,,200.0,,,,,,,,,,,,,,,,,,
9,20,28,39,49,56,69,74,90,91,110,120,129.0,136,149,154.0,161.0,,189.0,200.0,,,,,,,,,,,,,,,,,,
5,17,30,40,50,59,70,72,87,100,105,120,130.0,137,150,159.0,163.0,180.0,,,,,,,,,,,,,,,,,,,,
