GW1,GW2,GW3,GW4,GW5,GW6,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
,,,,,,,,,,,,,,160,161,172,181,199,201,215,221,231,246,251,264,271,281,296,309,311,329,331,346,351,367,371
,,,,,,,,,,,,,,152,162,178,182,191,209,211,228,231,243,252,270,272,284,291,301,313,321,339,350,352,364,372
,,,,,,,,,,,,,,151,164,171,189,192,202,213,222,240,241,251,261,272,282,295,308,312,330,332,341,355,361,376
,,,,,,,,,,,,,,155,163,179,183,192,205,212,221,232,247,253,263,273,283,292,310,313,328,333,344,353,368,373
,,,,,,,,,,,,,,152,170,172,186,193,206,213,223,233,248,254,265,274,283,299,302,314,324,334,342,351,362,372
,,,,,,,,,,,,,,156,164,177,184,194,207,214,230,234,249,255,266,275,284,300,302,319,328,331,341,354,365,374
,,,,,,,,,,,,,,157,165,171,185,194,203,216,223,232,242,252,262,271,285,294,307,315,327,335,348,355,363,375
,,,,,,,,,,,,,,151,166,175,186,195,210,215,227,235,243,258,263,275,286,297,303,315,322,337,342,356,370,376
,,,,,,,,,,,,,,153,165,173,188,197,204,214,224,233,244,253,264,276,282,293,303,316,321,336,343,360,363,379
,,,,,,,,,,,,,,159,168,174,188,198,206,211,226,236,246,259,266,273,285,295,305,317,323,337,343,358,366,378
,,,,,,,,,,,,,,158,167,176,187,191,205,218,225,235,245,255,265,280,281,294,304,316,323,332,345,357,369,377
,,,,,,,,,,,,,,154,162,174,183,193,207,220,227,237,242,256,261,276,287,296,304,318,326,338,344,358,364,380
,,,,,,,,,,,,,,155,167,175,184,196,208,219,228,238,241,257,262,277,287,298,305,314,329,336,345,356,365,373
,,,,,,,,,,,,,,153,169,180,189,196,201,216,225,236,247,256,267,274,288,297,306,319,325,339,349,359,361,379
,,,,,,,,,,,,,,156,168,176,181,197,203,217,222,237,248,257,268,278,288,292,301,320,322,340,346,357,366,374
,,,,,,,,,,,,,,157,169,177,190,198,202,218,224,238,250,258,269,278,289,291,306,318,324,333,347,354,367,375
,,,,,,,,,,,,,,154,170,173,190,195,209,212,229,234,245,259,267,279,290,298,307,311,330,340,347,360,362,380
,,,,,,,,,,,,,,158,163,178,185,199,204,219,226,239,249,260,269,279,286,299,308,320,325,338,348,352,368,377
,,,,,,,,,,,,,,159,161,179,187,200,210,217,230,239,250,254,270,277,290,293,309,312,326,335,349,353,369,378
,,,,,,,,,,,,,,160,166,180,182,200,208,220,229,240,244,260,268,280,289,300,310,317,327,334,350,359,370,371
