GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.3,1.4,22.5,37.4,3.3,2.8,15.8,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,20.8,1.0,14.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.3,0.0,0.0,0.0,2.4,26.8,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.7,26.0,0.3,0.0,0.0,2.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.1,27.0,0.5,0.3,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.7,15.3,22.6,15.7,13.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
