GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW24*,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW29,GW30,GW31,GW32,GW32*,GW33,GW34,GW35,GW35*,GW35**,GW36,GW37,GW38
136.80000000000007,129.6,54.7,116.6,110.6,160.6,89.3,125.69999999999999,90.4,116.30000000000001,152.7,229.0,98.69999999999999,159.6,88.5,134.1,215.09999999999997,144.7,225.3,,129.7,152.6,102.6,189.70000000000002,147.7,,81.69999999999999,,157.4,,135.5,,161.20000000000002,228.10000000000002,47.699999999999996,138.39999999999998,215.7,,201.29999999999998,281.6,141.5,66.0,,,123.19999999999999,219.99999999999997
,266.2,151.90000000000003,162.1,130.2,126.99999999999999,221.3,193.5,168.0,196.10000000000002,,111.5,278.99999999999994,240.39999999999998,211.10000000000002,118.9,173.1,,80.39999999999999,149.5,208.3,79.6,127.69999999999999,142.4,53.5,,125.6,,91.9,215.9,81.8,,176.7,104.8,155.89999999999998,106.69999999999999,114.60000000000001,,301.6,116.0,98.19999999999999,159.7,,179.1,206.10000000000002,54.4
144.20000000000002,114.0,199.2,123.0,206.10000000000002,78.10000000000001,105.79999999999998,232.99999999999994,92.69999999999999,94.80000000000001,110.5,130.29999999999998,101.79999999999998,274.79999999999995,146.9,166.89999999999998,160.5,62.0,81.4,,213.5,228.5,143.8,114.0,252.2,,246.89999999999998,,123.89999999999999,,101.6,,76.3,157.39999999999998,59.9,188.8,97.2,,220.7,173.8,88.8,,,117.80000000000001,180.0,46.3
,153.6,92.9,103.3,99.6,135.5,63.5,68.30000000000001,106.69999999999999,101.4,119.69999999999999,121.30000000000001,69.69999999999999,89.0,178.8,73.80000000000001,,68.0,106.5,60.400000000000006,107.4,31.900000000000002,33.6,189.0,155.5,113.39999999999998,109.5,,96.4,140.7,69.3,,132.2,,94.30000000000001,222.5,121.5,,164.10000000000002,70.8,138.60000000000002,,,174.20000000000002,132.2,133.5
130.9,48.49999999999999,258.6,209.5,151.89999999999998,75.8,167.4,231.1,220.3,186.0,256.29999999999995,116.60000000000001,170.7,133.8,211.79999999999998,167.5,150.0,,263.4,148.8,253.7,256.3,200.6,151.1,225.3,,117.80000000000001,,193.00000000000003,129.8,213.7,,227.20000000000002,,210.40000000000003,328.5,127.39999999999999,,192.7,118.1,129.4,277.29999999999995,,,172.2,283.2
94.4,125.19999999999997,94.1,78.4,19.1,139.1,104.69999999999999,106.8,200.50000000000003,146.8,230.8,160.50000000000003,122.5,76.4,133.0,67.3,126.2,125.2,38.1,,112.5,112.9,80.4,118.0,141.89999999999998,,44.0,,60.39999999999999,79.1,74.1,,51.3,,124.89999999999998,45.3,,,65.2,88.30000000000001,197.7,85.89999999999999,,206.0,176.5,46.7
170.20000000000002,210.2,98.9,145.40000000000003,141.4,73.7,174.79999999999998,105.1,129.8,179.29999999999998,155.70000000000002,100.29999999999998,113.7,91.3,101.1,,140.6,90.5,,,77.39999999999999,110.0,107.89999999999999,63.1,87.2,39.699999999999996,54.4,,86.9,118.89999999999999,78.6,,206.2,,181.40000000000003,68.9,176.2,,59.1,154.6,94.4,170.9,,200.8,173.5,60.5
69.5,140.1,219.70000000000002,129.6,181.3,241.7,117.9,148.50000000000003,195.5,107.70000000000002,83.6,99.60000000000001,104.6,124.30000000000001,117.19999999999999,,,163.5,87.2,138.5,124.9,160.0,132.0,193.10000000000002,152.2,115.0,154.30000000000004,,203.20000000000002,142.0,104.8,,63.49999999999999,152.60000000000002,134.20000000000002,162.7,18.200000000000003,,,128.5,224.60000000000002,,,127.10000000000001,76.2,149.8
89.30000000000001,189.5,55.60000000000001,81.4,104.3,65.69999999999999,99.3,115.00000000000001,126.5,143.3,135.79999999999998,188.2,160.1,191.4,104.30000000000001,155.7,116.79999999999998,,169.30000000000004,114.0,171.5,177.2,113.80000000000001,145.39999999999998,77.5,,160.7,,75.5,200.60000000000002,120.2,,225.9,,67.80000000000001,191.3,208.3,,181.5,279.79999999999995,318.6,147.2,,,88.3,112.2
60.8,114.3,229.70000000000002,125.0,174.1,275.40000000000003,138.7,121.2,239.89999999999998,243.7,92.0,144.8,289.59999999999997,196.3,88.6,196.10000000000002,179.0,,94.6,,106.5,110.19999999999999,189.4,206.60000000000002,113.9,,186.5,117.0,147.10000000000002,,169.9,,84.10000000000001,131.60000000000002,177.20000000000002,35.6,146.1,,74.5,113.2,202.1,,,146.6,139.2,178.3
198.5,207.3,217.0,167.2,203.60000000000002,185.3,143.89999999999998,85.2,244.0,76.1,144.3,126.8,242.89999999999998,176.70000000000002,266.7,155.89999999999998,222.8,,200.6,310.40000000000003,186.1,182.60000000000002,136.2,96.1,164.3,,187.2,,198.89999999999998,113.10000000000001,217.7,,166.7,,183.5,207.60000000000002,173.8,,260.2,,185.4,180.1,,355.0,240.2,243.2
,151.1,179.20000000000002,236.7,177.4,179.8,175.9,102.2,275.90000000000003,231.4,175.2,110.99999999999999,320.8,135.3,158.70000000000002,,189.9,210.5,169.29999999999998,300.20000000000005,249.0,185.5,182.0,83.8,193.8,199.9,181.2,,162.9,223.3,302.90000000000003,185.4,85.5,,155.5,354.29999999999995,214.7,,,197.4,159.39999999999998,,,234.0,92.70000000000002,266.8
,217.59999999999997,83.2,77.20000000000002,308.1,193.0,141.2,143.70000000000002,191.6,159.5,191.1,132.5,129.2,239.8,131.39999999999998,168.89999999999998,190.4,179.3,85.2,169.20000000000002,186.5,168.49999999999997,282.6,194.7,186.20000000000002,,226.5,,132.1,183.7,66.3,,231.0,,200.8,165.7,242.1,,207.9,,213.7,64.60000000000001,193.79999999999998,,116.3,114.60000000000001
182.90000000000003,78.2,77.9,118.79999999999998,98.2,65.7,98.29999999999998,59.10000000000001,92.00000000000001,117.69999999999999,,154.29999999999998,131.4,108.4,83.10000000000001,97.9,79.2,57.89999999999999,59.0,97.5,207.3,143.5,247.1,49.60000000000001,123.80000000000001,,82.1,,201.5,,93.7,,174.1,51.599999999999994,165.79999999999998,126.7,147.59999999999997,,103.39999999999999,81.4,86.1,,,87.6,170.10000000000002,84.80000000000001
156.3,38.6,178.1,80.4,116.30000000000001,156.1,65.19999999999999,68.7,125.30000000000001,237.10000000000002,78.5,57.2,142.0,55.7,135.0,122.80000000000001,88.4,218.9,158.8,,74.89999999999999,46.400000000000006,175.7,73.2,148.0,,41.3,,120.0,90.20000000000002,112.30000000000001,,30.8,,80.0,78.30000000000001,122.8,,73.9,115.1,95.60000000000001,,,111.89999999999999,174.0,122.89999999999999
106.5,94.9,75.4,134.9,120.39999999999999,177.7,91.60000000000001,172.5,109.1,87.1,125.2,194.9,130.6,119.6,34.2,115.59999999999998,80.80000000000001,,108.60000000000001,,148.4,167.60000000000002,24.1,163.4,79.8,,44.5,116.7,47.89999999999999,,126.39999999999999,101.5,82.2,,188.7,142.7,85.7,,,49.900000000000006,130.20000000000002,147.1,,145.5,162.29999999999998,209.8
154.10000000000002,94.39999999999999,233.7,210.5,126.80000000000001,133.5,96.3,202.9,42.0,67.2,39.199999999999996,119.1,64.2,130.0,79.80000000000001,,170.9,163.7,160.79999999999995,,54.5,124.99999999999999,76.5,139.1,48.800000000000004,,213.59999999999997,,177.60000000000002,85.2,174.3,,59.0,101.80000000000001,101.1,121.4,131.2,117.1,,224.20000000000002,139.3,,,228.10000000000002,125.1,141.29999999999998
58.7,64.80000000000001,106.0,48.699999999999996,167.99999999999997,97.9,106.89999999999999,137.1,86.3,185.10000000000002,131.39999999999998,137.5,36.5,21.0,66.9,26.0,121.8,,83.1,79.4,37.8,81.5,70.2,74.8,102.79999999999998,,81.7,,65.8,123.60000000000001,180.50000000000003,,146.4,,127.6,156.0,47.800000000000004,,82.8,111.1,129.5,,,127.6,104.30000000000001,114.29999999999998
152.7,140.8,169.3,174.60000000000002,136.7,68.5,36.3,171.3,205.0,66.9,181.5,191.70000000000002,127.30000000000001,75.2,128.7,87.1,91.5,,131.2,176.5,181.9,81.89999999999999,199.8,116.89999999999999,110.4,,57.7,,114.49999999999999,,124.10000000000001,,87.69999999999999,157.0,104.5,60.6,167.6,,96.69999999999999,272.6,155.2,,,203.7,190.20000000000002,131.3
122.4,132.8,154.6,125.19999999999999,87.7,173.3,179.60000000000002,132.70000000000002,188.8,113.7,107.2,158.50000000000003,128.60000000000002,156.70000000000002,151.0,116.30000000000001,120.3,160.5,258.6,,33.3,121.30000000000001,168.0,159.10000000000002,109.0,,140.2,,177.0,58.5,130.6,,113.49999999999999,,233.1,108.7,135.0,,122.5,203.2,152.9,,,181.7,92.5,157.2
