GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW7*,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
,,,,243.3821233867513,233.43483991341432,260.4449119266408,,140.75869418030115,162.34581764787242,275.97229344461545,140.01431277316226,221.08961422958527,188.47337239934643,232.1807636131718,251.2618052726277,194.77728324491974,216.33179490608296,191.642652144935,253.57433881343596,240.1133084171139,153.56571929362826,204.04675227952598,191.642652144935,253.57433881343596,221.08961422958527,140.01431277316226,275.97229344461545,188.47337239934643,162.34581764787242,140.75869418030115,251.2618052726277,216.33179490608296,194.77728324491974,232.1807636131718,233.43483991341432,260.4449119266408,218.9916750459962,243.3821233867513
,,,,,147.94602986661369,197.1435461287532,,211.58673925603065,231.08274205665106,228.97532616351086,185.94816512249025,218.8156813223288,212.72958119959782,237.3439074487383,128.27364618873682,142.57366354747802,171.75611657908658,251.4940376035614,199.56749959009065,201.47935526712953,221.79455816765258,127.59529009993638,251.4940376035614,199.56749959009065,218.8156813223288,185.94816512249025,228.97532616351086,212.72958119959782,231.08274205665106,211.58673925603065,128.27364618873682,171.75611657908658,142.57366354747802,237.3439074487383,147.94602986661369,197.1435461287532,174.64428679923665,139.94471075553994
,,,,98.83645263334026,131.70322161730635,95.24740310150129,,148.1715147235372,141.35210489376448,134.59979136587413,85.6941694688892,85.2409886062482,168.01247426228642,118.58079258464655,93.49111151104806,133.32256187052502,152.96868053145735,124.22406353827358,146.1814537500265,142.11558900837443,116.67242301451923,154.37655549294766,124.22406353827358,146.1814537500265,85.2409886062482,85.6941694688892,134.59979136587413,168.01247426228642,141.35210489376448,148.1715147235372,93.49111151104806,152.96868053145735,133.32256187052502,118.58079258464655,131.70322161730635,95.24740310150129,114.7429592808979,98.83645263334026
,,,,,183.3094791287792,153.68303701928772,,164.9391883331957,166.5193049565372,122.27491016041999,190.98600719516054,144.34057133983484,117.83473958190946,189.24426333602025,162.93583148755883,207.85560032656403,146.7014990291951,,174.87288815382885,115.66195423079166,153.68303701928772,175.81742783565218,106.01601528488722,174.87288815382885,144.34057133983484,190.98600719516054,122.27491016041999,117.83473958190946,166.5193049565372,164.9391883331957,162.93583148755883,146.7014990291951,207.85560032656403,189.24426333602025,183.3094791287792,180.8474874216052,196.16075528746984,105.45536536484792
,,,,,252.78796682710072,189.050932311775,,186.0084577375689,136.620461700931,233.05410189770743,236.226815405512,267.858851395516,198.04788377260783,157.5729349538928,182.9323531699385,214.58969443575467,151.85098669129408,149.05096692966617,226.57197689829653,246.11938499389828,225.3547697897405,243.87483873774008,149.05096692966617,226.57197689829653,267.858851395516,236.226815405512,233.05410189770743,198.04788377260783,136.620461700931,186.0084577375689,182.9323531699385,151.85098669129408,214.58969443575467,157.5729349538928,252.78796682710072,189.050932311775,135.89796472042735,212.5534335742034
,,,,177.18662531075938,190.16424147439827,121.5832317757065,218.1864246717208,140.97508164666223,163.66328031837566,226.16069360624593,133.35077015968554,135.8558514709099,220.19454295557586,239.64409532838465,201.61715639725463,187.85450029764723,211.3440014217387,208.50548384297372,166.41536520339895,169.13736249076368,218.1864246717208,122.22962495766869,208.50548384297372,166.41536520339895,135.8558514709099,133.35077015968554,226.16069360624593,220.19454295557586,163.66328031837566,140.97508164666223,201.61715639725463,211.3440014217387,187.85450029764723,239.64409532838465,190.16424147439827,121.5832317757065,202.70614970413058,177.18662531075938
,,,,239.5003382839265,179.1135978894534,220.80377062067367,,203.30993225148177,143.86904225622342,173.3166377228759,214.6623741386985,129.43909951322615,128.7545800979563,198.9347293379629,201.3807060652155,223.8097125883026,253.7790319958082,213.50914869873853,141.2162036400157,231.05572274560103,220.80377062067367,176.2310489339448,213.50914869873853,141.2162036400157,129.43909951322615,214.6623741386985,173.3166377228759,128.7545800979563,143.86904225622342,203.30993225148177,201.3807060652155,253.7790319958082,223.8097125883026,198.9347293379629,179.1135978894534,233.18228594554753,187.63763068041033,239.5003382839265
,,,,,200.60999598033186,182.96328237827996,,170.4770902722606,116.97923329522138,195.03026552509795,184.71606973505433,203.34102726819472,209.92434812563744,211.85642489132854,217.59665500897066,160.11370602444865,117.60114947337239,180.74100428926536,135.63677099141623,157.46583447907557,130.71139096758202,230.569480065776,180.74100428926536,135.63677099141623,203.34102726819472,184.71606973505433,195.03026552509795,209.92434812563744,116.97923329522138,170.4770902722606,217.59665500897066,117.60114947337239,160.11370602444865,211.85642489132854,200.60999598033186,182.96328237827996,193.9825091836891,162.73262930076856
,,,,92.46511728896961,111.39118592750859,148.5002900478783,,153.92767285356143,113.26428781401343,149.86703936810574,127.85601956204349,90.76012898884944,129.42805703045667,120.59533626274617,82.75100162998804,95.9493265703897,130.66797718834835,137.96422976746982,83.19094456021746,137.22304789891595,115.11691172171702,141.911325939922,137.96422976746982,83.19094456021746,90.76012898884944,127.85601956204349,149.86703936810574,129.42805703045667,113.26428781401343,153.92767285356143,82.75100162998804,130.66797718834835,95.9493265703897,120.59533626274617,111.39118592750859,148.5002900478783,163.10463732136583,92.46511728896961
,,,,,95.37736008643911,100.83054720514681,,171.40224346176495,144.98287043198044,134.36042624494306,136.01243782056167,120.97324302690168,144.20398249127152,119.02637076571857,126.73037091970488,157.49121049240114,86.96078518075421,137.31543631445098,161.7584201849848,97.16908608832377,100.83054720514681,151.16097868480136,137.31543631445098,161.7584201849848,120.97324302690168,136.01243782056167,134.36042624494306,144.20398249127152,144.98287043198044,171.40224346176495,126.73037091970488,86.96078518075421,157.49121049240114,119.02637076571857,95.37736008643911,117.0579787515368,87.42310928431657,156.05493066869968
