,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW3,Creativity GW2,Creativity GW1
1,Bruno Miguel Borges Fernandes,Man Utd,59.6,59.6,2,2,40.8,78.4,
2,Kevin De Bruyne,Man City,57.05,57.05,2,2,42.5,71.6,
3,James Rodriguez,Everton,46.666666666666664,46.666666666666664,3,3,41.7,39.7,58.6
4,Mohamed Salah,Liverpool,46.300000000000004,46.300000000000004,3,3,27.3,61.5,50.1
5,John McGinn,Aston Villa,45.9,45.9,2,2,55.4,36.4,
6,Reece James,Chelsea,41.666666666666664,41.666666666666664,3,3,89.7,5.0,30.3
7,Kalvin Phillips,Leeds,41.333333333333336,41.333333333333336,3,3,65.8,33.6,24.6
8,Conor Hourihane,Aston Villa,38.85,38.85,2,2,40.1,37.6,
9,Lucas Digne,Everton,37.56666666666666,37.56666666666666,3,3,17.3,75.5,19.9
10,Trent Alexander-Arnold,Liverpool,36.6,36.6,3,3,45.6,33.8,30.4
11,Ryan Fredericks,West Ham,36.6,36.6,3,3,25.6,21.9,62.3
12,Heung-Min Son,Spurs,36.36666666666667,36.36666666666667,3,3,40.3,22.0,46.8
13,Aaron Cresswell,West Ham,32.9,32.9,3,3,52.5,35.0,11.2
14,Jack Grealish,Aston Villa,32.8,32.8,2,2,25.0,40.6,
15,John Lundstram,Sheffield Utd,32.56666666666666,32.56666666666666,3,3,52.3,13.1,32.3
16,Andros Townsend,Crystal Palace,30.96666666666667,30.96666666666667,3,3,38.3,20.9,33.7
17,Leandro Trossard,Brighton,29.833333333333332,29.833333333333332,3,3,25.0,36.9,27.6
18,Harry Kane,Spurs,28.933333333333334,28.933333333333334,3,3,23.5,40.8,22.5
19,Mason Mount,Chelsea,28.76666666666667,28.76666666666667,3,3,52.1,5.6,28.6
20,Pedro Lomba Neto,Wolves,27.733333333333334,27.733333333333334,3,3,43.5,23.9,15.8
21,Joao Filipe Iria Santos Moutinho,Wolves,26.76666666666667,26.76666666666667,3,3,17.6,13.6,49.1
