,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Bruno Miguel Borges Fernandes,Man Utd,55.63208089793342,55.63208089793342,5,5,69.91188086642599,56.3644436936937,19.770164794007496,64.12187149917628,67.99204363636363,
2,James Rodriguez,Everton,46.29509751805957,46.29509751805957,6,6,32.47828437917223,60.69619011406845,46.04830477759472,36.16413545454545,32.592606712564546,69.79106367041199
3,Kevin De Bruyne,Man City,40.717182271219755,50.8964778390247,5,4,21.53405964912281,0.0,56.02805683690279,44.99858490566038,81.02520996441281,
4,Jack Grealish,Aston Villa,38.2074059518507,38.2074059518507,5,5,13.280142504118615,52.727753607103224,66.1370836501901,21.105530973451327,37.786519024390245,
5,Aaron Cresswell,West Ham,37.43321215801149,37.43321215801149,6,6,18.499418238993712,40.493108614232206,55.586487236404004,59.41094306049823,42.58794642857143,8.021369369369369
6,Mohamed Salah,Liverpool,36.99193620500267,36.99193620500267,6,6,25.315106341463412,19.15526242544732,34.29303921568627,33.21859821428572,70.6006678700361,39.3689431630972
7,Heung-Min Son,Spurs,34.060013333733174,34.060013333733174,6,6,9.225635802469137,37.48934736842105,56.38249144811859,28.862605855855854,28.020480640854476,44.37951888667992
8,Trent Alexander-Arnold,Liverpool,32.15080724561792,32.15080724561792,6,6,44.67371707317073,16.025937375745528,14.028970588235296,55.48601020408164,38.8016678700361,23.88854036243822
9,Lucas Digne,Everton,28.80599764460764,28.80599764460764,6,6,3.948340453938585,35.66807984790874,32.532420098846785,15.003346363636364,61.98342082616179,23.700378277153554
10,Andros Townsend,Crystal Palace,28.330816284965163,28.330816284965163,6,6,24.060305309734513,13.98736902800659,33.750563176895305,36.31913618290259,18.945242303306728,42.92228170894526
11,Matheus Pereira,West Brom,27.942796761696027,27.942796761696027,6,6,26.717446457990114,58.20002160493827,23.307945260347132,32.48778700361011,11.379363817097417,15.564216426193118
12,John McGinn,Aston Villa,27.479265008481555,27.479265008481555,5,5,0.7072265238879737,38.75172253052165,17.289950570342207,46.76985663716814,33.8775687804878,
13,Jack Harrison,Leeds,27.422053579236955,32.90646429508435,6,5,44.95833849329205,48.32090035587189,0.0,61.70557170731707,1.6884424778761062,7.859068441064639
14,Harry Kane,Spurs,27.347320634487062,27.347320634487062,6,6,12.071842592592594,32.69160350877193,29.188363740022808,16.830551801801803,51.96525500667557,21.336307157057657
15,Ashley Westwood,Burnley,27.22779652628237,27.22779652628237,5,5,60.620565543071166,14.367018072289158,2.649916666666667,31.714089452603474,26.78739289678136,
16,Andrew Robertson,Liverpool,26.36467700481926,26.36467700481926,6,6,24.5705443902439,41.15536580516899,22.315087719298244,38.32915178571429,16.416090252707583,15.401822075782537
17,Tom Cairney,Fulham,26.04322001444663,31.251864017335954,6,5,59.40631363636364,44.48757658536585,6.563494661921709,33.39059081527348,0.0,12.411344387755102
18,Pedro Lomba Neto,Wolves,25.47486588108289,25.47486588108289,6,6,20.26828153153153,9.665429159802308,29.80100973451327,48.535315789473685,29.87406053459119,14.705098536585366
19,Daniel Ceballos Fernandez,Arsenal,25.44550232382805,25.44550232382805,6,6,50.610173140954494,28.624099842767293,25.966598048780487,19.708125475285172,26.6665298245614,1.0974876106194689
20,Benjamin Chilwell,Chelsea,24.649534498395727,49.299068996791455,6,3,25.74377423033067,72.98061548731643,49.17281727272728,0.0,0.0,0.0
21,Riyad Mahrez,Man City,24.642167197258196,30.802708996572743,5,4,35.14626315789474,19.22541581632653,23.41705601317957,45.42210099889013,0.0,
22,John Lundstram,Sheffield Utd,24.628954522500322,24.628954522500322,6,6,25.99538022813688,10.383921238938054,22.99749107142857,41.09771911037891,10.747340041279669,36.55187544483986
23,Kalvin Phillips,Leeds,24.498751397983483,29.398501677580178,6,5,0.0,20.14313879003559,7.499764150943396,61.24022048780487,28.365833628318583,29.743551330798482
24,Mateusz Klich,Leeds,23.65891882713386,23.65891882713386,6,6,34.0469169246646,18.445683274021352,31.873997641509433,37.60037853658537,14.182916814159292,5.803619771863119
25,Ademola Lookman,Fulham,23.566460351242657,23.566460351242657,3,3,19.0794,37.13502731707317,14.484953736654806,,,
26,Marcus Rashford,Man Utd,22.980085863750855,22.980085863750855,5,5,21.581992779783395,25.639734234234233,17.74550936329588,22.788410214168042,27.14478272727273,
27,Dwight McNeil,Burnley,22.762022956919424,22.762022956919424,5,5,15.244464419475657,27.91306368330465,25.854592342342343,13.246045393858479,31.551948945615987,
28,James Ward-Prowse,Southampton,21.920289445585563,21.920289445585563,6,6,37.172588469184895,10.217007220216608,36.286982788296044,5.005398148148148,27.74968913857678,15.090070909090908
29,Reece James,Chelsea,21.840437699057503,26.208525238869004,6,5,3.353942417331813,0.3820974632843792,0.0,73.64122977624785,6.045437262357415,47.61991927512356
30,Abdoulaye Doucoure,Everton,21.80793178833495,21.80793178833495,6,6,3.5662429906542057,13.179053231939164,54.692184514003294,4.076053636363636,2.216625645438899,53.11743071161049
31,Sadio Mane,Liverpool,21.79877396762124,26.158528761145487,6,5,27.92107317073171,26.836333001988073,0.0,32.24515943877552,8.035848375451264,35.754229818780885
32,Mason Mount,Chelsea,21.32919063162384,25.595028757948608,6,5,3.807177879133409,29.676236315086786,0.0,42.77266523235801,6.770889733840304,44.94817462932455
