,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW5,Threat GW4*,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Mohamed Salah,Liverpool,79.2,79.2,5,5,96.0,,44.0,44.0,51.0,161.0
2,Harry Kane,Spurs,67.2,67.2,5,5,67.0,,75.0,138.0,35.0,21.0
3,Dominic Calvert-Lewin,Everton,64.6,64.6,5,5,51.0,,49.0,45.0,144.0,34.0
4,Michail Antonio,West Ham,58.2,58.2,5,5,41.0,,73.0,44.0,70.0,63.0
5,Neal Maupay,Brighton,57.0,57.0,5,5,82.0,,73.0,62.0,60.0,8.0
6,Sadio Mane,Liverpool,53.0,66.25,5,4,57.0,,0.0,84.0,49.0,75.0
7,Jack Grealish,Aston Villa,47.5,47.5,4,4,20.0,,60.0,61.0,49.0,
8,Heung-Min Son,Spurs,47.4,47.4,5,5,56.0,,52.0,8.0,86.0,35.0
9,Timo Werner,Chelsea,46.2,46.2,5,5,64.0,,19.0,58.0,11.0,79.0
10,Harvey Barnes,Leicester,44.2,44.2,5,5,26.0,,12.0,18.0,99.0,66.0
11,Raheem Sterling,Man City,43.25,43.25,4,4,35.0,,69.0,40.0,29.0,
12,Ollie Watkins,Aston Villa,42.0,42.0,4,4,27.0,,92.0,15.0,34.0,
13,Aleksandar Mitrovic,Fulham,41.8,41.8,5,5,40.0,,34.0,52.0,76.0,7.0
14,Danny Ings,Southampton,41.6,41.6,5,5,61.0,,26.0,23.0,38.0,60.0
15,Marcus Rashford,Man Utd,40.5,40.5,4,4,111.0,,2.0,39.0,10.0,
16,Patrick Bamford,Leeds,38.6,38.6,5,5,27.0,,74.0,44.0,21.0,27.0
17,Richarlison de Andrade,Everton,38.6,38.6,5,5,14.0,,8.0,25.0,79.0,67.0
18,Callum Wilson,Newcastle,38.0,38.0,5,5,53.0,,58.0,19.0,10.0,50.0
19,Raul Jimenez,Wolves,36.6,36.6,5,5,22.0,,33.0,47.0,33.0,48.0
20,Che Adams,Southampton,35.8,35.8,5,5,56.0,,22.0,8.0,72.0,21.0
21,Roberto Firmino,Liverpool,35.6,35.6,5,5,28.0,,42.0,22.0,48.0,38.0
22,Chris Wood,Burnley,35.25,35.25,4,4,39.0,,33.0,25.0,44.0,
23,Wilfried Zaha,Crystal Palace,34.6,34.6,5,5,21.0,,28.0,46.0,57.0,21.0
24,Phil Foden,Man City,32.75,32.75,4,4,66.0,,42.0,0.0,23.0,
25,Tomas Soucek,West Ham,32.4,32.4,5,5,29.0,,13.0,60.0,14.0,46.0
26,Kevin De Bruyne,Man City,31.75,42.333333333333336,4,3,0.0,,53.0,10.0,64.0,
27,Jarrod Bowen,West Ham,31.6,31.6,5,5,22.0,,45.0,45.0,34.0,12.0
28,Bruno Miguel Borges Fernandes,Man Utd,30.75,30.75,4,4,56.0,,23.0,19.0,25.0,
