,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Mohamed Salah,Liverpool,68.84604750366297,68.84604750366297,3,3,45.23779697624191,53.35664835164837,107.94369718309862
2,Sadio Mane,Liverpool,62.63720956992998,62.63720956992998,3,3,86.36306695464364,51.264230769230785,50.28433098591551
3,Alexandre Lacazette,Arsenal,60.931036672118466,60.931036672118466,3,3,109.54550209205023,33.16129213483146,40.086315789473694
4,Timo Werner,Chelsea,58.31968729524479,58.31968729524479,3,3,34.0437114673243,21.909100418410045,119.00625000000002
5,Dominic Calvert-Lewin,Everton,55.62063010153963,55.62063010153963,3,3,43.89574795081968,84.52231812577068,38.44382422802851
6,Harry Kane,Spurs,54.07382842084906,54.07382842084906,3,3,92.13387096774196,45.64623287671234,24.441381418092913
7,Harvey Barnes,Leicester,53.60086997221443,53.60086997221443,3,3,26.56883720930233,95.49437689969608,38.7393958076449
8,Heung-Min Son,Spurs,52.74534824481972,52.74534824481972,3,3,5.341093969144461,112.15931506849317,40.735635696821525
9,Michail Antonio,West Ham,52.17177577574262,52.17177577574262,3,3,42.48498985801218,71.96922246220305,42.06111500701264
10,Jamie Vardy,Leicester,49.05028483380033,49.05028483380033,3,3,104.79930232558142,21.220972644376904,21.13057953144267
11,Richarlison de Andrade,Everton,48.837785747826025,48.837785747826025,3,3,24.386526639344268,46.36988286066586,75.75694774346795
12,Jack Grealish,Aston Villa,48.56579533611257,48.56579533611257,2,2,50.94302631578949,46.18856435643565,
13,Raul Jimenez,Wolves,48.07742441019645,48.07742441019645,3,3,50.276797752809,48.70953488372094,45.24594059405941
14,Aleksandar Mitrovic,Fulham,43.30013554359621,43.30013554359621,3,3,71.74869565217394,50.954788732394384,7.196922246220304
15,Wilfried Zaha,Crystal Palace,43.14061609624286,43.14061609624286,3,3,53.538264058679715,48.49584450402146,27.3877397260274
16,Chris Wood,Burnley,42.681445170974094,42.681445170974094,2,2,32.60445205479453,52.75843828715366,
17,Danny Ings,Southampton,41.226617774280484,41.226617774280484,3,3,22.185562310030402,42.9666270783848,58.52766393442624
18,Matej Vydra,Burnley,39.18940159069736,39.18940159069736,2,2,35.21280821917809,43.16599496221663,
19,Raheem Sterling,Man City,37.981843606460224,37.981843606460224,2,2,47.96221662468515,28.001470588235296,
20,Patrick Bamford,Leeds,37.59669718254583,37.59669718254583,3,3,41.47544554455446,17.53776315789474,53.7768828451883
21,Kevin De Bruyne,Man City,36.89345152027632,36.89345152027632,2,2,11.990554156171287,61.79634888438135,
22,Che Adams,Southampton,36.537283669563486,36.537283669563486,3,3,7.7167173252279655,81.41045130641331,20.484682377049186
23,Anthony Martial,Man Utd,34.746170107906224,34.746170107906224,2,2,42.179430379746854,27.312909836065586,
24,Tomas Soucek,West Ham,34.34640396470959,34.34640396470959,3,3,57.93407707910751,14.393844492440609,30.711290322580655
25,Marcus Rashford,Man Utd,34.25226577090684,34.25226577090684,2,2,58.74992088607597,9.754610655737709,
26,Neal Maupay,Brighton,33.725913683332145,33.725913683332145,3,3,52.74986595174264,40.05820476858346,8.369670329670333
27,Roberto Firmino,Liverpool,32.77143827744671,32.77143827744671,3,3,22.618898488120955,50.218021978021994,25.477394366197192
28,Lucas Rodrigues Moura da Silva,Spurs,31.82728296018409,31.82728296018409,3,3,54.74621318373073,0.0,40.735635696821525
29,Callum Wilson,Newcastle,30.01111695795107,30.01111695795107,3,3,21.4833135391924,15.064082278481017,53.48595505617978
30,Josh Brownhill,Burnley,28.870954849729138,28.870954849729138,2,2,46.950410958904115,10.791498740554157,
31,Jarrod Bowen,West Ham,28.806226081562937,28.806226081562937,3,3,43.45055780933064,34.95647948164148,8.011640953716691
32,Bruno Miguel Borges Fernandes,Man Utd,26.504141484229102,26.504141484229102,2,2,28.621756329113932,24.386526639344268,
33,Andy Carroll,Newcastle,26.41158299552947,26.41158299552947,3,3,24.875415676959623,3.0128164556962034,51.34651685393259
34,Solomon March,Brighton,25.69241964469847,25.69241964469847,3,3,56.153083109919585,0.0,20.92417582417583
35,Cheikhou Kouyate,Crystal Palace,24.251799604178192,24.251799604178192,3,3,48.882762836185826,1.7016085790884723,22.17102739726028
36,Mateusz Klich,Leeds,23.701224954085372,23.701224954085372,3,3,9.426237623762379,15.867500000000003,45.80993723849373
37,Jimmy Dunne,Burnley,23.20254356302405,23.20254356302405,2,2,10.433424657534248,35.971662468513856,
38,Pierre-Emerick Aubameyang,Arsenal,23.036612462235468,23.036612462235468,3,3,7.966945606694562,16.045786516853934,45.09710526315791
39,Ollie Watkins,Aston Villa,22.28809080250131,22.28809080250131,2,2,12.526973684210528,32.049207920792085,
40,John McGinn,Aston Villa,21.89946521625847,21.89946521625847,2,2,25.889078947368425,17.90985148514852,
