,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Trent Alexander-Arnold,Liverpool,Defender,42.12142857142857,47.175999999999995,28,25,,41.94189206277112,63.3,,65.7,,,33.8,0.0,,26.5,55.4,,11.0,,45.6,,16.7,50.4,,57.4,59.0,45.6,65.8,34.6,31.3,51.1,61.3,15.8,43.2,22.1,0.0,31.4,0.0,66.3,76.6,100.9,48.6
2,Bruno Miguel Borges Fernandes,Man Utd,Midfielder,36.87931034482758,39.6111111111111,29,27,,,0.0,,12.0,,41.1,,23.5,71.2,27.1,86.5,,45.3,57.3,16.8,,16.3,0.0,28.5,,,16.0,33.5,48.7,4.6,16.8,2.1,38.9,32.4,104.0,36.2,136.2,48.8,33.8,25.8,30.2,35.9
3,James Ward-Prowse,Southampton,Midfielder,30.646428571428572,33.003846153846155,28,26,,,37.17772943758467,62.1,12.6,,66.5,,56.8,,13.2,72.6,,28.8,,23.3,,31.8,2.8,26.2,,54.2,20.0,3.8,41.3,15.7,73.8,66.3,28.4,0.0,0.0,2.5,34.4,12.2,18.3,39.2,20.8,30.5
4,Martin Ødegaard,Arsenal,Midfielder,26.933333333333337,28.10434782608696,24,23,24.426679148509866,17.59843816078491,31.24178241868338,,56.7,,,26.1,24.6,,,29.6,,50.9,,,,1.5,,42.2,64.8,25.8,35.7,53.2,54.5,37.2,3.9,0.9,22.0,1.3,9.5,2.3,48.5,28.0,26.3,0.9,0.0,
5,Heung-Min Son,Spurs,Midfielder,26.7,30.037499999999998,27,24,33.7284995065348,30.589749252664376,8.8,,26.4,,19.0,48.7,46.3,,60.8,2.8,,0.0,,0.0,,32.6,48.5,33.4,31.1,,,58.3,12.4,,7.8,14.9,24.3,26.3,62.7,34.8,46.8,17.1,0.0,34.1,3.3,19.7
6,Kevin De Bruyne,Man City,Midfielder,26.221428571428564,34.961904761904755,28,21,,,32.7360801856086,,62.4,,28.8,,30.8,,0.0,46.8,,50.8,,23.7,,41.3,46.5,40.8,65.3,58.9,15.3,15.1,0.0,0.0,0.0,51.1,3.8,42.0,28.8,14.3,37.7,18.4,0.0,0.0,0.0,11.6
7,Raphael Dias Belloli,Leeds,Midfielder,25.900000000000002,27.892307692307693,28,26,26.716913377506433,,34.45741975306013,3.0,37.1,,70.0,0.5,11.1,,14.7,26.0,,22.2,,87.2,,32.4,,,2.7,6.0,17.7,60.2,16.8,1.3,0.0,51.4,41.5,26.5,0.0,18.4,36.4,32.9,35.3,30.2,24.3,19.4
8,Mohamed Salah,Liverpool,Midfielder,25.65357142857143,27.626923076923074,28,26,,25.602479526114177,12.4,,21.2,,,22.0,69.3,,15.1,12.8,,0.0,,0.0,,28.5,27.2,,35.3,20.2,10.2,39.8,5.4,25.3,25.1,25.2,25.1,33.3,30.5,30.2,14.5,28.9,53.2,45.1,26.1,36.4
9,Bukayo Saka,Arsenal,Midfielder,25.496,25.496,25,25,23.09705268133808,16.64049586264435,29.541186912722523,,29.0,,,67.5,33.3,,,24.7,,19.4,,,,3.2,,34.0,12.5,52.8,36.8,19.8,1.6,25.3,8.8,39.1,41.1,41.7,11.6,13.9,35.1,5.3,51.3,0.8,16.5,12.3
10,Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielder,25.157142857142855,26.08888888888889,28,27,,,23.353035638211868,,44.8,,24.4,,25.9,,46.2,8.1,,63.3,,8.7,,15.6,21.7,27.6,47.7,14.6,19.2,48.0,19.8,32.1,22.8,19.4,7.0,41.0,39.3,18.3,16.0,14.3,44.3,3.9,10.4,0.0
11,Andrew Robertson,Liverpool,Defender,24.442857142857143,32.59047619047619,28,21,,29.857150360229422,13.4,,41.3,,,53.0,0.0,,30.8,37.4,,48.1,,42.4,,0.0,0.0,,34.6,20.0,61.8,21.0,36.7,53.0,0.0,21.9,12.6,9.0,17.5,1.4,25.0,0.0,46.8,56.7,0.0,0.0
12,Mason Mount,Chelsea,Midfielder,24.374074074074073,28.61304347826087,27,23,,,33.543398305950326,73.1,9.5,,,,0.0,,,,,65.2,16.7,0.8,,34.8,60.1,14.9,51.0,25.7,26.8,68.7,16.4,11.8,2.6,18.3,0.0,41.3,1.0,27.5,0.0,1.8,0.0,18.4,53.2,18.5
13,Luis Diaz,Liverpool,Midfielder,23.600000000000005,28.320000000000004,6,5,,22.380534147938246,24.1,,17.7,,,26.1,56.2,,0.0,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dejan Kulusevski,Spurs,Midfielder,23.357142857142858,23.357142857142858,7,7,25.487441223669386,23.11559801149802,24.7,,43.2,,14.0,32.3,16.9,,21.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pascal Groß,Brighton,Midfielder,22.557142857142857,33.242105263157896,28,19,,34.01579018815131,9.0,,74.1,,0.0,,0.0,30.4,29.8,,,3.5,23.2,59.7,,0.0,0.0,0.8,,0.0,,20.3,0.0,47.5,28.8,0.0,14.6,15.4,43.3,52.2,35.4,0.0,0.0,50.7,57.6,35.3
16,Philippe Coutinho Correia,Aston Villa,Midfielder,20.025,20.025,8,8,16.811478246612744,,19.13792068825606,35.6,24.1,,13.7,,23.9,,26.0,24.4,,11.4,,1.1,,,,,,,,,,,,,,,,,,,,,,
17,Joao Pedro Cavaco Cancelo,Man City,Defender,19.900000000000002,21.430769230769233,28,26,,,20.52024911972915,,6.7,,10.1,,33.8,,0.0,12.9,,35.8,,14.8,,23.9,19.8,7.1,21.1,0.0,60.9,6.8,18.2,28.3,32.2,27.2,5.3,6.7,30.0,26.8,29.2,6.9,26.8,18.3,9.1,38.5
