,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
1,Erling Haaland,Man City,Forward,73.2,73.2,5,5,56.70848726854346,118.0,55.0,97.0,48.0,48.0
2,Odsonne Edouard,Crystal Palace,Forward,54.4,54.4,5,5,60.33551706133438,31.0,86.0,14.0,48.0,93.0
3,Mohamed Salah,Liverpool,Midfielder,48.2,48.2,5,5,59.22031022393593,19.0,115.0,16.0,79.0,12.0
4,Nicolas Jackson,Chelsea,Forward,46.75,46.75,4,4,39.913218771612264,53.36964647263317,36.0,84.0,19.0,48.0
5,Arnaut Danjuma Groeneveld,Everton,Midfielder,41.75,41.75,4,4,30.37807185767755,25.21664487135357,81.0,48.0,34.0,4.0
6,Raheem Sterling,Chelsea,Midfielder,41.75,41.75,4,4,33.28114972680869,44.50162752561195,41.0,79.0,37.0,10.0
7,Bukayo Saka,Arsenal,Midfielder,41.5,41.5,4,4,44.98370154583179,46.900577497692055,32.0,65.0,30.0,39.0
8,Abdoulaye Doucoure,Everton,Midfielder,41.25,41.25,4,4,27.82279467608965,23.09552548175379,87.0,45.0,8.0,25.0
9,Marcus Rashford,Man Utd,Midfielder,41.0,41.0,5,5,50.49081209698766,61.0,41.0,29.0,30.0,44.0
10,Dejan Kulusevski,Spurs,Midfielder,40.4,40.4,5,5,23.090426720343714,73.0,26.0,54.0,30.0,19.0
11,Yoane Wissa,Brentford,Forward,39.4,39.4,5,5,46.61785528075495,45.0,24.0,15.0,68.0,45.0
12,James Maddison,Spurs,Midfielder,39.0,39.0,5,5,22.87945117368741,24.0,73.0,45.0,32.0,21.0
13,Evan Ferguson,Brighton,Forward,36.0,36.0,5,5,40.68672774938842,17.0,52.0,70.0,4.0,37.0
14,Dominic Solanke,Bournemouth,Forward,35.5,35.5,4,4,34.67767398457745,26.023799874616945,44.0,8.0,18.0,72.0
15,Jarrod Bowen,West Ham,Midfielder,35.4,35.4,5,5,35.49395439819471,0.0,52.0,46.0,46.0,33.0
16,Bryan Mbeumo,Brentford,Midfielder,34.2,34.2,5,5,37.607800743953554,12.0,33.0,11.0,71.0,44.0
17,Eberechi Eze,Crystal Palace,Midfielder,32.8,32.8,5,5,38.284182115131614,36.0,49.0,21.0,23.0,35.0
18,Pape Matar Sarr,Spurs,Midfielder,32.4,32.4,5,5,19.85140683125176,28.0,30.0,17.0,70.0,17.0
19,Son Heung-min,Spurs,Midfielder,32.4,32.4,5,5,19.759948257557475,22.0,70.0,18.0,21.0,31.0
20,Ollie Watkins,Aston Villa,Forward,32.4,32.4,5,5,26.437885018360276,46.0,10.0,65.0,12.0,29.0
21,Kaoru Mitoma,Brighton,Midfielder,32.2,32.2,5,5,35.982433859258066,37.0,35.0,32.0,35.0,22.0
22,Gabriel Martinelli Silva,Arsenal,Midfielder,31.75,31.75,4,4,32.160556523316245,33.53100393603478,27.0,75.0,17.0,8.0
23,Matty Cash,Aston Villa,Defender,31.6,31.6,5,5,23.383717448329083,18.0,48.0,81.0,0.0,11.0
24,Julian Alvarez,Man City,Forward,29.6,29.6,5,5,22.715223231734054,11.0,24.0,64.0,21.0,28.0
25,Eddie Nketiah,Arsenal,Forward,28.0,28.0,4,4,32.05077101816742,33.41654017659715,15.0,33.0,28.0,36.0
26,Rodrigo Hernandez,Man City,Midfielder,27.6,27.6,5,5,19.312018801592448,35.0,0.0,37.0,2.0,64.0
27,Willy Boly,Nott'm Forest,Defender,27.0,27.0,4,4,18.84075949606876,29.593172009982943,0.0,36.0,39.0,33.0
28,Joao Pedro Junqueira de Jesus,Brighton,Forward,26.6,26.6,5,5,28.191622352553036,19.0,18.0,24.0,15.0,57.0
29,Luis Diaz,Liverpool,Midfielder,26.6,26.6,5,5,34.99930778128436,42.0,13.0,17.0,28.0,33.0
30,Jordan Ayew,Crystal Palace,Midfielder,26.4,26.4,5,5,32.14905239963042,0.0,24.0,54.0,22.0,32.0
31,Martin Ødegaard,Arsenal,Midfielder,26.25,26.25,4,4,29.31629990167964,30.565545925193245,40.0,24.0,27.0,14.0
32,Callum Wilson,Newcastle,Forward,25.6,25.6,5,5,39.00514242908996,37.0,19.0,8.0,0.0,64.0
33,Matheus Santos Carneiro Da Cunha,Wolves,Forward,25.4,25.4,5,5,34.95538130486763,24.0,30.0,10.0,39.0,24.0
34,Lyle Foster,Burnley,Forward,25.333333333333332,25.333333333333332,3,3,35.277039400422055,32.869584280686105,42.0,21.0,,13.0
35,Diogo Teixeira da Silva,Liverpool,Midfielder,25.2,25.2,5,5,25.515900366725653,10.0,0.0,8.0,98.0,10.0
