,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Mohamed Salah,Liverpool,Midfielder,41.31516210433234,49.06175499889465,38,32,96.67392939370683,,13.925608835189731,112.9237585291888,,3.229453614114969,66.02573397780165,0.0,46.79005430410298,42.168177764565996,18.336834281282318,125.46728936332444,,,53.72591631032376,0.0,,0.0,31.276431365576105,0.0,0.0,0.0,0.0,121.04324182549398,37.138716562322145,107.31252955082742,71.6859021997622,37.66028761061947,35.20672182006205,30.289056939501783,17.33094074526573,50.44585704125178,16.77560889764888,21.529690760766456,51.804806659505914,71.3865611894777,,9.679179302501897,41.17553357996585,16.547789716039908,123.18807815744762,15.874523518097572,71.58381507505591,11.774131073837111
2,Erling Haaland,Man City,Forward,40.10272200176763,49.15817535700548,38,31,26.642992316448492,55.92414708112207,17.163798932384342,125.41482732156561,,38.753443369379625,,0.0,47.93031113613966,68.47325020112632,0.0,45.991084093211754,,,11.465502918724741,28.674360879904878,52.55520600447142,62.55286273115221,78.49420715891407,50.7890261367705,31.276431365576105,16.954631474103586,0.0,0.0,0.0,,0.0,0.0,53.56003398149897,29.03753790750569,90.45007858105075,82.41891751685978,19.934733312040887,89.39653686087992,28.121978650400305,15.330361364403919,,23.515280122793552,24.759144374881426,95.26888161639158,55.52993772241994,71.1469170113754,47.62357055429271,38.753443369379625
3,Ollie Watkins,Aston Villa,Forward,37.464157863710014,38.47670267083731,38,37,14.835870876910702,,26.752840143691063,6.489687380861609,,43.17181393740274,,46.2123363142766,53.65626477541371,54.48152560455192,0.0,6.967490406753646,20.9914484917473,,13.981036770280518,76.68849781782345,67.81852589641434,,48.46249110320285,49.75844976218788,26.40504136504654,49.60788599405491,45.71012352309345,26.642992316448492,3.37345422116528,27.871988107549125,41.36560277382646,47.907379263762245,62.39138668295663,28.995975726604925,37.64125284306293,51.49139679715303,37.6769588313413,44.734957060397015,42.79026038702334,32.22464313123561,,98.42692527640106,29.435327684592778,52.496158487530174,12.739447687471936,52.478621229368244,12.189366272824921,28.77257387655185
4,Dominic Solanke,Bournemouth,Forward,36.8504725833252,36.8504725833252,38,38,11.774131073837111,,41.36560277382646,47.907379263762245,,25.958749523446436,20.902471220260935,32.13602038889938,21.92745243757432,10.384900746163591,17.11831255028158,45.71012352309345,,21.568640011262847,30.805881592554297,15.339904667046103,77.98923335369578,,76.39614443084456,33.31796263345196,2.1529690760766456,23.413538702333526,26.752840143691063,87.11261372251707,33.31796263345196,80.73634035287422,,37.10799643281808,31.95418342719228,98.5504625259581,15.402940796277148,69.45104039167688,25.996411117898596,24.220902105862265,38.32119723714505,30.473415682062303,,34.493313069908815,28.121978650400305,48.077701884834866,44.39235419630157,8.603714935557242,22.931005837449483,58.13016505406944
5,Bukayo Saka,Arsenal,Midfielder,33.90059160443936,36.8063565991056,38,35,0.0,,34.57790576694412,75.20831204088152,,46.24496777862017,38.26592598997061,38.32119723714505,35.34962242778932,45.42781166603126,0.0,3.466188149053146,,,32.28534850640114,17.603360910031025,51.59220143381711,,35.52398975526466,62.97434547524189,52.231735518634935,53.82422690191614,14.835870876910702,50.48176156583631,70.24061610700058,24.20495060619668,56.24395730080061,32.13602038889938,32.7523792763621,39.19213353798926,6.053502844950214,23.413538702333526,7.937261759048786,13.20252068252327,5.887065536918556,0.0,,70.6776908335995,45.16950341167552,4.06312209094164,26.98763376932224,65.6262900355872,34.23662510056316,41.98289698349459
6,Darwin Nunez Ribeiro,Liverpool,Forward,32.295530387056246,34.089726519670485,38,36,4.354681504221029,,9.640806116669813,9.679179302501897,,1.6147268070574845,36.56809881847476,2.019270462633452,51.35493765084474,30.36108799048752,44.74187564632886,67.06010293556996,,,43.327351863164324,40.90641244545627,,0.0,23.205094238975818,50.05653101878202,11.497771023302938,88.30598305377833,60.71032417757906,112.1138223465641,20.9914484917473,11.497771023302938,21.92745243757432,12.553429203539824,12.469047311271977,33.31796263345196,69.32376298106291,35.31209992887624,52.72334224975362,88.27173211914247,17.26826888650197,31.36682234083111,,0.0,40.36817017643711,20.902471220260935,27.851217670379462,35.717677915719534,0.0,7.849420715891407
7,Son Heung-min,Spurs,Midfielder,32.23025831096432,34.99285188047554,38,35,33.739775077559464,100.51945632254123,23.413538702333526,53.50568028738213,11.774131073837111,55.5725599459642,,,5.952946319286589,34.44750521722633,23.413538702333526,47.93031113613966,16.154163701067617,,40.705625825939215,42.22517095736123,,,6.967490406753646,4.326458253907739,0.0,0.0,0.0,48.93070903864581,36.774895158215784,39.615440386680994,46.288835135647886,56.5529900332226,18.569358281161072,32.92878741600489,37.49202378704928,1.7418726016884114,37.28474840048418,25.10685840707965,34.327597864768684,23.166317049134168,,64.97118320610687,82.40069233367106,16.13641416752844,56.51543824701196,16.31023634621527,17.71063466111772,31.276431365576105
8,Luis Diaz,Liverpool,Midfielder,30.759688914198968,31.591031857825968,38,37,46.159623944742904,,6.427204077779876,46.24496777862017,,50.05653101878202,34.53653777300394,10.09635231316726,42.22517095736123,68.31244797859692,15.402940796277148,77.87624857033931,,,31.195693341478314,45.212350597609564,,73.4931437420808,18.160508534850642,71.04797951052932,63.237740628166165,70.64478644302267,11.77961513893325,36.70983563560063,15.339904667046103,19.1629517055049,14.337180439952439,14.835870876910702,7.334733712512928,87.83826512455516,3.466188149053146,0.0,16.77560889764888,0.0,21.33139097744361,5.408072817384674,,11.830108036391207,7.26627063175868,36.579324635456636,13.925608835189731,16.86668123797867,25.371478760779308,32.378860453052056
9,Nicolas Jackson,Chelsea,Forward,29.60020110870004,32.13736120373147,38,35,34.432721175343346,14.060989325200152,60.28313413014608,69.43325270347184,25.811144806671724,16.06801019444969,,34.493313069908815,41.64700143215181,4.400840227507756,19.39736177170036,41.17553357996585,,,29.76473159643295,45.4012713371266,,,39.86116371411118,6.847325020112631,5.225617805065234,0.0,0.0,19.17212445445586,4.564883346741754,10.451235610130468,53.54355610134437,15.236707841031151,21.92745243757432,18.387447579107892,5.952946319286589,71.05685705558949,111.84829416224414,17.151591394025605,40.24219858156029,18.569358281161072,,0.0,22.495214272229564,23.5592302778665,38.753443369379625,67.10243559059552,15.339904667046103,61.14934889986529
10,Phil Foden,Man City,Midfielder,29.48136640645446,32.00834066986484,38,35,45.212350597609564,22.58475170583776,28.26978647686833,32.22464313123561,,0.0,,33.53005146778498,0.0,0.0,44.99042854445913,3.8325903411009796,,,34.39650875617423,85.17971908442331,61.616448419035464,84.74903982930299,27.472972505619925,34.53653777300394,64.57069701280228,10.49572424587365,48.61572827417381,27.138514736297832,38.59965986394558,,5.706104183427193,28.758186681683792,2.1424013592599587,32.263931008339654,50.95779074988774,33.36003804253848,19.02860907058448,63.252266646848994,10.816145634769349,7.665180682201959,,16.547789716039908,20.453206222728134,28.25771912350598,12.115622775800713,7.334733712512928,27.78041615667075,25.835628912919752
11,Jarrod Bowen,West Ham,Midfielder,29.06890306980709,32.48877401919616,38,34,0.0,,53.52218076868928,19.623551789728516,,44.588066906151774,,0.0,0.0,1.7418726016884114,18.28289423805914,46.63141283441162,8.569605437039835,,17.76199487763233,2.03156104547082,77.68661984352774,,30.14156706507304,21.079246876055386,14.337180439952439,31.714348450974136,22.004201137538782,12.979374761723218,7.665180682201959,74.21599286563615,29.611834228702993,45.43358540925267,18.28289423805914,38.80150844730491,0.0,44.135866059571235,45.4012713371266,32.50497672753312,23.566414951859546,18.850996677740866,,59.411343071354715,77.71063089357881,0.0,41.539602984654366,49.754269919939006,45.13416911637559,29.90209996806133
12,Alejandro Garnacho,Man Utd,Midfielder,28.867993858855744,30.471771295458844,38,36,44.34619710255433,24.803942997027455,86.23328267477204,17.11831255028158,,49.24916761525328,,77.74817735263703,13.591863621846057,38.218343062415805,55.92712260072628,2.0178342816500714,,,34.53653777300394,10.398564447159439,31.29869217081851,,53.52218076868928,48.204030583349066,41.9828969834946,8.709363008442057,15.056501137225172,24.759144374881426,47.13282990371909,33.90926294820717,8.917613381230355,32.62047269243054,59.85183295867198,24.803942997027455,28.441854636591483,14.379093340841896,37.35650355871886,6.932376298106292,11.735573940020684,8.071337126600286,,44.507612630732105,0.0,2.1632291269538695,0.0,0.0,46.24496777862017,12.19310821181888
13,Alexander Isak,Newcastle,Forward,27.92129979143325,35.36697973581545,38,30,53.472608463726885,19.39736177170036,24.877134959969503,59.74489186112692,,47.67576913133403,,14.835870876910702,65.60332638362397,40.38540925266904,49.77324561403509,38.753443369379625,,,17.661196610755667,36.579324635456636,15.330361364403919,,0.0,0.0,0.0,8.569605437039835,123.04967929138668,24.20495060619668,109.80142287990894,1.5976770378713219,0.0,7.528250568612586,14.220927318295741,16.02390755053508,18.64237420024209,0.0,0.0,0.0,0.0,61.35961866818441,,58.937528457598184,18.336834281282318,0.0,21.632291269538698,24.20495060619668,3.466188149053146,65.34324145742873
14,Kai Havertz,Arsenal,Midfielder,26.975121378483024,27.70417871303662,38,37,84.30978338703903,,5.06018133174792,45.306212072820195,,41.943110310841554,94.19304859069689,48.77243284727552,59.98723805927884,56.24395730080061,23.96515556806983,57.19210445937691,,,48.42802275960171,36.673668562564636,32.74120475607624,,29.06508252703472,20.9914484917473,62.42329366861248,2.1529690760766456,4.564883346741754,0.0,0.0,10.191558149977547,32.448436904308046,22.495214272229564,29.557025200619453,0.0,35.31209992887624,18.569358281161072,22.81962755726526,6.601260341261635,0.0,10.398564447159439,,23.5592302778665,3.2263931008339655,2.03156104547082,17.71063466111772,13.12525800711744,6.847325020112631,16.147268070574842
15,Cole Palmer,Chelsea,Midfielder,26.631062410061308,29.764128575950874,38,34,20.84085755349729,47.59104079298513,12.917814456459874,23.413538702333526,30.113002274450345,25.708816311119502,,0.0,88.37290547798068,11.735573940020684,79.27617419738408,71.85534291405806,,,32.74120475607624,34.30318278805121,,,0.0,35.377845937248594,36.579324635456636,0.0,29.27942170818506,49.52798817401098,0.0,9.580299309286262,55.74397621509825,26.410293591120663,17.71063466111772,18.387447579107892,0.0,71.05685705558949,19.358358605003794,17.151591394025605,86.23328267477204,22.606175298804782,,9.086717081850535,7.498404757409855,17.216360587671673,4.305938152153291,0.0,0.0,0.0
16,Dejan Kulusevski,Spurs,Midfielder,25.626587651640687,27.050286965620725,38,36,49.87618924508791,100.51945632254123,18.569358281161072,2.547889537494387,16.68001902126924,30.660722728807837,,,13.890208078335375,0.0,1.6147268070574845,11.183739265099254,23.2216103202847,,19.281612233339626,9.129766693483509,,,53.127114351496544,22.71390583301563,4.06312209094164,30.267514224751068,0.0,0.0,16.224218452154023,17.26826888650197,52.74774236387782,41.67062423500612,28.25771912350598,43.327351863164324,46.06162922408911,16.547789716039908,26.4917949161335,4.564883346741754,17.163798932384342,29.557025200619453,,43.31412213740458,15.330361364403919,53.54355610134437,20.9914484917473,48.93070903864581,25.3009066587396,19.169425675675676
17,Julian Alvarez,Man City,Forward,25.385489990908358,26.795794990403266,38,36,0.0,2.1509287338893106,21.20233985765125,14.805917114351496,,4.305938152153291,,47.59104079298513,39.941925946783044,34.23662510056316,98.5504625259581,0.0,,,25.47889537494387,5.06018133174792,7.248993931651231,10.089171408250357,24.529439737160647,10.1578052273541,69.61528271692745,40.36817017643711,64.49025179227138,35.20672182006205,83.29400286430362,,21.68319589702333,8.78722370829227,0.0,15.056501137225172,10.191558149977547,33.36003804253848,9.967366656020443,12.6504533293698,25.958749523446436,22.995542046605877,,17.418726016884115,24.759144374881426,8.880997438816165,24.231245551601425,46.942295760082736,20.83531211750306,22.606175298804782
18,Anthony Gordon,Newcastle,Midfielder,25.16015447297478,27.316739142086906,38,35,0.0,35.42126932223544,29.20359321387724,14.53254126351736,,10.268627197518098,,28.530520917135963,27.962073540561036,43.41431494661922,0.0,41.17553357996585,,,8.830598305377833,23.515280122793552,36.409608240459306,,40.77559086553818,5.382422690191614,18.3732859355202,29.99361902963942,48.526634086744046,11.465502918724741,36.60047429330298,7.98838518935661,37.35650355871886,9.679179302501897,29.45763515932689,45.54163198573128,20.604729379214945,11.77961513893325,80.48439716312058,8.709363008442057,54.77860016090105,0.0,,25.02826550939101,44.008402275077565,4.035668563300143,6.489687380861609,48.40990121239336,25.996411117898596,5.3560033981498965
