,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Man City,265.07505707823856,267.7741935483871,219.9699966604878,221.5322580645161,87.702941289471,84.70967741935483
2,Liverpool,264.2434509533893,267.2903225806452,209.6313007910022,212.54193548387101,114.57989430766688,111.0
3,Chelsea,202.1817278838452,203.7,172.98088348231127,173.65,123.20139691910362,123.46666666666667
4,Arsenal,198.48530100066532,205.43333333333334,168.99001895730163,172.6933333333333,145.7342800150128,146.1
5,Spurs,185.24079888000637,182.6451612903226,159.49579567128802,155.5161290322581,172.34812520139928,169.93548387096774
6,Man Utd,180.3301917280058,183.7741935483871,169.4343568470539,174.04838709677418,171.71194966670342,166.19354838709677
7,Southampton,173.76951428652367,173.90322580645162,142.39278505502529,144.15806451612903,174.24868715043442,175.16129032258064
8,Brentford,167.61062018822852,161.90625,115.55459037742844,112.78750000000001,166.2658062145338,167.0625
9,West Ham,167.05278213653727,167.75,133.62590649831012,134.5375,183.42124570131094,181.46875
10,Aston Villa,162.8491407361883,159.96774193548387,140.19191578675756,137.39354838709673,160.61377633403583,161.29032258064515
11,Leicester,161.64205159231054,154.6206896551724,129.14743817095214,121.36551724137932,211.34528889229742,216.86206896551724
12,Leeds,160.39693771752056,164.28125,133.0821319376999,137.565625,192.62911604014056,194.46875
13,Everton,153.7851319630051,154.16666666666666,128.31029404350735,128.99333333333334,183.67837244234047,176.1
14,Brighton,153.52036083351453,151.4516129032258,155.8446360993229,152.57419354838711,166.15517677415878,166.70967741935485
15,Crystal Palace,145.83657962536134,145.93548387096774,121.5302132593122,118.80322580645164,156.15809020501874,159.2258064516129
16,Newcastle,142.8775110898176,145.8709677419355,118.70686642048575,119.55161290322579,191.53090865041256,190.3548387096774
17,Watford,130.85288215327785,128.7741935483871,120.99819327826974,117.74838709677422,187.41706166028257,188.70967741935485
18,Wolves,130.09226208826607,132.71875,119.61867233141491,122.15312500000002,168.22170626521665,168.9375
19,Norwich,124.66448752714197,120.35483870967742,112.80018930774962,107.25161290322578,221.08406331181286,225.5483870967742
20,Burnley,122.86686662170536,119.2,114.94055972390726,109.53333333333332,215.48050215748847,218.9
