,Teams,Opponent xG av,Matches,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,90.34615384615384,26,,71.90656889772373,86.0,,119.0,55.0,81.0,54.0,,121.0,48.0,118.0,96.0,,101.0,35.0,105.0,217.0,56.0,123.0,105.0,,121.0,25.0,173.0,57.0,58.0,63.0,28.0,193.0,34.0,77.0
2,Arsenal,106.34615384615384,26,,103.69898233204313,90.0,128.0,29.0,94.0,117.0,134.0,,121.0,73.0,,170.0,,87.0,150.0,72.0,103.0,87.0,63.0,133.0,,215.0,111.0,90.0,79.0,129.0,57.0,131.0,47.0,75.0,180.0
3,Brighton,122.21739130434783,23,95.12336236845802,120.95097686198467,51.0,,,50.0,,73.0,,94.0,107.0,,77.0,,113.0,265.0,151.0,100.0,126.0,188.0,166.0,18.0,107.0,76.0,229.0,,90.0,95.0,124.0,180.0,49.0,282.0
4,Liverpool,131.76,25,,93.70260653896733,85.0,43.0,34.0,144.0,,45.0,,89.0,116.0,,240.0,,182.0,97.0,188.0,139.0,193.0,160.0,145.0,114.0,250.0,257.0,134.0,,174.0,34.0,50.0,158.0,74.0,149.0
5,Chelsea,135.92,25,,116.2433611895741,97.0,,93.0,80.0,,136.0,,96.0,141.0,,135.0,93.0,143.0,173.0,85.0,162.0,153.0,250.0,127.0,154.0,222.0,85.0,71.0,,98.0,137.0,194.0,175.0,170.0,128.0
6,Newcastle,137.29166666666666,24,,106.9710892789799,134.0,,,139.0,,123.0,,85.0,57.0,,44.0,,219.0,98.0,141.0,56.0,193.0,74.0,253.0,24.0,151.0,118.0,64.0,81.0,223.0,335.0,118.0,319.0,200.0,46.0
7,West Ham,146.2,25,,132.2204997129047,243.0,,79.0,156.0,,112.0,,81.0,89.0,,122.0,,209.0,152.0,220.0,99.0,202.0,181.0,88.0,278.0,139.0,99.0,156.0,79.0,151.0,182.0,90.0,141.0,145.0,162.0
8,Leeds,149.88,25,,189.44015748090382,105.0,,44.0,162.0,,115.0,187.0,50.0,35.0,,104.0,,92.0,157.0,296.0,222.0,157.0,322.0,194.0,79.0,122.0,158.0,230.0,,169.0,100.0,140.0,187.0,142.0,178.0
9,Aston Villa,152.84,25,,135.16221598473768,16.0,,171.0,196.0,,231.0,,129.0,99.0,,172.0,,124.0,75.0,224.0,108.0,135.0,243.0,155.0,242.0,103.0,72.0,90.0,71.0,203.0,366.0,77.0,200.0,228.0,91.0
10,Spurs,153.53846153846155,26,,105.9101111181362,78.0,,69.0,50.0,,145.0,,172.0,115.0,200.0,132.0,,199.0,149.0,167.0,174.0,173.0,97.0,198.0,300.0,33.0,192.0,274.0,178.0,74.0,132.0,182.0,169.0,222.0,118.0
11,Leicester,156.76,25,,143.68506788009128,93.0,,95.0,223.0,,113.0,,151.0,121.0,,123.0,,79.0,199.0,168.0,170.0,194.0,149.0,345.0,151.0,46.0,185.0,101.0,261.0,313.0,108.0,103.0,99.0,257.0,72.0
12,Southampton,160.2,25,158.62400818929422,195.1176700774732,89.0,,157.0,143.0,,73.0,,140.0,139.0,,109.0,,66.0,101.0,142.0,198.0,111.0,145.0,157.0,173.0,271.0,313.0,202.0,163.0,114.0,180.0,223.0,84.0,252.0,260.0
13,Wolves,162.3846153846154,26,,190.549849759829,149.0,192.0,94.0,66.0,,124.0,,145.0,195.0,,128.0,,174.0,274.0,144.0,175.0,241.0,156.0,96.0,187.0,91.0,245.0,210.0,193.0,158.0,81.0,262.0,177.0,117.0,148.0
14,Man Utd,165.52,25,,130.95469057679432,272.0,,,125.0,,167.0,89.0,116.0,279.0,103.0,95.0,,100.0,153.0,125.0,240.0,73.0,175.0,77.0,123.0,110.0,158.0,366.0,,216.0,68.0,212.0,286.0,203.0,207.0
15,Crystal Palace,171.16,25,206.6805988268357,230.71229668142814,83.0,,98.0,126.0,,190.0,,159.0,225.0,125.0,169.0,,188.0,86.0,385.0,87.0,43.0,174.0,141.0,116.0,207.0,152.0,160.0,,412.0,123.0,249.0,110.0,300.0,171.0
16,Fulham,178.03846153846155,26,,238.56008597567026,161.0,,76.0,211.0,,88.0,,91.0,106.0,,185.0,157.0,183.0,88.0,34.0,234.0,228.0,137.0,201.0,185.0,143.0,266.0,397.0,124.0,337.0,115.0,383.0,210.0,79.0,210.0
17,Nott'm Forest,179.64,25,,209.55143887895724,132.0,,207.0,202.0,,139.0,,113.0,127.0,,38.0,,73.0,145.0,314.0,78.0,77.0,402.0,217.0,241.0,124.0,184.0,181.0,200.0,115.0,262.0,217.0,228.0,151.0,324.0
18,Brentford,185.79166666666666,24,150.7419586247611,159.9961618230364,110.0,,,126.0,,239.0,,104.0,89.0,,65.0,,287.0,218.0,189.0,403.0,173.0,144.0,277.0,181.0,303.0,222.0,78.0,186.0,179.0,133.0,186.0,282.0,152.0,133.0
19,Everton,188.80769230769232,26,,187.61653779106112,127.0,179.0,105.0,46.0,,168.0,,130.0,135.0,,129.0,,215.0,250.0,112.0,271.0,257.0,276.0,124.0,210.0,335.0,115.0,263.0,213.0,305.0,149.0,238.0,141.0,199.0,217.0
20,Bournemouth,210.4,25,,284.35191146905396,359.0,,213.0,170.0,,201.0,,199.0,159.0,,101.0,,250.0,201.0,186.0,157.0,252.0,307.0,225.0,150.0,259.0,185.0,164.0,240.0,161.0,186.0,355.0,197.0,242.0,141.0
