,Teams,xA av,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,235.97368421052636,38,318.2,97.60000000000001,238.6,232.2,,163.60000000000002,,169.6,430.59999999999997,254.20000000000002,310.59999999999997,201.70000000000002,,,130.7,364.7,169.5,354.59999999999997,396.8,257.7,297.90000000000003,185.0,313.40000000000003,280.1,223.90000000000003,,308.4,186.10000000000002,73.2,260.40000000000003,190.3,183.10000000000002,294.59999999999997,218.4,125.2,79.19999999999999,,274.7,123.19999999999999,349.9,112.8,360.20000000000005,203.50000000000003,232.60000000000002
2,Liverpool,233.3657894736842,38,408.5,,182.0,237.20000000000002,,337.2,262.9,130.60000000000002,330.2,285.9,331.1,265.1,,,162.10000000000002,276.4,,310.8,199.8,269.7,132.2,272.4,183.90000000000003,306.4,210.7,167.2,376.4,203.2,226.6,227.6,109.6,198.9,294.20000000000005,216.8,288.0,150.7,,148.0,261.70000000000005,213.10000000000002,203.79999999999998,117.1,221.80000000000004,148.1
3,Arsenal,210.22894736842107,38,326.29999999999995,,145.3,280.0,,106.2,330.1,236.5,199.8,241.8,142.1,93.2,,,233.9,288.5,208.2,,133.79999999999998,341.09999999999997,144.79999999999998,293.9,249.1,141.7,358.6,133.0,280.5,148.8,274.4,255.89999999999998,193.10000000000002,211.60000000000002,191.89999999999998,159.29999999999998,173.4,148.10000000000002,,162.8,129.39999999999998,173.09999999999997,223.1,269.1,147.39999999999998,218.9
4,Spurs,191.7394736842105,38,235.90000000000003,131.3,255.59999999999997,138.3,242.39999999999998,139.7,,,181.20000000000002,199.89999999999998,159.5,223.90000000000003,177.4,,172.00000000000003,210.5,,,226.29999999999998,164.6,106.6,214.2,203.3,139.90000000000003,236.39999999999998,149.7,173.3,276.7,324.0,102.7,249.60000000000002,104.7,91.3,132.0,169.70000000000002,187.3,,297.4,106.39999999999999,364.79999999999995,208.6,178.5,199.5,211.0
5,Brighton,184.30789473684212,38,194.8,198.80000000000004,159.00000000000003,191.3,,178.50000000000003,,75.5,194.4,102.1,328.3,92.0,,,121.0,219.3,274.0,,321.5,73.0,192.1,94.0,220.7,284.8,139.0,213.8,101.69999999999999,320.7,207.7,241.8,130.8,140.70000000000002,132.39999999999998,171.8,77.7,120.0,,146.3,158.60000000000002,149.20000000000002,188.8,337.9,203.89999999999998,305.8
6,Chelsea,171.51578947368415,38,195.7,144.7,167.7,317.70000000000005,104.80000000000001,248.3,,119.9,130.7,107.1,297.2,399.9,,,131.9,228.5,,,103.60000000000001,209.5,205.7,62.099999999999994,205.4,134.20000000000002,150.7,159.90000000000003,171.89999999999998,209.5,163.60000000000002,69.2,78.0,112.6,188.8,251.7,110.3,143.8,,89.0,122.4,137.4,221.10000000000002,208.60000000000002,235.20000000000002,179.3
7,Newcastle,169.62368421052633,38,133.5,262.8,219.2,236.1,,254.79999999999998,,116.19999999999999,215.70000000000002,130.3,219.89999999999998,248.40000000000003,,,154.79999999999998,148.60000000000002,75.2,,198.8,98.3,169.2,152.0,142.0,72.0,174.6,208.3,358.90000000000003,123.6,132.4,253.1,169.10000000000002,67.5,122.39999999999999,126.6,115.7,143.3,,207.3,244.49999999999997,115.7,124.0,200.7,106.40000000000002,203.8
8,Man Utd,169.34736842105264,38,131.10000000000002,176.0,172.3,104.5,,309.6,,297.4,104.6,97.0,203.39999999999998,169.89999999999998,,,153.29999999999998,51.69999999999999,245.2,,184.2,224.79999999999998,151.1,180.39999999999998,98.4,160.60000000000002,156.60000000000002,137.20000000000002,52.1,235.5,270.5,72.6,131.39999999999998,188.0,123.80000000000003,104.1,138.20000000000002,283.40000000000003,,231.0,162.2,159.3,102.6,233.6,259.5,178.1
9,Aston Villa,158.35263157894732,38,89.5,,209.39999999999998,32.3,,99.80000000000001,,174.7,85.9,169.3,106.8,133.4,167.7,,93.5,154.5,158.3,,128.9,204.5,193.7,195.10000000000002,176.1,187.2,130.29999999999998,198.5,214.99999999999997,76.30000000000001,235.09999999999997,120.10000000000001,176.39999999999998,125.0,236.70000000000002,229.39999999999998,206.29999999999998,192.79999999999995,,157.4,111.9,190.8,133.4,175.3,146.4,199.7
10,Bournemouth,155.85789473684213,38,225.2,,159.5,51.7,,152.8,191.59999999999997,148.70000000000002,230.0,101.8,126.5,123.4,,284.5,427.7,100.89999999999999,122.49999999999999,,117.69999999999999,235.0,100.0,126.99999999999999,125.9,259.5,133.8,233.49999999999997,,141.2,165.39999999999998,177.4,220.60000000000002,183.2,67.7,97.6,77.89999999999999,162.00000000000003,,99.30000000000001,108.80000000000001,149.9,113.5,123.5,117.8,137.60000000000002
