,Teams,xA av adj,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,232.87100830513185,38,355.777478894858,,194.95852369265623,255.10014783927224,,272.2429396698919,267.0486994271393,131.85836120996444,376.8311202735318,241.11764045778835,242.85303322130304,286.73602077773546,,,280.93454948075754,297.54032631379243,,248.27901168520341,201.58164473684212,217.74590993170176,253.33422154677473,267.2727753761024,166.6362480038327,303.9971253715685,170.11146912350597,320.40455251604186,317.4420422116528,231.89607401448112,166.20506592554293,229.79297864768685,189.94711056811238,200.67361931009958,235.01829227087148,233.3818478467084,292.5447905477981,162.99931471597407,,159.16872630780898,211.28700270347187,185.59652570990025,218.31069850858975,116.1816689980766,200.9783567550304,145.31240100293968
2,Man City,231.30960304727878,38,256.90303500284574,104.96532221379836,240.89896619217083,202.23140905602455,,176.11287042306964,,183.44182996568816,343.97986625369555,290.0983366854385,332.7149310930715,386.51673590003384,,,166.50458127525818,307.5746886147444,153.58805892686047,357.7620181365576,389.3312675082138,261.76664070891513,300.55641625177816,149.36222965281732,310.9422294107362,205.44589128748711,227.43325904045835,,351.95250603378923,148.66384837392653,78.41188974891449,280.05092115238824,242.43168949259095,179.6536166349646,266.94420153305657,184.19060047562428,135.41814334731225,151.77057750759877,,239.2462018419033,132.62289508632136,282.49645489470686,113.8868540925267,264.19710832471566,201.90409599580352,187.79272766078546
3,Arsenal,206.78655046166233,38,331.44918456856425,,122.5407245838288,253.71478760779308,,114.21431576952239,323.8867222894692,205.97643514965463,214.02589579006988,261.53440144872286,113.51495354075742,161.52436774587662,,,235.98571923897583,211.60706760599797,206.56723727924464,,108.02522339214569,275.3916569436539,184.4672025145936,316.37880572946307,284.27811041834275,143.06531227758006,289.520516505407,169.43465424337674,303.3928850552802,159.39466112894092,219.20128959594535,222.87259938603222,194.8218998933144,170.83809618668187,190.39506644518272,116.84230804033092,170.13619401694626,256.6712324373855,,147.51702650910255,139.16508908263836,175.83160848549946,188.15440918549348,271.692840747331,168.21595132743363,235.6424653765889
4,Spurs,194.27324091169845,38,173.02636827817997,227.55525198533905,206.36208594194648,176.1865615177369,237.83744769150962,267.7064353259034,,,179.77897884245502,215.18925915386072,128.77446286283438,178.8599443896945,179.1092900355872,,184.24651689635647,240.2269861222848,,,197.09288488104372,178.03375714830347,108.2822037235947,216.11005156472262,171.45581079072537,126.76678137975094,255.69368280594736,152.06234425349086,186.55477044204136,274.53004109109986,261.5857427433125,177.98876145387905,267.37168963564284,91.18703069838834,89.58151392011068,150.64115044247788,171.33509875444844,149.6224545966493,,378.8711742254153,203.8938061465721,267.57108583247157,168.41600597609562,161.74317709996808,168.25102928061833,212.88151671408252
5,Brighton,182.05947476362513,38,164.28722057074913,195.0581047899015,157.75307746109465,204.92069001321505,,161.7431770999681,,130.84860262675627,156.9514456459875,195.653736913205,331.2274973328592,117.2029187247418,,,130.25462910263707,221.41300622775805,278.32386322950236,,235.81168885729062,78.50889878695983,219.22852272727275,75.09082077995213,192.21564159631617,229.93709732498579,149.48954700530706,243.99301488334677,194.88721884498477,258.92144351166763,209.55209014935988,237.2487411378178,140.80417757541264,103.1997033350569,134.48934121016828,173.45533274021355,134.66140959071473,152.87337224966322,,156.71665942986598,143.71130469498567,125.82984244946495,187.31937751355136,272.808094052362,177.58391174213352,244.28481909052513
6,Chelsea,173.82663109345197,38,177.32851405301824,156.50962733511247,180.52645702902674,256.49935330108144,112.70866565579988,265.97912875212387,,229.76379094900372,132.7625143215181,78.55499806101345,250.64764863258029,322.864625071144,,,130.86560325231687,230.53756667852065,,,179.54854612095298,239.0857652855994,179.1515970836531,79.11197013920071,207.37907651245555,107.20412924116572,171.9819800884956,139.2627145049885,126.0840725180972,212.8060195130684,137.97427764565995,74.84772779260389,77.38830215072566,195.1463927916921,203.04767247915092,253.94444434566145,211.36735731171902,116.09885742743315,,89.85753558718862,131.11496318670947,124.5014707761099,238.0107313602732,166.63771504997888,189.8918725099602,228.41829703637183
7,Man Utd,173.24147178384973,38,141.7996692718262,174.6197586990733,330.1776578858494,119.25757743362833,,249.9597097324986,,218.13498061013445,94.78059565633984,123.57264256847778,199.571521701539,171.41502222617353,,,155.71915413533836,89.60096365302381,247.56255871886123,,147.14605518794875,240.80591278081934,121.99261027319294,157.11690867229467,105.82569370735408,172.88341680895468,167.7500264300548,110.77025896414345,66.37252245172878,213.3922588629831,265.4085379560782,72.03065046336772,133.47356068743287,150.18164155990425,124.99284163701071,180.41509315821625,101.36601990692867,285.92711770981515,,263.6220132743363,130.954344052362,172.30119996187574,196.61188449848024,251.46678808575223,279.083003222138,155.11375518035302
8,Newcastle,171.35057230464142,38,134.69043830014226,221.6359423305589,237.0899123141441,190.61849957313603,,186.88901499482938,,132.60986122284794,231.97766394996214,131.5554706405694,223.37013694951665,200.54906943653958,,,151.88629085249872,129.421134305449,144.10539682539684,,180.1374992015331,105.81843008916714,135.16347740391382,162.82250330375686,246.09935858277336,91.72402334979793,187.95420034149117,166.39806349429819,362.358084519573,132.92739575435937,134.4893412101683,213.45531584423307,165.91713038215465,61.16338629830726,234.55452887537993,110.26053568687644,132.03925080450526,115.69517572566876,,167.36643355150827,179.33423927094105,116.73171319345663,134.12020587113992,255.68071508756174,184.4012095296274,218.31069850858978
9,Aston Villa,162.48031622988648,38,102.13926488334675,,266.7640345756623,34.936150400304996,,97.92152343074531,,158.29990498243376,164.60975515028707,170.80967194167854,185.094447159438,116.18290253261704,135.39484277177007,,100.55591830932526,123.42055117555961,170.40750237146653,,130.141981316726,172.46784705707495,142.0737920113754,193.5699711488023,178.8789500537057,151.13842914058054,109.89027125445898,145.5944641933816,216.91718527738263,146.2133215130024,407.45041692119725,108.82552139891412,189.71191432903714,126.20440391459076,254.80389015367103,183.2535562438406,166.5590701479795,167.91651880276282,,170.24613229126956,109.79377226353107,217.74493563958168,169.94423215087562,141.5308046385885,148.71026852846404,198.13389666025532
10,Bournemouth,157.25775506851883,38,220.9611931523431,,160.92228396159317,99.07246031746033,,165.27070529927565,166.87139524174978,159.28754106097793,193.9736177170036,81.32176122765028,144.36443584070798,125.3473165055496,,227.26955863719553,313.7065608841779,81.46296741605008,212.30402412950517,,116.77696363000526,237.26427935943065,107.64845380383228,102.53515224815025,160.38964638527167,279.083003222138,135.08919395017796,251.35913963194835,,119.08293400713437,188.7579263877715,190.03100056635833,161.8042256980352,181.76329428221717,117.33046884544899,78.79866818440523,67.84593783576362,164.55644468313645,,190.28811043566364,117.67966450629052,147.07852066401526,114.51209548364155,132.8198493176649,150.0706937584194,111.09320432555495
