,Teams,xG av adj,Matches,GW27*,GW27,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21,GW20*,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,214.20744211316725,26,,230.71229668142814,150.5538075588329,,156.1582704467998,173.45205331386168,169.70521816180513,233.13424587016473,,172.79946143010653,185.23406293122974,200.92960631407735,88.5328102327289,,162.28702311035474,204.2450062145541,304.6345442611985,334.5876740154255,197.5386750448495,146.61625963312824,209.51069655839234,,292.6762924160613,301.3789726435879,341.0843004755661,183.33422638834534,204.87554940105386,224.97246518926613,224.40275867951198,358.40794486020667,177.41925562500262,170.9223141662358
2,Liverpool,212.37938004732544,25,,284.351911469054,253.48341456107644,182.38430811690313,88.31915803450673,156.17148694535652,,137.25264417618035,,137.73814935911955,160.01727453538473,,97.18267249997717,,238.2795594104891,195.81634675833905,226.06957175288701,190.6486791802888,173.80410946167692,331.39298395981734,186.3321562827128,293.3111317173676,206.58882417433256,161.00238646119973,289.0237922401918,,249.178907581756,376.3845188970823,260.2637840779997,266.530355016426,270.36476949338794,181.94351648867718
3,Arsenal,211.3537794964182,26,,238.56008597567023,263.1963337577518,146.23942444962074,93.48016553790055,197.81087528377614,138.29499800099947,198.42792578086028,,106.20740323156814,260.0068847887512,,132.61354016729106,,246.05435712973437,334.45984691550586,232.1167229418017,166.23569750238568,173.6357659852047,345.18675956520985,151.17092238033,,125.55883243198049,300.871228603711,275.27356065028596,154.42508031481177,201.29565273967836,369.3815324176636,331.83031816744455,144.42807172779138,252.8884478235836,154.10791861123113
4,Brighton,191.894940347486,23,206.68059882683568,189.4401574809038,256.3834712493537,,,182.8099141862423,,171.2310206791457,,145.89434656766744,119.06421084301017,,280.96924071941885,,175.65070534451652,217.5707925151348,136.72784062424753,108.99782923799908,228.9303034175711,283.71857187124954,179.27129370499932,206.94032103287458,251.56343728703206,192.89242206151425,156.87449273500886,,307.9925454038197,99.63573521998988,144.0839060694858,148.76571788542745,224.70717546094463,192.9083338755251
5,Spurs,184.17198872695843,26,,209.5514388789572,141.53782244488838,,105.54330873610482,164.59185808600483,,111.19219690297645,,206.58882417433256,91.83815594190371,201.4667872113326,246.58023151715275,,169.42858888252312,75.6929369708327,156.91580741666357,228.4759081958989,225.94609774519932,225.0731879209744,284.25457695809496,114.62669114342795,273.6883083275025,95.92055987010734,130.54247550908087,256.82445479360047,291.9760240794486,192.0238344336723,186.3321562827128,168.13553404527008,192.92862887244968,250.34675043876308
6,Newcastle,183.6303477944714,24,,190.549849759829,146.83172627266612,,,168.5815444316513,,147.36062140754348,,85.4611570831179,202.77357712004095,,160.28357404954895,,126.19105965877817,161.57980894935193,165.31229274070836,183.8496345725697,106.8788049950104,245.24511578549794,198.92031025093658,171.56580522022543,102.51167500631769,184.3138055370334,343.95988593335636,175.95298078512656,371.30095010425276,39.80397576858434,248.8785871178574,329.5177112863321,61.84351886362184,278.21022412718406
7,Man Utd,183.13255344416345,25,,195.11767007747318,99.50993942146084,,,219.43238857844025,,118.3546371285062,192.45493167852746,143.29332783149562,105.8844523573656,112.65198728891164,163.90518281599938,,183.28435498450682,260.2776063751638,269.6234888146167,202.73706123024027,136.24728654749887,190.96875842030047,144.12903451059475,301.39440947111603,169.6539174730132,93.95270285869488,295.37079819966556,,187.1108815630159,106.27218819045537,214.72048210709295,184.97141680695074,126.196839827158,355.915761623293
8,Leeds,152.3902889215111,25,,120.95097686198467,110.08280588604482,,151.17092238033,37.58108114347795,,155.63136114595503,82.9412643232934,97.03010903201174,73.89157068827014,,173.58913545310966,,220.5108867947116,110.10651597586286,179.27129370499932,174.8087574932473,184.75062982438288,187.31282714627923,174.145937210591,148.58426311813668,311.8514692716932,136.98481654331655,90.83152436499924,,148.61338374382422,121.73002370387424,156.50196610385933,198.60300030987466,242.64377350218575,140.58790417344616
9,Brentford,148.88051730896075,24,158.6240081892942,187.61653779106112,139.49002930798582,,,113.55320318722293,,194.3632413135204,,134.8020963901032,36.02097651737145,,74.04687941374075,,213.06834087889263,160.37155403251754,167.7762212722546,370.49400699033197,66.11786190676905,148.1872503449838,156.43206973972093,174.77064027268972,135.04605139607216,132.57723352195734,120.23453686983648,114.58728405797099,173.92985804102216,110.84955549228906,194.4412459162555,181.94351648867718,189.1806366025681,70.84812546030358
10,Fulham,142.1187328222657,26,,103.69898233204313,91.32666040123276,,89.29231751556716,63.10563149349167,,119.355620844687,,108.94793159855982,115.53452363059448,,49.43557860140782,105.54330873610482,77.73613765783308,97.25008382428874,346.9681208498479,223.6618363774204,95.61135664266631,225.48648686086773,199.65912698200177,244.23587662588685,189.88259176394908,104.45252532381076,71.90629614750227,171.7347062513482,74.34395433620863,119.90069983763418,190.01182546321772,234.12834757406944,111.14043775873785,174.43507027997254
