,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Harry Kane,Spurs,89.43579091857328,89.43579091857328,4,4,26.1804812144986,65.8190573889042,192.86959618168942,72.8740288892009
2,Jack Grealish,Aston Villa,59.796831342098415,59.796831342098415,3,3,141.68628068694397,18.066948598276273,19.637264741074997,
3,Mohamed Salah,Liverpool,48.210061084220555,48.210061084220555,4,4,100.42112223829014,44.5068070670971,29.475668139059692,18.4366468924353
4,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,47.6028238590418,47.6028238590418,3,3,132.70760546781926,0.0,10.100866109306136,
5,Andros Townsend,Crystal Palace,45.5745246553402,45.5745246553402,4,4,2.382950656224706,49.04765161411367,6.806630765049518,124.0608655859729
6,James Rodriguez,Everton,44.07600118298226,44.07600118298226,4,4,61.106719787013155,58.91023941565839,28.939634972779004,27.34741055647849
7,Heung-Min Son,Spurs,40.94894438463355,40.94894438463355,4,4,40.337883700528295,37.68891518023121,18.469841466926137,67.29913719084855
8,John McGinn,Aston Villa,40.73447465746619,40.73447465746619,3,3,27.818637555687232,69.52811022732847,24.856676189382863,
9,Leandro Trossard,Brighton,40.64427515563429,40.64427515563429,4,4,23.2132163367045,8.273905602144625,67.0331717086321,64.05680697505593
10,Arthur Masuaku,West Ham,38.295149121971875,51.060198829295835,4,3,0.0,89.43136950247217,63.74922698541535,0.0
11,Kevin De Bruyne,Man City,35.1749501583405,35.1749501583405,3,3,15.222972073791476,54.81418963346971,35.48768876776032,
12,Daniel Ceballos Fernandez,Arsenal,35.14840268820183,35.14840268820183,4,4,12.839628873304157,36.41636781170737,91.3376140677958,0.0
13,Trent Alexander-Arnold,Liverpool,32.71157166331248,32.71157166331248,4,4,7.688411155889553,105.29765526513775,12.235114687097422,5.625105545125211
14,Roberto Firmino,Liverpool,31.77259700865443,31.77259700865443,4,4,52.584402593429616,14.153255713200144,60.35272972798797,0.0
15,Jeff Hendrick,Newcastle,31.231875362803216,31.231875362803216,4,4,0.0,0.0,0.0,124.92750145121286
16,Ryan Fredericks,West Ham,29.43895349100112,39.251937988001494,4,3,0.0,13.84735936228227,79.18863734510924,24.719817256612956
17,Conor Hourihane,Aston Villa,27.23682787867669,40.85524181801503,3,2,0.0,72.74977011807007,8.960713517959991,
18,Aaron Cresswell,West Ham,26.530348309425413,26.530348309425413,4,4,81.3779027658447,23.403420106203416,1.340070365653551,0.0
19,Abdoulaye Doucoure,Everton,25.786788101448636,25.786788101448636,4,4,80.13882323934627,0.0,0.0,23.008329166448274
20,Willian Borges Da Silva,Arsenal,25.588900346887712,25.588900346887712,4,4,0.0,32.48688940592572,15.688528650499068,54.18018333112605
21,Bruno Miguel Borges Fernandes,Man Utd,25.060050887256434,25.060050887256434,3,3,2.445885426244895,63.892763960200305,8.841503275324103,
22,Pablo Fornals,West Ham,24.677206233778186,24.677206233778186,4,4,89.15676948040083,4.740067992553803,4.811987462158122,0.0
23,Riyad Mahrez,Man City,23.534578321707354,35.30186748256103,3,2,11.529117319720482,59.074617645401574,0.0,
24,Raheem Sterling,Man City,23.329977536982096,23.329977536982096,3,3,34.27686439571056,0.0,35.713068215235715,
25,James McArthur,Crystal Palace,21.456923390830198,21.456923390830198,4,4,8.135190196133406,18.03182394416387,0.0,59.660679423023524
26,Darnell Furlong,West Brom,20.27114525218632,27.028193669581757,4,3,0.0,65.16963111255204,0.0,15.914949896193233
27,Pierre-Emerick Aubameyang,Arsenal,20.255069095601616,20.255069095601616,4,4,0.0,0.0,75.52594331781312,5.494333064593343
28,Jack Harrison,Leeds,19.329124480720907,25.77216597429454,4,3,0.0,77.31649792288363,0.0,0.0
29,Allan Saint-Maximin,Newcastle,18.900123494847232,25.20016465979631,4,3,75.60049397938893,0.0,0.0,0.0
30,Miguel Almiron,Newcastle,18.54945720217323,24.73260960289764,4,3,0.0,6.031595602035675,51.72950667027302,16.436726536384235
31,Kalvin Phillips,Leeds,18.32025000821259,18.32025000821259,4,4,0.0,46.451297578005246,16.903479248726626,9.926223206118491
32,Timothy Castagne,Leicester,17.67541810529145,17.67541810529145,4,4,13.604486631826866,32.794715681122405,24.30247010821653,0.0
33,Hector Bellerin,Arsenal,17.660026051591505,17.660026051591505,4,4,61.54439188467143,0.0,0.0,9.095712321694592
34,Jonjo Shelvey,Newcastle,16.905900519703582,16.905900519703582,4,4,39.659467485014936,1.4521065730642821,0.9222401990620955,25.589787821673017
