,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW5 adj,Threat GW4 adj*,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Callum Wilson,Newcastle,101.86375779170393,101.86375779170393,5,5,42.38149180781572,,219.6813066868013,79.59623874797943,47.77397109634253,119.88578061958073
2,Sadio Mane,Liverpool,84.67096202268445,105.83870252835555,5,4,155.63582136208527,,0.0,140.8196592791066,98.2331028734485,28.666226598781886
3,Harry Kane,Spurs,84.32523866863606,84.32523866863606,5,5,96.47683059079972,,95.99137299514818,126.62213515637336,80.650555185032,21.885299415827113
4,Dominic Calvert-Lewin,Everton,81.15779656527802,81.15779656527802,5,5,67.76010621054915,,55.52532826048446,103.46394540916486,163.3840922278712,15.655510718320446
5,Neal Maupay,Brighton,74.9874110409147,74.9874110409147,5,5,37.698359876814486,,121.8025435104428,57.96026715356624,119.01202243322189,38.46386223052806
6,Mohamed Salah,Liverpool,73.47828912257543,73.47828912257543,5,5,52.67087128975668,,92.09371084308023,23.95188427482752,26.863374204472713,171.81160500074003
7,Ollie Watkins,Aston Villa,66.26679378713885,66.26679378713885,4,4,7.419586087065685,,195.90774631004655,47.87829844399929,13.861544307443868,
8,Bruno Miguel Borges Fernandes,Man Utd,64.5038071492838,64.5038071492838,4,4,80.62979044995241,,79.59623874797943,86.3286531456926,11.460546253510755,
9,Jamie Vardy,Leicester,62.292415814966695,77.86551976870837,5,4,0.0,,39.561022238724505,164.84233331234253,11.787793903453762,95.27092962031267
10,Jorge Luiz Frello Filho,Chelsea,61.73236468447774,77.16545585559717,5,4,0.0,,140.7677397701528,0.0,81.5654305065433,86.3286531456926
11,Michail Antonio,West Ham,61.27135220045417,61.27135220045417,5,5,26.644819626110152,,56.54369423191211,20.840858004432857,186.52479194111334,15.802597198702369
12,Che Adams,Southampton,59.383375607396815,59.383375607396815,5,5,82.14494737399687,,26.519570924679027,18.601850524560906,124.57743740537983,45.073071808367445
13,Heung-Min Son,Spurs,57.29873367649619,57.29873367649619,5,5,86.35771021132072,,28.320912168126043,5.8974941145653705,158.6592938489993,7.258258039469517
14,Wilfried Zaha,Crystal Palace,56.2455630564268,56.2455630564268,5,5,86.3286531456926,,7.575849051069796,17.302008386066387,61.828491507147994,108.19281319215723
15,Aleksandar Mitrovic,Fulham,54.66759170922379,54.66759170922379,5,5,123.84348911542635,,11.271277249260821,43.48618928894421,90.97895225336786,3.7580506391196704
16,Danny Ings,Southampton,50.166796948872516,50.166796948872516,5,5,67.57552422572401,,2.691072993869129,55.61838766590439,85.53570174195961,39.41329811690542
17,Richarlison de Andrade,Everton,49.30093727074725,49.30093727074725,5,5,56.68745473738507,,2.218631432132413,67.75338536298302,33.028093001715014,86.81712181952072
18,Alexandre Lacazette,Arsenal,47.52327832334716,59.40409790418394,5,4,0.0,,0.0,121.29957826709877,47.11631277686719,69.2005005727698
19,Jarrod Bowen,West Ham,45.938870171202005,45.938870171202005,5,5,4.407701913549545,,83.25057702533027,113.13146498907099,22.556026665126673,6.34858026293257
20,Timo Werner,Chelsea,44.1310866234105,44.1310866234105,5,5,123.54326936391287,,9.220779399830713,36.57748009783062,3.713090119030407,47.600814136447916
21,Raul Jimenez,Wolves,38.859460193727315,38.859460193727315,5,5,7.469466344981329,,13.821513830559805,16.08136851125079,29.964720496486095,126.96023178535859
22,Chris Wood,Burnley,36.863588287116094,36.863588287116094,4,4,48.81377942628702,,8.473944217667423,5.22347370315174,84.9431558013582,
23,Pablo Fornals,West Ham,36.78070298643591,36.78070298643591,5,5,83.17497652905256,,53.360327703639584,39.555634214338156,0.0,7.812576485149294
24,Phil Foden,Man City,36.57433828888756,36.57433828888756,4,4,82.46926214508736,,18.655587177745293,0.0,45.1725038327176,
25,James Rodriguez,Everton,35.911149729268374,35.911149729268374,5,5,5.862938424595441,,136.63915788782697,16.072213263684286,1.9002041165034738,19.081234953731727
26,John Lundstram,Sheffield Utd,33.77051275317143,33.77051275317143,5,5,1.7965401304192787,,1.3125618058414101,45.42475290445572,120.31870892514075,0.0
27,Patrick Bamford,Leeds,32.541886041633276,32.541886041633276,5,5,16.917931810565733,,44.61484677825749,85.95719158547429,7.602998638047944,7.616461395820915
28,Kevin De Bruyne,Man City,32.22699668848889,42.96932891798519,4,3,0.0,,24.2628909263925,7.909280639945363,96.73581518761769,
29,Marcus Rashford,Man Utd,31.62976065322704,31.62976065322704,4,4,51.665484531283745,,0.0,71.58084083429102,3.272717247333404,
30,Tomas Soucek,West Ham,30.47552308778888,30.47552308778888,5,5,18.161163819604095,,17.75022912135382,86.0594038666462,6.60438010791916,23.8024385234211
31,Raheem Sterling,Man City,29.684944615196077,29.684944615196077,4,4,40.4529009240982,,32.29414797733026,39.846528775226325,6.146200784129536,
32,Jack Grealish,Aston Villa,28.484226921121852,28.484226921121852,4,4,0.0,,40.846752542175,38.96146607622337,34.128689066089045,
33,Ross Barkley,Aston Villa,28.060106732546533,28.060106732546533,4,4,24.850715006807913,,85.40300524141209,0.0,0.0,1.986706681966132
34,Georginio Wijnaldum,Liverpool,26.967797834600372,26.967797834600372,5,5,0.0,,0.0,6.459064951169272,108.4925817997872,19.887342422045382
35,Tammy Abraham,Chelsea,25.422202910363847,31.77775363795481,5,4,0.0,,44.3206445456284,74.50225558790913,8.288114418281715,0.0
36,Billy Sharp,Sheffield Utd,24.985912831382507,31.232391039228133,5,4,63.594113809947714,,0.0,4.744802142026279,0.0,56.590648204938546
37,Roberto Firmino,Liverpool,24.97468031683664,24.97468031683664,5,5,24.528953137226594,,62.66923257098604,9.630966101483597,16.51570957309654,11.528540201390433
38,Harvey Barnes,Leicester,24.81476201394118,24.81476201394118,5,5,17.877958061393713,,7.2734120870157,9.515447805605707,48.808119436930895,40.59887267875988
39,Bukayo Saka,Arsenal,22.824622681103996,38.04103780183999,5,3,36.48286009397031,,55.61046724443361,0.0,22.02978606711605,0.0
40,Andrew Robertson,Liverpool,21.45045005574492,21.45045005574492,5,5,0.0,,41.83082757808955,52.82940729712109,12.592015403513969,0.0
41,Leandro Trossard,Brighton,19.163246644795958,19.163246644795958,5,5,2.338634713141965,,28.275095594063295,57.75254252924612,5.504951847834228,1.945008539694185
42,Rodrigo Moreno,Leeds,17.797924719528798,17.797924719528798,5,5,14.68528575260262,,59.58868923222292,14.715648612818446,0.0,0.0
43,Stuart Dallas,Leeds,16.96082239984567,16.96082239984567,5,5,0.0,,42.57962380869602,42.22448819053233,0.0,0.0
44,Diogo Jota,Liverpool,16.578095815454553,27.630159692424257,5,3,13.964602777792843,,18.002784670309055,50.92309162917088,0.0,0.0
45,Youri Tielemans,Leicester,16.578043518311016,16.578043518311016,5,5,11.323837972875166,,0.0,63.83493964596077,5.18714806916637,2.544291903552779
46,Edward Nketiah,Arsenal,16.443870461798575,16.443870461798575,5,5,0.0,,6.891083570597013,0.0,75.32826873839586,0.0
47,Riyad Mahrez,Man City,15.777310564339253,21.03641408578567,4,3,41.35199321671718,,10.219346736433367,11.537902304206465,0.0,
48,Michael Keane,Everton,15.413605475190028,15.413605475190028,5,5,13.924565483560132,,0.0,0.0,63.14346189239001,0.0
49,Lucas Rodrigues Moura da Silva,Spurs,15.201716480175227,15.201716480175227,5,5,0.0,,0.0,63.34719161018594,0.0,12.661390790690193
50,Cheikhou Kouyate,Crystal Palace,14.795979161903654,14.795979161903654,5,5,0.0,,0.0,31.03882801135556,0.0,42.941067798162706
51,Mateusz Klich,Leeds,14.76525806656476,14.76525806656476,5,5,0.0,,0.0,2.386121231094386,63.594113809947714,7.846055291781701
52,Lewis Dunk,Brighton,14.743314151131585,14.743314151131585,5,5,8.644271449861304,,6.618410866446742,0.0,0.0,58.45388843934988
53,Kai Havertz,Chelsea,14.726750442627202,14.726750442627202,5,5,65.5386449375356,,1.8113381915579236,6.283769084042486,0.0,0.0
54,Oliver McBurnie,Sheffield Utd,14.326392850705162,14.326392850705162,5,5,60.641333286088745,,1.0340932930633189,0.0,0.0,9.956537674373749
