,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Kevin De Bruyne,Man City,Midfielder,55.553687661886215,55.553687661886215,10,10,,39.64868783950806,43.991947174072266,62.30993270874024,77.08397507667542,78.40003371238708,10.23794710636139,9.316478669643402,125.43120384216309,60.80992817878723,48.30674231052399
2,Pascal Groß,Brighton,Midfielder,36.725320770508716,36.725320770508716,9,9,46.79814845884672,74.45629239082336,14.985860884189606,0.0,,86.18276119232178,0.0,79.29785251617432,41.012582182884216,32.242223620414734,2.350314147770405
3,Gabriel Martinelli Silva,Arsenal,Midfielder,34.65846532955766,34.65846532955766,10,10,,1.9519450142979624,102.90508270263672,40.92864096164704,15.646517276763916,8.854561299085617,54.42407131195069,58.34226608276367,0.0,57.12836980819702,6.403198838233948
4,Erling Haaland,Man City,Forward,26.867583692073822,26.867583692073822,10,10,,7.782334089279175,35.89092791080475,111.03899478912354,0.0,43.991819024086,0.0,0.0,28.289464116096497,41.68229699134827,0.0
5,Mohamed Salah,Liverpool,Midfielder,25.96966421438588,25.96966421438588,9,9,16.999887192684206,0.0,3.746556863188744,30.485859513282776,,22.87222594022751,42.15383231639862,12.70892471075058,23.170995712280277,45.17565071582794,53.41293215751648
6,Phil Foden,Man City,Midfielder,25.7360771112144,25.7360771112144,10,10,,8.037929236888885,51.20536684989929,0.0,2.9251454398036003,0.0,62.91050314903259,60.93146204948425,10.768600553274156,10.928382724523544,49.65338110923767
7,Joe Willock,Newcastle,Midfielder,25.50661936402321,25.50661936402321,10,10,21.925215767843657,0.0,0.0,209.52246189117432,9.76233184337616,0.0,6.42860010266304,14.272552728652954,6.276054680347443,0.0,8.804192394018173
8,Kieran Trippier,Newcastle,Defender,25.229766331613064,25.229766331613064,10,10,27.34557588901369,24.620066583156586,62.737345695495605,56.48792386054993,13.695146143436432,66.17763042449951,0.0,10.69619283080101,0.0,6.217024847865105,11.666332930326462
9,Harry Kane,Spurs,Forward,24.69592086970806,24.69592086970806,10,10,16.56532224179716,41.193750500679016,1.2832023203372955,0.0,24.981960654258728,61.90113425254822,0.0,18.42624396085739,12.832745909690855,61.84902787208557,24.49114322662353
10,Danny Welbeck,Brighton,Forward,23.068745930989582,23.068745930989582,9,9,27.29214058095912,0.0,5.221289768815041,79.14072871208191,,0.0,33.0294132232666,20.78021764755249,5.318862572312355,1.8057577311992643,62.32244372367859
11,Eberechi Eze,Crystal Palace,Midfielder,21.804312451018227,21.804312451018227,9,9,21.59513920449905,15.339216589927672,62.64495849609375,0.0,,6.303931027650833,9.335065633058548,9.197596460580826,50.06462931632996,43.35341453552246,0.0
12,Roberto Firmino,Liverpool,Forward,21.705677794913452,24.418887519277632,9,8,21.311210675703986,55.701035261154175,0.0,2.891437523066997,,4.626767709851265,66.86257719993591,58.22775363922119,7.041528820991516,0.0,0.0
13,Pascal Struijk,Leeds,Defender,21.388338030212456,21.388338030212456,9,9,21.302209261210496,0.0,9.04146358370781,0.0,,86.46254539489746,10.193037986755373,4.013320431113243,2.391139976680279,80.39353489875793,0.0
14,Marcus Rashford,Man Utd,Midfielder,21.332496632304455,21.332496632304455,9,9,18.211055127035213,39.12985920906067,34.51049327850342,0.0,,30.769482254981995,72.37370014190674,0.0,0.0,13.341987133026125,1.8669476732611656
15,Jack Harrison,Leeds,Midfielder,21.261651027533745,21.261651027533745,9,9,24.612894018265187,31.0984879732132,6.09247051179409,0.0,,7.571543753147125,9.914465248584747,7.013722509145737,9.5978781580925,53.06894779205322,66.99734330177307
