,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW10,GW1
1,Kevin De Bruyne,Man City,Midfielder,52.73011989482917,55.50538936297807,20,19,77.42108757003054,75.06484129650332,74.83081739734361,8.790524751272358,8.748760997062352,176.36938329068607,50.101060989885376,42.19479716083706,59.44587915745592
2,Kieran Trippier,Newcastle,Defender,36.75616953221953,36.75616953221953,20,20,39.92289865128481,11.283344589750234,62.144930410866344,0.0,10.416021325594214,0.0,6.736947083334518,64.08737552673784,10.01698576122797
3,Bruno Borges Fernandes,Man Utd,Midfielder,35.557519805609786,37.42896821643135,20,19,0.0,,59.01467303556041,15.608998441502585,0.0,33.924938993713,1.0674470953424857,7.614498852910828,36.1136901221292
4,Martin Ødegaard,Arsenal,Midfielder,32.762025118617466,34.582137625207324,19,18,35.17269117883586,0.0,46.21627452647727,18.298234725083077,10.750041408657705,0.0,6.845526213820634,38.18705041251195,0.0
5,Pascal Groß,Brighton,Midfielder,31.528868832390433,31.528868832390433,19,19,0.0,,83.21953830095315,0.0,67.08553546209315,50.46981138671403,45.33597625063884,16.130589182361916,2.920299209377248
6,Gabriel Martinelli Silva,Arsenal,Midfielder,28.568965622965976,28.568965622965976,19,19,44.05490738276495,15.983204795362818,11.001937386965364,51.9464295791796,41.23349961481739,0.0,55.16412646867742,85.89579808165516,6.013007952403767
7,Trent Alexander-Arnold,Liverpool,Defender,26.58838416633024,26.58838416633024,19,19,0.0,,3.888807081127403,1.1956562523477399,11.176896738139876,6.745187464769926,87.53766059026985,3.478050572823414,1.1928407812375914
8,Mohamed Salah,Liverpool,Midfielder,23.062021108779668,23.062021108779668,19,19,33.03542585571888,,18.63261376414334,59.272744033164216,10.470817414436471,28.79035194323361,42.42282573127081,6.0618738067326845,37.74963995283535
9,Harry Kane,Spurs,Forward,22.348058600510203,22.348058600510203,20,20,0.0,24.123031339706866,43.74868388791565,0.0,15.821209231438733,12.496556757675721,63.07899423773519,1.3905135316778272,23.490620074990098
10,Bukayo Saka,Arsenal,Midfielder,20.574928366317543,20.574928366317543,19,19,14.130344008601876,12.7195529383534,1.3848592960131967,19.98231024000479,6.870478025138144,13.480841736826227,29.73171940860611,0.0,0.0
11,Erling Haaland,Man City,Forward,19.715584522226514,20.753246865501595,20,19,137.96779224914252,0.0,41.98906281101332,0.0,0.0,39.77805805621471,34.341900066109865,34.42473066410681,0.0
12,Christian Eriksen,Man Utd,Midfielder,19.469408140226154,20.494113831817003,20,19,7.689740277130544,,108.91896079445762,0.0,17.37796180067628,0.0,0.0,0.0,15.129311367304036
13,Darwin Nunez Ribeiro,Liverpool,Forward,19.273673309506677,26.157128062901922,19,14,0.0,,8.50223679576687,0.0,0.0,0.0,0.0,0.0,34.741846611529404
14,Dejan Kulusevski,Spurs,Midfielder,18.903609104623897,31.50601517437316,20,12,0.0,50.89291258328673,0.0,15.46879715800473,23.474398964686284,40.9400584118942,0.0,0.0,55.22723624004573
15,James Ward-Prowse,Southampton,Midfielder,18.74538966583399,18.74538966583399,20,20,39.25189071278497,1.4915385161278407,4.935237773325258,27.13246474944691,20.337759770789575,71.0575945107799,0.0,2.424257136177573,13.75694728756998
16,Ivan Perisic,Spurs,Defender,18.69579906441836,18.69579906441836,20,20,23.961371699604406,9.188063632211074,0.0,16.810021179161893,0.0,63.91486549167867,55.59394495454962,0.0,0.0
17,Granit Xhaka,Arsenal,Midfielder,18.331327750458712,18.331327750458712,19,19,5.107551878696405,73.04242521476944,1.5112729409422254,4.7864617754780445,12.751631714941515,9.17243967922094,8.873600562528912,0.0,4.20705802225193
18,Solly March,Brighton,Midfielder,17.976230285801744,17.976230285801744,19,19,62.211662627607296,,2.83069515679176,0.0,2.7577962641746336,0.0,57.83064196929662,3.1464117110863135,0.0
19,Jack Grealish,Man City,Midfielder,17.8893852298562,25.556264614080284,20,14,12.89260065511576,11.272775209249053,0.0,0.0,0.0,0.0,15.00257764676266,41.021662456769256,67.12440593270581
