,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Erling Haaland,Man City,Forward,142.98662543296814,142.98662543296814,6,6,,147.34619708280218,93.28586459159851,292.5720691680908,133.1609129905701,209.89649295806885,40.79817533493042,88.20623755455017
2,Nicolas Jackson,Chelsea,Forward,69.65897406140964,69.65897406140964,6,6,,81.6779339658008,33.29127728939057,13.937921822071074,137.54653930664062,119.57622766494751,29.20694649219513,84.39493179321289
3,Callum Wilson,Newcastle,Forward,69.1950362175703,69.1950362175703,6,6,,59.29850953609658,151.4615058898926,99.12685751914978,31.213393807411194,11.357513815164564,0.0,122.01094627380371
4,Mohamed Salah,Liverpool,Midfielder,68.71449028452237,68.71449028452237,6,6,,67.1282248664853,100.21893978118895,6.966961920261383,78.62874269485474,15.783153474330902,189.90148305892944,20.787660777568817
5,Bryan Mbeumo,Brentford,Midfielder,67.17722862958908,67.17722862958908,6,6,,57.39601448694895,13.66855800151825,9.525722265243528,74.68672394752501,8.360356092453003,166.95406436920166,129.86794710159302
6,Darwin Nunez Ribeiro,Liverpool,Forward,60.09169096748034,60.09169096748034,6,6,,63.25654174589219,126.7219066619873,54.94419932365418,139.85563516616818,35.147523880004876,0.0,3.8808807730674735
7,Odsonne Edouard,Crystal Palace,Forward,55.62416389584541,55.62416389584541,6,6,,49.59404031090771,0.0,30.49984574317932,102.71316766738892,14.829836785793304,49.41635131835938,136.28578186035156
8,Bukayo Saka,Arsenal,Midfielder,52.75397449731827,52.75397449731827,6,6,,56.98314631087312,82.40894079208373,0.0,51.84111595153809,134.47612524032593,24.26857203245163,23.529092967510227
9,Dominic Solanke,Bournemouth,Forward,52.40715779364109,52.40715779364109,6,6,,35.584862545048836,92.41135716438292,29.257383942604065,48.98083508014679,7.647287100553513,15.322676301002502,120.82340717315674
10,Carlton Morris,Luton,Forward,50.84206223487854,50.84206223487854,5,5,41.25789809777867,52.51837924490173,135.31692028045654,6.527525931596756,12.3121976852417,9.514140337705614,,90.53952693939208
11,Abdoulaye Doucoure,Everton,Midfielder,50.11906921863555,50.11906921863555,6,6,,47.07310306457609,47.425714135169976,0.0,156.57720565795896,38.02878558635712,10.423895716667175,48.2588142156601
12,Julian Alvarez,Man City,Forward,45.06758488714695,45.06758488714695,6,6,,50.45415274534204,33.785155415534966,6.902920454740523,69.0995156764984,101.06762647628784,30.5476188659668,29.00267243385315
13,Taiwo Awoniyi,Nott'm Forest,Forward,44.774309545755386,44.774309545755386,6,6,,51.730011465071264,27.53182053565979,11.296705901622774,63.14279437065125,60.6080174446106,45.61017155647278,60.45634746551514
14,Marcus Rashford,Man Utd,Midfielder,44.593448316057525,44.593448316057525,6,6,,39.34916832464641,26.35176479816437,55.7585597038269,66.74129962921143,10.826247185468674,74.6907889842987,33.192029595375054
15,Ollie Watkins,Aston Villa,Forward,43.17187940080961,43.17187940080961,6,6,,57.877314025649376,17.80399829149246,32.459867000579834,17.03733205795288,113.12558650970459,42.07921028137207,36.5252822637558
16,Jarrod Bowen,West Ham,Midfielder,43.134484688440956,43.134484688440956,6,6,,70.58170451184148,73.60193729400635,0.0,54.54335808753967,75.20911693572998,16.665902733802795,38.78659307956696
17,Bruno Borges Fernandes,Man Utd,Midfielder,43.10624580830335,43.10624580830335,6,6,,37.10581969020847,32.918736338615425,4.321623593568802,0.0,142.2740578651428,77.46830582618712,1.6547512263059616
18,Son Heung-min,Spurs,Midfielder,42.19543884197871,42.19543884197871,6,6,,36.33095515752422,92.8831934928894,15.141171216964722,112.52130270004272,5.130375176668167,15.712888538837431,11.783701926469805
19,Kaoru Mitoma,Brighton,Midfielder,41.45646138737599,41.45646138737599,6,6,,33.73449773485206,114.13780450820923,55.18593192100525,24.605418741703033,7.063022255897522,45.74770927429199,1.9988816231489184
20,Matty Cash,Aston Villa,Defender,40.62228271116813,40.62228271116813,6,6,,54.503112749348496,8.751340210437776,21.850597858428955,6.193723902106285,150.95014572143558,0.0,55.98788857460022
21,Raheem Sterling,Chelsea,Midfielder,39.75132964551449,39.75132964551449,6,6,,37.28048937720985,30.558744072914124,53.19173336029053,24.59868639707565,125.47560930252077,4.6832047402858725,0.0
22,Arnaut Danjuma Groeneveld,Everton,Midfielder,39.27033903698126,39.27033903698126,6,6,,34.508148404786496,0.0,6.319484859704971,131.51260614395142,78.38613986968994,19.403803348541263,0.0
23,Yoane Wissa,Brentford,Forward,39.236499865849815,39.236499865849815,6,6,,37.77610884457856,9.988041222095491,33.376708626747124,35.07262468338013,36.41545474529266,100.51542520523071,20.050744712352756
24,Evan Ferguson,Brighton,Forward,38.79557931795716,38.79557931795716,6,6,,37.003112147876664,1.56273003667593,8.66473913192749,76.058030128479,59.69905853271485,5.939377844333649,80.84954023361206
25,Alexander Isak,Newcastle,Forward,38.7732187906901,46.527862548828125,6,5,,40.050046281566026,65.41728377342224,0.0,35.891291499137886,14.974173903465273,0.0,116.35656356811523
26,Pape Matar Sarr,Spurs,Midfielder,38.3734672019879,38.3734672019879,6,6,,26.27460072576316,4.427305608987809,36.01168990135193,66.72075390815735,9.90522801876068,99.28526282310486,13.890562951564787
27,Anssumane Fati Vieira,Brighton,Midfielder,36.45379741986593,54.68069612979889,3,2,,45.291509099176515,47.34312891960144,62.018263339996345,0.0,,,
28,Solly March,Brighton,Midfielder,36.21242096026739,54.31863144040108,6,4,,36.58277864626835,0.0,0.0,2.1340519189834595,12.925446033477785,142.62738227844238,59.587645530700684
29,Eberechi Eze,Crystal Palace,Midfielder,36.155663058161736,36.155663058161736,6,6,,33.698816455207286,12.353826314210892,42.2761857509613,65.17962217330933,21.360994875431057,23.000459372997284,52.76288986206055
30,Eddie Nketiah,Arsenal,Forward,35.345604767402016,35.345604767402016,6,6,,44.34058444415213,31.32059574127197,6.689658761024475,7.914049923419952,53.692227602005005,89.55589532852173,22.901201248168945
31,Joao Pedro Junqueira de Jesus,Brighton,Forward,34.25924591720105,34.25924591720105,6,6,,26.180961858969415,13.207128643989565,11.411576718091965,16.51085764169693,9.01620388031006,12.869122624397278,142.5405859947205
32,Matheus Santos Carneiro Da Cunha,Wolves,Forward,33.33554106454054,33.33554106454054,6,6,,26.68469888168556,0.0,7.443497329950332,48.46419095993042,14.814887940883635,60.113966464996345,69.17670369148253
33,James Ward-Prowse,West Ham,Midfielder,31.847986169159412,31.847986169159412,5,5,,69.37556641869968,0.0,53.11567187309265,0.0,104.09778356552124,2.0264754071831703,
34,Lyle Foster,Burnley,Forward,30.326216518878937,37.90777064859867,5,4,57.42268687943135,24.353897926899062,0.0,38.682478666305535,93.48651170730592,7.989275455474853,,11.47281676530838
35,Enzo Fernandez,Chelsea,Midfielder,30.096855976929266,30.096855976929266,6,6,,27.793609132240118,10.493362694978712,2.423541061580181,19.65392380952835,61.5098237991333,79.07420992851256,7.4262745678424835
36,Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,29.648920955757294,29.648920955757294,6,6,,42.90890040159769,4.738232865929604,76.11688375473021,0.0,0.0,76.11688375473021,20.921525359153744
37,Luis Diaz,Liverpool,Midfielder,29.194518520186346,29.194518520186346,6,6,,40.653866561154054,1.5955736860632896,42.29370355606079,6.6757336258888245,13.726544380187988,18.96604001522064,91.90951585769652
38,Bobby De Cordova-Reid,Fulham,Midfielder,29.154164840777714,29.154164840777714,6,6,,28.64943430779667,0.0,0.0,45.43544054031372,0.0,9.094054996967317,120.39549350738524
39,James Maddison,Spurs,Midfielder,28.76508543267846,28.76508543267846,6,6,,17.269169879931656,1.6898861154913902,12.990929186344149,26.696529984474182,100.56852102279665,21.58321887254715,9.061427414417269
40,Cody Gakpo,Liverpool,Forward,28.261282294988632,28.261282294988632,6,6,,23.406289348211875,45.55017054080963,101.25278234481813,0.0,0.0,22.76474088430405,0.0
41,Keane Lewis-Potter,Brentford,Midfielder,28.028614694873493,33.63433763384819,6,5,,27.06725282712209,60.76682209968567,2.5479100644588466,52.818846702575684,0.0,52.03810930252075,0.0
42,Carlos Henrique Casimiro,Man Utd,Midfielder,27.206550755848486,27.206550755848486,6,6,,24.17886962442032,2.5244636461138725,0.0,0.0,111.62420511245728,49.09063577651978,0.0
43,Martin Ødegaard,Arsenal,Midfielder,26.076780166476965,26.076780166476965,6,6,,34.542686582412585,2.744203992187977,23.45794588327408,27.412900328636173,9.648551791906355,80.3106427192688,12.88643628358841
44,Jay Rodriguez,Burnley,Forward,25.65540626645089,64.13851566612722,5,2,140.48239956750174,59.58087657542693,9.767139703035356,0.0,0.0,39.088788628578186,,79.42110300064088
45,Norberto Bercique Gomes Betuncal,Everton,Forward,24.73132113615672,24.73132113615672,3,3,,29.734448964362247,47.01250195503235,0.0,27.181461453437805,,,
46,David Brooks,Bournemouth,Midfielder,24.581289912263554,24.581289912263554,6,6,,18.820007728067935,34.08990502357483,0.0,104.04340028762816,0.0,0.0,9.354434162378313
47,Neal Maupay,Brentford,Forward,23.120645123223465,46.24129024644693,6,3,,35.82206657221509,0.0,1.1835839599370956,0.0,0.0,23.809105157852173,113.73118162155151
48,Jordan Ayew,Crystal Palace,Midfielder,22.254954526821773,22.254954526821773,6,6,,23.779751651450074,0.0,0.0,50.50008296966553,51.60037279129028,19.514991343021396,11.91428005695343
