,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Erling Haaland,Man City,Forward,108.7232302024354,108.7232302024354,7,7,92.26862435200857,17.72038731511301,80.247577771031,129.59005438422105,119.94132035760936,146.49400831412228,16.569986820104567,250.49927645484644
2,Aleksandar Mitrovic,Fulham,Forward,76.8593782374654,76.8593782374654,7,7,78.75897610365486,9.978967355089347,26.517003905872468,66.17743687579485,64.65674942422335,155.6559191920415,106.67692536425635,108.35264554497999
3,Harry Kane,Spurs,Forward,63.99671314140129,63.99671314140129,7,7,43.16716077275599,49.48452187471642,64.33297056735023,33.136093288963615,106.28155220128347,106.73163476314215,73.78251493470073,14.22770435965237
4,Gabriel Fernando de Jesus,Arsenal,Forward,56.49508153602733,56.49508153602733,7,7,53.47662915420687,83.30420470887532,5.1915110220556,120.31736777234684,19.293331960233623,9.566418475621573,144.33517132362266,13.45756548943572
5,Antony Matheus dos Santos,Man Utd,Midfielder,55.00069448933692,55.00069448933692,1,1,25.49120551498429,,55.00069448933692,,,,,
6,Marcus Rashford,Man Utd,Midfielder,54.53940498555326,54.53940498555326,6,6,25.27741138652771,,139.7390633987908,11.505760542206605,6.660376132688356,100.28814906331469,9.082808230547597,59.96027254577154
7,Wilfried Zaha,Crystal Palace,Midfielder,52.305909778326715,62.76709173399206,6,5,82.34031882687673,,7.894675791644147,29.80417056016454,0.0,135.7305637503358,135.61588883093424,4.7901597368816144
8,Alexander Isak,Newcastle,Forward,50.27151955258836,67.02869273678448,4,3,77.44173379091322,64.60011861706077,84.33474376889252,52.15121582440012,0.0,,,
9,Ivan Toney,Brentford,Forward,45.65797038141371,45.65797038141371,7,7,51.753873689539745,23.625622803690227,121.80411440520766,25.700911790787742,44.75108347571387,53.1946255004692,1.664828131092723,48.86460656293455
10,Rodrigo Moreno,Leeds,Midfielder,43.43728327647784,52.12473993177341,6,5,56.97212327635319,,0.0,4.416864129077859,36.58087244923057,62.72542331673841,140.8164566761213,16.08408308769891
11,Raheem Sterling,Chelsea,Midfielder,42.490061649710576,42.490061649710576,6,6,45.02731171155841,,0.0,72.53459987553377,96.08719784063676,7.691236117156499,27.896343510590906,50.7309925543455
12,Miguel Almiron Rejala,Newcastle,Midfielder,41.86849130894929,41.86849130894929,7,7,48.372844908482676,8.328440469058767,20.584019145593686,0.0,22.74652311620643,230.60532144708054,6.237023527470472,4.578111457235143
13,Callum Wilson,Newcastle,Forward,41.158803380673,96.03720788823699,7,3,110.95677960644387,0.0,0.0,0.0,0.0,236.69432666740173,0.0,51.417296997309265
14,Mohamed Salah,Liverpool,Midfielder,40.081941406423276,40.081941406423276,6,6,29.70162879515756,,18.97554178586022,6.757164278392267,130.4548686721585,15.908002982430565,39.70937747515918,28.686693244538862
15,Luis Diaz,Liverpool,Midfielder,39.24613025784805,39.24613025784805,6,6,29.082273753790794,,11.853680329377823,84.46414132971118,37.010709797699135,71.48116142528256,17.629209876305804,13.037878788711804
16,Alexis Mac Allister,Brighton,Midfielder,37.129287628272884,37.129287628272884,6,6,33.862664246767736,,70.49110230640926,55.73427356649749,0.0,90.06190590897083,2.668772834475361,3.819671153284352
17,Bruno Borges Fernandes,Man Utd,Midfielder,36.75626152217142,36.75626152217142,6,6,17.035447008870612,,60.02383006015748,0.0,86.25703659083356,52.946823029542685,9.218605574588842,12.091273877905927
18,Darwin Nunez Ribeiro,Liverpool,Forward,36.23879529598512,72.47759059197024,6,3,53.70754050813331,,34.02861915821617,0.0,0.0,0.0,60.92610967990317,122.47804293779139
19,Pascal Groß,Brighton,Midfielder,34.62875465296022,34.62875465296022,6,6,31.58212739864069,,3.098768749732881,4.2740316149433095,21.737446626396462,0.0,50.40908444311119,128.25319648357748
20,Roberto Firmino,Liverpool,Forward,33.75913843743192,40.51096612491831,6,5,30.019545854201123,,17.70366857537107,19.297504967625386,163.7288936167168,1.8247634648782793,0.0,0.0
21,Solly March,Brighton,Midfielder,32.815493024007374,32.815493024007374,6,6,29.928395973801244,,48.868259668421274,3.694101099113859,66.22228767901987,51.38396153880733,21.053933721099984,5.670414437581904
22,Bobby De Cordova-Reid,Fulham,Midfielder,32.24604438341069,32.24604438341069,7,7,33.04301306190462,33.719357540839184,0.0,15.875961518282518,62.081782684252076,94.11682584459984,15.380380278476894,4.5480028174243445
23,Taiwo Awoniyi,Nott'm Forest,Forward,31.163660865394824,31.163660865394824,7,7,34.38755752093411,54.34406060044899,17.766605865500573,64.4382758642404,0.0,6.277212644552628,75.31947108302118,0.0
24,Son Heung-min,Spurs,Midfielder,30.589643415201206,30.589643415201206,7,7,20.633373035388267,33.70341446081319,47.524110139733494,17.650805876812644,8.78702669942683,31.68159656975919,31.25741707981288,43.5231330800502
25,Christian Eriksen,Man Utd,Midfielder,29.654169879663147,29.654169879663147,6,6,13.743836251473185,,52.06566228369115,6.292905341496279,47.829786428632886,12.707317543682178,45.8837127283365,13.145634952139913
26,Patrick Bamford,Leeds,Forward,28.80226695652118,43.20340043478177,6,4,47.2211364267673,,91.15885581462865,9.124286414371971,0.0,0.0,22.13733036599623,50.39312914413024
27,Gabriel Martinelli Silva,Arsenal,Midfielder,28.211008196631553,28.211008196631553,7,7,26.70373388939162,9.542602024518667,31.606774634688627,19.694167862064063,28.0630052936676,39.90371604975979,3.616260927716974,65.05053058400516
28,Sasa Kalajdzic,Wolves,Forward,25.83434142899081,51.66868285798162,2,1,40.66790274164826,0.0,51.66868285798162,,,,,
29,Tomas Soucek,West Ham,Midfielder,25.1562003542599,25.1562003542599,7,7,21.21559751398394,1.3362970752849614,0.0,89.88331066709435,0.0,42.605003005342624,42.268791732097355,0.0
30,Bukayo Saka,Arsenal,Midfielder,24.96093236551702,24.96093236551702,7,7,23.627305017743264,21.590964544809452,60.667733361651884,54.65809446796705,11.298031868293442,3.1530001087231256,6.145527684976778,17.21317452219745
31,Che Adams,Southampton,Forward,24.49089135676068,28.572706582887463,7,6,35.38901700263035,1.6515581291181576,66.3531504381173,0.0,40.61965051243773,61.669965176942405,1.1419152407091828,0.0
32,Kevin De Bruyne,Man City,Midfielder,22.691077245860015,22.691077245860015,7,7,19.25691941494366,6.6921318908159595,56.83103363079255,29.616573822133002,4.2327241901278825,35.419773206307696,16.46990213054724,9.575401850295776
33,Jarrod Bowen,West Ham,Midfielder,22.221510706448864,22.221510706448864,7,7,18.74061347348392,21.53741824613196,2.807827046940199,75.68395863209197,13.544559981040548,21.835369618052045,10.386302880575629,9.75513854030971
34,Leandro Trossard,Brighton,Midfielder,22.16233448682746,22.16233448682746,6,6,20.212499069886118,,29.06831203238557,3.2976472866222535,20.22879140731151,61.890740268415385,11.652809416441603,6.835706509788457
35,Anthony Gordon,Everton,Midfielder,21.333201408237535,21.333201408237535,7,7,22.875434463714274,0.0,9.09893674285337,25.852908480845915,52.01580084085596,47.12091169073448,11.370315336912832,3.873536765460186
36,Yoane Wissa,Brentford,Midfielder,20.979555905152733,20.979555905152733,7,7,23.780585893496156,0.0,52.20892832429956,22.203414051288362,43.9382382634658,20.4024555671658,3.064176484178575,5.039678645671038
37,Renan Augusto Lodi dos Santos,Nott'm Forest,Defender,20.902319853685196,20.902319853685196,3,3,23.064675533281772,5.959567510851368,1.3486404940778631,55.39875155612635,,,,
38,Michail Antonio,West Ham,Forward,20.44055767390623,20.44055767390623,7,7,17.23863852505593,8.663166898943414,83.93280311158217,6.7652285027162,0.0,0.0,16.088901183922207,27.633804020179603
39,Kai Havertz,Chelsea,Forward,20.425404049622482,20.425404049622482,6,6,21.645085915829533,,13.780449790031248,14.769391896072605,0.0,0.0,77.92840333891293,16.07417927271809
40,Odsonne Edouard,Crystal Palace,Forward,20.311296817593256,20.311296817593256,6,6,26.64515129736737,,15.378442876696958,0.0,0.0,19.436285522523534,0.0,87.05305250633903
41,James Maddison,Leicester,Midfielder,20.11068818661207,23.462469551047416,7,6,34.387750214761674,65.85778831130763,0.0,16.62046402133617,0.0,10.288777353840436,21.829797235692336,26.177990384107904
42,Emiliano Buendia Stati,Aston Villa,Midfielder,19.078079280507787,19.078079280507787,7,7,20.902028999009534,0.0,0.0,29.432368648998892,0.0,6.88363926429064,97.23054705026497,0.0
43,Brennan Johnson,Nott'm Forest,Forward,19.03675992912963,19.03675992912963,7,7,21.006122480368767,0.0,60.65405241828665,15.155461881358656,15.01674334282102,29.628192380095726,12.802869481345349,0.0
44,Luis Sinisterra Lucumi,Leeds,Midfielder,18.839768806581954,22.607722567898342,6,5,24.710146445273114,,7.408322072233638,1.9127269819786028,103.71756378527947,0.0,0.0,0.0
45,Bryan Mbeumo,Brentford,Forward,18.754915987813263,18.754915987813263,7,7,21.25892905406811,15.119869386303426,40.02848265022704,0.0,22.210182494098166,7.816925608581869,35.4677197401469,10.641232035335426
46,Phil Foden,Man City,Midfielder,18.4879503523834,18.4879503523834,7,7,15.689910453602742,44.308006599885196,9.952730440573973,0.0,27.879284070021445,9.44184373664521,37.833787619557974,0.0
47,Ollie Watkins,Aston Villa,Forward,18.159615024758395,18.159615024758395,7,7,19.8957554519737,8.048999196038482,35.932550160385716,0.0,11.021421869413588,26.785388816172464,45.32894513129852,0.0
48,Danny Welbeck,Brighton,Forward,18.002260303371894,18.002260303371894,6,6,16.418426942072575,,22.499203173385162,35.751395329177214,0.0,0.0,13.529932721302421,36.233030596366554
49,Neal Maupay,Everton,Forward,17.891272820586938,62.619454872054284,7,2,67.14637942367482,13.488495463106204,111.75041428100236,0.0,0.0,0.0,0.0,0.0
50,Ryan Sessegnon,Spurs,Defender,17.646267614973397,20.587312217468963,7,6,13.88658530644887,0.0,52.33528563476448,0.0,0.0,0.0,23.74630486167672,47.44228280837258
51,Neco Williams,Nott'm Forest,Defender,17.572730989620098,17.572730989620098,7,7,19.39063899827247,2.689637785362525,5.241995757917878,0.0,22.071790775600597,11.569419400611862,79.06201261491836,2.3742605929294793
52,Youri Tielemans,Leicester,Midfielder,17.452141016906534,17.452141016906534,7,7,25.578716882144533,109.20864377673746,0.0,0.0,4.29719551070911,0.0,0.0,8.659147830899185
53,Jack Harrison,Leeds,Midfielder,16.965239149589863,16.965239149589863,6,6,18.542935610007227,,0.0,8.293934749747,6.033803639735201,87.46369650805698,0.0,0.0
54,Jadon Sancho,Man Utd,Midfielder,16.588840063384378,16.588840063384378,6,6,7.688439850389864,,9.277157816752139,56.29070244485877,0.0,33.965180118695365,0.0,0.0
55,Brenden Aaronson,Leeds,Midfielder,16.368034118544863,16.368034118544863,6,6,17.890193002667825,,1.567001336300789,6.920288819788239,0.0,80.3033365182269,6.093517920038723,3.3240601169145227
56,Daniel Castelo Podence,Wolves,Midfielder,16.35123182629511,16.35123182629511,7,7,12.869890789468625,5.5194289815911235,27.210880848503084,27.807814587842294,0.0,12.253302626626352,27.592054977878973,14.075140761623937
57,Jean-Philippe Mateta,Crystal Palace,Forward,16.221038899611553,19.465246679533863,6,5,25.535269730660872,,26.83186942286564,13.34167726062843,0.0,46.671133403279605,0.0,10.481553310895656
58,Eberechi Eze,Crystal Palace,Midfielder,16.06924561680282,16.06924561680282,6,6,21.0802630939546,,6.973396395177197,1.627991332219338,0.0,23.224385647633177,0.0,64.5897003257872
59,Joe Ayodele-Aribo,Southampton,Midfielder,16.063353647748347,16.063353647748347,7,7,19.895430406998678,0.0,17.703478832233337,0.0,12.907206614881733,0.0,75.59215005031409,6.240640036809269
60,Martin Ødegaard,Arsenal,Midfielder,15.865566179091946,18.509827208940603,7,6,17.52087329460237,0.0,12.39874375958863,25.912911247825942,11.14984845212438,49.82808506491477,3.5737999508247804,8.195574778365131
61,Kelechi Iheanacho,Leicester,Forward,15.66858346689516,18.28001404471102,7,6,26.79208834024018,0.0,91.72792701495814,2.2065850399648124,8.931318830630724,0.0,6.81425338271245,0.0
62,Allan Saint-Maximin,Newcastle,Midfielder,14.983391578033965,26.22093526155944,7,4,30.294409832046323,0.0,0.0,0.0,24.684144142242307,54.58245463200167,0.0,25.61714227199378
63,Ilkay Gundogan,Man City,Midfielder,14.967883113589062,14.967883113589062,7,7,12.702584183537125,0.0,0.0,3.754331748181201,3.9400800358182027,46.936253696883455,33.633430063875224,16.511086250365345
64,Matheus Luiz Nunes,Wolves,Midfielder,14.541909919283913,14.541909919283913,5,5,11.445791639410686,0.0,5.561218439669011,2.9398673314992267,46.87922016627811,17.329243658973212,,
65,Joe Willock,Newcastle,Midfielder,14.466595260850918,14.466595260850918,7,7,16.714009677185416,4.84832540516591,14.980120273181155,0.0,57.29801321244694,0.0,12.072189826526428,12.067518108635976
66,Anthony Elanga,Man Utd,Midfielder,14.24579082914151,17.094948994969812,6,5,7.923006466462587,,0.0,3.1156866729771746,47.59228124554342,34.766777056328465,0.0,0.0
67,Ben Mee,Brentford,Defender,14.045304143613562,14.045304143613562,7,7,15.920525825117467,0.0,0.0,34.65892855695747,0.0,4.310250421085123,59.347950027252345,0.0
68,Jeffrey Schlupp,Crystal Palace,Midfielder,13.71670261856381,13.71670261856381,6,6,17.99410544067541,,8.887998753986993,15.467853932124175,0.0,31.645980776330234,0.0,26.298382248941465
69,Gabriel dos Santos Magalhaes,Arsenal,Defender,13.36434538526534,13.36434538526534,7,7,12.650307294464453,2.5623578016175257,1.8283919268766775,19.189820400259627,61.583431273730774,3.9411722020196875,4.445244092353085,0.0
70,Jamie Vardy,Leicester,Forward,13.2467574858446,13.2467574858446,7,7,19.415099786817315,0.0,0.0,0.0,90.60125655713877,2.126045843773445,0.0,0.0
71,Demarai Gray,Everton,Midfielder,13.242627690258264,13.242627690258264,7,7,14.19997196196245,6.579594923111157,11.897121213350147,4.717026228350917,21.454069586737386,30.94105280200736,8.30227553018827,8.807253548062604
72,Amadou Onana,Everton,Midfielder,13.173724203779523,13.173724203779523,6,6,14.126087261813451,15.053332300461241,7.251435015396983,47.36127462301218,0.0,0.9802085565462272,8.396094727260516,
73,Vitaly Janelt,Brentford,Midfielder,12.96834176128246,12.96834176128246,7,7,14.699775655148484,0.0,0.0,0.0,85.74467095608534,0.0,5.033721372891871,0.0
74,Harvey Barnes,Leicester,Midfielder,12.95348208492797,18.134874918899158,7,5,26.579365293591223,22.687450514173385,11.461504662995557,33.188484713936475,15.669077910961631,7.667856792428744,0.0,0.0
75,Diogo Dalot Teixeira,Man Utd,Defender,12.879725974884307,12.879725974884307,6,6,5.969374475191566,,0.0,0.0,0.0,1.2838643801110352,6.025367115195655,69.96912435399915
76,Reece James,Chelsea,Defender,12.774892419229632,15.329870903075559,6,5,16.245278280396057,,0.0,0.0,3.253917947762913,1.2218846725584809,64.53668100867411,7.636870886382291
77,Jorge Luiz Frello Filho,Chelsea,Midfielder,12.462125257885196,12.462125257885196,6,6,13.206288171603633,,0.0,0.0,0.0,0.0,6.636809225694119,68.13594232161705
78,Jacob Ramsey,Aston Villa,Midfielder,12.402506454888394,12.402506454888394,7,7,13.588241550361156,79.75000401786505,0.0,0.0,2.6560624625874554,0.0,0.0,4.411478703766251
79,Wesley Fofana,Chelsea,Defender,12.367540438304514,24.73508087660903,6,3,26.212110634799906,,1.499701460181956,0.0,0.0,0.0,71.34444606354816,1.36109510609697
80,Armel Bella-Kotchap,Southampton,Defender,12.338387132860793,14.394784988337593,7,6,17.828807684833865,0.0,4.272985837202296,0.0,59.37448207243386,17.7556584476619,4.965583572727503,0.0
81,Joachim Andersen,Crystal Palace,Defender,12.112083075405794,12.112083075405794,6,6,15.88910294447221,,0.0,0.0,18.92407140101003,0.0,53.74842705142474,0.0
82,Julian Alvarez,Man City,Forward,11.967735557890311,16.754829781046435,7,5,14.219087238953193,7.399542939820674,0.0,67.04163212198854,0.0,0.0,0.0,9.332973843422964
