,Teams,Threat allowed av,Matches,Threat allowed GW6,Threat allowed GW5,Threat allowed GW4,Threat allowed GW3,Threat allowed GW2,Threat allowed GW1
1,Everton,100.89945790047447,6,74.15100820362568,252.76610162109137,120.3390771523118,44.311497174203396,31.53465948998928,82.29440376162529
2,Burnley,105.09337659925222,5,81.43992014229298,78.99831160902977,195.62900941818955,70.66316157579422,98.73648025095463,
3,West Ham,108.29639181805153,6,89.24563145264983,177.6020236313343,45.6021586433053,38.515184074640274,132.90194496512413,165.91140814125538
4,Southampton,108.73807358245055,6,28.705432824790474,198.7078694626689,16.24864973127842,34.71356853842735,234.4843193888664,139.56860154867172
5,Brighton,112.76006281065445,6,29.56538423895836,76.11688375473021,234.1650126501918,157.58275259286162,52.067840937525034,127.06250268965957
6,Chelsea,114.60984121076763,6,64.84272675588727,142.38150101155043,10.324854403734207,91.11851248890162,234.62197482585904,144.36947777867317
7,Leicester,116.26821014409263,6,74.66747350990772,87.37762244418263,203.22747360914946,144.63312169536948,152.40391455590725,35.29965505003929
8,Aston Villa,121.96879331022501,5,238.46892900764942,67.15950481593609,165.70484042167664,53.53976786136627,84.97092444449662,
9,Arsenal,123.6146522530665,6,73.61716106534004,154.09909896552563,14.499417319893837,280.37091232836246,206.46867286413908,12.632650975137949
10,Spurs,132.79403157842657,6,95.04502303898335,158.27867593616247,87.34353706240653,94.27263196557759,235.03156080842018,126.7927606590092
11,Liverpool,137.42757701935867,6,139.7875364869833,135.99792970344424,311.69424820691347,117.8171444684267,92.28727892041205,26.981324329972267
12,Wolves,140.5366610425214,6,25.368521735072136,108.33213608711958,96.93931266665459,309.8528914153576,207.65146650373936,95.07563784718513
13,Sheffield Utd,142.72327286501726,6,265.53993951529264,135.61140075325966,66.71310849487782,146.64131421595812,80.52702955901623,161.30684465169907
14,Man City,145.27813037857413,5,26.407769601792097,83.83222110569477,256.6618546843529,286.7210805416107,72.7677259594202,
15,Crystal Palace,155.30903244701526,6,107.47905820608139,109.35028679668903,251.4334158971906,227.18924637883902,110.13481756672263,126.26736983656883
16,Newcastle,158.34490434887508,6,76.26251354813576,221.72902077436447,43.88487059623003,332.7577270567417,187.65969965606928,87.77559446170926
17,Leeds,163.76440779616436,6,154.10015136003494,61.81912124156952,141.53252635151148,153.27766481786966,155.5031105875969,316.3538724184036
18,Man Utd,185.6309943832457,5,21.990608517080545,86.74957752227783,330.17044477164745,297.78816401958466,191.45617708563805,
19,Fulham,194.17907496293387,6,286.7823727428913,166.36329758912325,91.01026672869921,203.22180166840553,145.7077842205763,271.98892682790756
20,West Brom,204.53579659418514,6,54.68069119378925,112.14596815407275,94.90786418318748,239.28571022115648,427.61159744113684,298.582948371768
