,Teams,Threat allowed av adj,Matches,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj
1,Everton,82.10928410928284,4,97.50808363009611,69.83872922300567,110.03278049248182,51.05754309154778
2,Arsenal,93.95293105519634,4,25.338285347753597,170.92323113672336,155.45036167130905,24.09984606499936
3,West Ham,109.49834165022682,4,37.98927037679776,64.38635677325328,137.05390492683424,198.56383452402198
4,Liverpool,116.90164497877407,4,238.63578724441763,121.49784354897281,79.0000050027188,28.472944118986987
5,Aston Villa,117.2163638865055,3,101.01906258626867,102.1400944547696,148.48993461847823,
6,Southampton,122.66355054452339,4,56.6958431800587,68.50620246164151,145.4800410993688,219.9721154370245
7,Newcastle,127.79990949620458,4,86.60549625545565,206.45136499752607,152.05649005354033,66.08628667829623
8,Brighton,128.38386721227658,4,140.12552894330256,202.32642912458581,62.315125088562155,108.76838569265576
9,Burnley,132.63514407791197,3,234.13004982237027,81.52210853356144,82.25327387780422,
10,Sheffield Utd,138.71411340878427,4,68.79727780831143,154.7481470569491,61.65218384303858,269.6588449268379
11,Spurs,142.99812433764785,4,112.14365576292231,112.82608895597875,271.14932281206836,75.873429819622
12,Chelsea,148.5555149426366,4,16.272858218591978,317.93662736949955,143.03319021178652,116.97938397066837
13,Crystal Palace,159.56531712515286,4,215.2327097091969,135.95119509429847,141.40623890569165,145.67112479142443
14,Leicester,177.61631297182942,4,153.0100612158087,133.52071824651327,300.7646250761027,123.16984734889303
15,Fulham,185.49513329598275,4,152.1431000372987,155.58835270574363,153.7630083340741,280.4860721068146
16,Wolves,194.01730208650162,4,184.93525369386745,233.28838882551915,191.6972587435256,166.14830708309438
17,West Brom,204.73714433458906,4,109.49254225387887,204.83399798636168,255.8849445337101,248.73709256440566
18,Man City,210.45108570213054,3,270.85099888092293,238.85546157192545,121.64679665354326,
19,Leeds,222.0091091945548,4,130.65834680316104,267.85857134160693,296.6599041772967,192.85961445615453
20,Man Utd,249.29622848380993,3,204.84614920249047,241.2911407366283,301.751395512311,
