,Teams,Threat av adj,Matches,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Liverpool,281.88490028635016,4,248.31379518621904,331.5733074473912,296.83833345428803,250.81416505750232
2,Spurs,252.20990235573217,4,183.68827507376938,310.1804681901202,335.34758223603853,179.6232839230005
3,Aston Villa,208.75861373223628,3,345.2361701106536,173.50800723141546,107.53166385463979,
4,Everton,207.34690744466246,4,249.32417497251802,193.1311869622107,245.1152860430825,141.81698180083868
5,West Ham,205.52328785859555,4,230.65171180302815,265.44656431710166,244.17476184426076,81.8201134699916
6,Brighton,196.47894836648612,4,262.6630637603718,165.67259442005468,174.92718806139473,182.65294722412332
7,Newcastle,167.13848382111732,4,244.3168045486571,105.44340278018481,55.43856162552171,263.35516633010565
8,Arsenal,165.6899486350283,4,89.08526238524468,130.49563783625516,210.95845194735372,232.22044237125962
9,Man City,151.4178058886843,3,112.21093060743016,164.1504296147033,177.89205744391944,
10,Chelsea,147.1026865577598,4,213.74090027665397,137.16322395805642,102.2184621875548,135.28815980877397
11,Leicester,144.74685407990802,4,72.38540260169877,212.1386219075993,123.30983742665657,171.15355438367754
12,Leeds,135.00097496524825,4,189.89846175989604,195.81728760920728,124.40332223542003,29.884828256469614
13,Southampton,128.2181855285661,4,54.403034006116634,88.24968181788621,262.88146427721205,107.33856201304944
14,Man Utd,119.70063355194532,3,97.69324953269755,167.7842019841194,93.62444913901902,
15,Crystal Palace,103.97512022794105,4,13.06276863724036,96.71832195334173,106.51545429937576,199.60393602180633
16,Wolves,102.01988218303973,4,77.70332655283799,61.136077511775,53.83924012570451,215.40088454184138
17,Burnley,87.84091829223293,3,40.90732866942657,49.645585301766495,172.96984090550572,
18,Sheffield Utd,86.86291177105548,4,17.147355682841447,121.52280365454828,127.33154128510483,81.44994646172734
19,Fulham,75.37609749448819,4,83.0465301681847,80.23098732187597,123.28719907145236,14.939673416439765
20,West Brom,61.85314718212953,4,23.23799483132175,115.28104907528137,68.83042875421906,40.063116067695944
