,Teams,Opponent xG av,Matches,GW4,GW3,GW2,GW1
1,Arsenal,70.51114644855261,3,170.64577169641532,21.13354690372944,69.38942521810532,121.01046722382307
2,Brighton,79.370441660285,3,133.48309064712436,76.99308004230261,18.395203724503517,142.72304121404886
3,Man City,86.09457376102607,3,165.5181473707422,221.27037346363068,12.39459291100502,24.618754908442497
4,Spurs,97.11684401457508,3,59.84636281429771,68.75064028427005,183.94529968500137,38.65459207445383
5,Leeds,106.80160541087389,3,137.80453954217938,69.24922373145819,140.90596651658416,110.24962598457932
6,Wolves,115.54725573708613,3,124.14363245294491,148.40282518416643,109.32195717468859,88.9169848524034
7,Southampton,129.65349853038788,3,152.4193286259255,24.29477460682392,202.94547043740747,161.72025054693222
8,Bournemouth,134.39928758889437,3,129.9907874324652,184.70138646662235,169.60697695612907,48.889499343931675
9,Brentford,146.8919077888131,3,106.12449712484901,305.50236627459526,89.60382342338562,45.56953366845846
10,Liverpool,147.07351457327604,2,27.815516782150272,129.7545271632577,167.32547245919704,126.82155668735503
11,Crystal Palace,151.30384250854453,3,162.12947732786932,80.38279041647911,223.7371458671987,149.79159124195576
12,Man Utd,157.4624489992857,2,120.53677018279437,216.6929944347009,138.78520596772432,176.13969203084707
13,Chelsea,159.4728585643073,3,69.00208823474786,264.60416056215763,158.70767021551728,55.10674491524696
14,Fulham,163.66675024231276,3,216.5391139150651,159.35217831283808,97.53750246018171,234.11056995391846
15,Leicester,174.8676330472032,3,192.8042169660943,124.15457274764776,307.29103311896324,93.15729327499866
16,Aston Villa,179.2162662061552,3,184.03256667773735,336.895751953125,141.48952141404152,59.26352525129914
17,Nott'm Forest,179.82816329846779,3,258.0649069578252,144.0906599164009,209.48390755802393,185.90992242097855
18,Everton,183.7883366892735,3,158.50013385651712,92.35402122139931,266.69643744826317,192.31455139815807
19,Newcastle,184.29030623907843,3,94.25253007733103,368.2589441537857,160.8352460898459,23.776728473603725
20,West Ham,216.179607467105,3,147.47438857900923,182.6449867337942,207.15433154255152,258.73950412496924
