,Teams,Opponent xG av adj,Matches,GW6,GW5,GW4,GW3,GW2,GW1
1,Newcastle,88.68238344654847,5,51.77609295569494,57.378231393217725,102.97945138371423,67.8529151264713,80.22715062000351,134.97416870933557
2,Man City,124.69505198613756,5,95.3424024927292,97.32048795103952,266.10354834977727,167.53431728525638,27.17100083016711,65.34590551444751
3,Arsenal,125.2249699558912,4,125.543343722057,108.58280430747303,98.26252205517645,120.05589092480719,123.96363426216283,158.61783258141833
4,Liverpool,127.54579036211571,5,133.74484075679385,65.06522018669544,51.6991904178833,171.38888298630962,196.81687895564656,152.75877926404362
5,Chelsea,133.63098982707658,4,169.93633793788158,128.23525873968782,188.8524982444925,56.57839000348953,186.06466507611105,103.02840598421322
6,Crystal Palace,141.60161210456494,5,139.66918066083397,194.74217775707518,137.55001907873543,85.93006171086684,196.87787846610536,92.90792351004178
7,Brentford,148.67078203414707,5,128.912711558557,162.2614795663426,274.4254103807762,124.90206875339243,56.366806029390396,125.39814544083369
8,Nott'm Forest,169.7158314382826,4,213.53823779974417,104.92355493203094,180.56893980890788,302.14318286752246,121.11512456530278,75.03607851139728
9,Man Utd,181.68874546573176,5,112.32557919817832,144.90458352542456,170.06274976850648,157.64089652309204,220.16738169856723,215.6681158130686
10,West Ham,195.8848354211898,5,230.9066210969192,285.3915644257526,267.7875912664855,102.81298917393866,127.27595082596615,196.1560814138061
11,Aston Villa,199.46929377652208,5,244.92026457889673,128.9303714227524,217.39702285244488,132.48596091220892,61.8593026955083,456.67381099969595
12,Spurs,199.48131424094586,5,218.3010835431435,167.21602076452226,350.0237128901924,63.07573500556966,244.19054581252385,172.90055673192117
13,Burnley,209.4543726536056,3,238.6442526733112,160.14976362993315,207.19890090934004,259.2507714072851,,161.91344564419168
14,Brighton,211.41345013151786,5,202.87703109695943,71.83831449101433,95.59745781223296,335.37989735791126,325.1472003588282,229.10438063760236
15,Wolves,219.15270681841062,5,163.33631391948157,224.0585410885811,272.2413478869838,166.9905931676787,235.81498498029842,196.65806696851112
16,Fulham,227.9820600919266,5,199.59694599390698,177.0037438482211,133.60347543298516,288.49739900978943,318.73471450860694,222.07096766003033
17,Bournemouth,234.1578839049708,4,271.68063413218465,287.5129790327169,278.1490678501355,196.53908064135993,300.7557471430376,161.18763998535022
18,Sheffield Utd,236.74349001705917,5,262.0880459947994,163.78912350464716,279.55324223258117,251.95699607181518,225.36287840679566,263.0552098694567
19,Luton,244.31244727946324,4,214.00984519706225,247.6587883052639,133.13994182433606,269.8704358568808,,326.58062313137225
20,Everton,257.328811328931,4,260.8924789851802,281.6061171129189,364.319246069625,169.66207675742052,272.4263239031691,222.90759858550948
