,Teams,xA av,Matches,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,204.207924567163,7,154.59776330065256,127.89178946986794,162.23792880773544,284.46875661611557,234.63196083903313,286.1281007528305,164.38889391720295,169.7080415673554
2,Liverpool,171.74279016132155,6,105.740952456041,,106.97411224246025,147.8552675805986,280.52608221769333,133.70351567864418,193.94842451438308,167.44933873414993
3,Arsenal,141.40158042843854,7,112.87190205176893,123.76834005117416,90.34403748810291,183.6032895371318,216.61646962165833,113.58563974499702,169.00008097290993,92.89320558309555
4,Spurs,132.1788232374404,7,79.16220460792499,146.81604951620102,166.47599563002586,46.91566592082381,138.11596184968948,127.91682332754135,151.28124775364995,147.73001866415143
5,Man Utd,123.48691093114515,6,72.0609430689041,,202.90402863174677,105.96282407641411,110.17211675643921,189.29418362677097,50.59931306168437,81.98899943381548
6,Brighton,120.20122859006126,6,104.22112109149369,,157.93727058917284,50.41556600481272,159.68884713947773,101.47657804191113,141.5719624608755,110.11714730411768
7,Brentford,114.96304042105164,7,116.16335775344066,42.15321242809296,86.2953744828701,159.4793450087309,180.90302031487226,146.93012312054634,99.30394142866135,89.67626616358757
8,Newcastle,113.21086532303265,7,170.9596943633082,55.0104396417737,183.69127921760082,54.4870488345623,86.73449084162712,214.7013045847416,18.395203724503517,179.4562904164195
9,Leeds,112.29976308532059,6,123.90921328447192,,148.35219429805875,44.927178509533405,36.98369022458792,173.34275599569082,199.07779209315777,71.11496739089489
10,Chelsea,103.51135108309488,6,115.94831161357236,,62.427567690610886,89.29834151640534,124.64984450489283,66.06999151408672,174.80888962745667,103.8134716451168
11,Crystal Palace,100.52765089397629,6,155.09854170092365,,73.55824019759893,58.705538511276245,9.197596460580826,184.20923575758934,167.32547767460346,110.16981676220894
12,Southampton,93.31943404727748,7,114.06824333014292,9.102541208267212,102.54278369247913,139.23938181251287,128.62802892923355,122.76193052530289,119.33183399960399,31.629538163542747
13,Wolves,82.94683263770172,7,63.96002061863723,20.2448520809412,110.03878116607666,133.73228553682566,67.18020103871822,54.894649889320135,88.32374811172485,106.21331064030528
14,Everton,80.90270510209459,7,85.21274391078721,32.229290157556534,120.70689536631107,109.73321795463562,114.12447169423103,94.6030581369996,58.07028524577618,36.85171715915203
15,Leicester,74.63928370603493,7,131.6294858857063,76.79725158959627,98.92540723085403,45.87808474898338,194.27586682140827,11.786327511072159,67.26317256689072,27.548875473439693
16,Aston Villa,69.05646877629417,7,76.85125385268017,57.59609416127205,23.39368909597397,28.46536822617054,29.10365406423807,65.6690607778728,246.51410281658173,32.65331229194999
17,Nott'm Forest,66.86437592974731,7,89.61599975919343,97.70681895315647,49.7807327657938,65.04916101694107,68.59514992684126,44.7024405002594,133.06946605443954,9.146862290799618
18,Fulham,66.4675093122891,7,76.27991663375529,113.44128772616386,25.805772747844458,62.5136255286634,50.37629809230566,146.07399329543114,29.009268805384636,38.05231899023056
19,West Ham,53.252759150096345,7,53.45830566213947,42.55664832890034,42.6689563319087,131.16516061127186,12.76227068156004,58.25561732053757,70.69449946284294,14.666161313652992
20,Bournemouth,40.66870468003409,7,41.16955178460131,92.05872770398855,89.08915258944035,23.232245445251465,13.36502619087696,15.92976488173008,6.8803053349256516,44.12571061402559
