,Teams,xA av adj,Matches,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW10,GW1
1,Man City,182.11838800995457,20,298.9766486145997,124.54175982524536,154.85194783999546,244.25216866379782,220.33421021810886,402.3264754917829,135.4394580465561,235.31359274575283,208.84151817862755
2,Liverpool,169.62610277778822,19,190.23451120309687,,87.14539327441142,207.90030191778618,231.12444969797056,166.12886443339391,182.12982416944416,110.25365321304966,118.34506091239349
3,Arsenal,150.6776887961324,19,160.91385273397057,126.43179627231699,112.25401960972117,175.2447759232796,153.09397923781592,93.58287462764868,163.18938530821362,129.26888292601484,87.23257961854839
4,Man Utd,140.29831312427646,20,48.44107928743276,,328.2954587606085,102.31944038511939,105.67158259091119,158.00568513069888,51.68816299388241,145.29644701516466,88.84571834758673
5,Newcastle,134.4905747716081,20,289.47283010159305,45.322858573428384,172.49767823644908,45.480910144361445,84.46262271853773,344.38770975707797,19.933583755984625,145.90714472935235,154.0857662871729
6,Brighton,129.91031797327133,19,160.23228723689152,,152.50690661156295,35.63125822284362,135.0957751195731,124.87635254359444,199.06525569188562,96.8460960867835,136.82226227322948
7,Spurs,123.41033263905699,20,116.29034851102523,141.76804897021015,117.6571471379083,57.73407339617244,118.58995387433794,124.56604724703762,154.28971157624034,77.95667105710581,141.69509086166056
8,Brentford,99.85992812496166,20,66.10946279664095,68.20323446873137,73.00537044592204,149.7611576912587,147.37083830284212,103.84301565302933,123.38680311822068,39.283374983820124,86.59293412902065
9,Leeds,97.52722404423722,19,25.931942409914498,,151.54460610847318,36.59946124709165,40.07655783781128,176.79001994228472,190.94525492902716,71.0521572837719,69.25212925340516
10,Chelsea,94.52045732010346,20,65.48215409235443,,76.8229315718948,85.6504736046894,120.36397164699558,55.89482961564161,188.16166625726692,213.83700539547388,84.57055152746744
11,Southampton,90.75795106990536,20,139.9989471004189,8.688144378233766,99.85679979284254,142.0085070078884,159.8224588256403,118.54092665280103,100.95400822151431,6.169035373730468,34.045480579967176
12,Leicester,82.51308301976047,20,84.88199789473055,82.66342942156415,107.19851649450995,57.00423845634074,198.13928680720971,11.304839802945349,108.8307495197564,84.96169391033894,28.141667481197512
13,Aston Villa,81.14227459275529,20,96.66709056879886,55.243159801977015,37.52423044511487,46.05657788478662,35.81477905531788,61.667293707968796,200.82009313036437,41.27118567810169,26.902939495338156
14,Fulham,79.43951163448631,20,96.13560484017258,97.40369949524612,27.77692864638441,67.74159798540995,81.50812616217634,149.21745415073931,28.249393822921455,39.5863749661583,31.762647996803643
15,Crystal Palace,77.23137201323306,20,72.39864367326602,,103.43071478384941,59.96883578759047,14.753265600064513,175.8229814319449,139.66814716825724,128.72242205380104,178.25306731284067
16,Nott'm Forest,76.83372129032803,20,104.42432992185877,69.05443983431809,41.014102170500784,104.34105031282951,73.83478413884937,36.416404456306225,163.75430177266097,18.119777391452747,12.861462093090267
17,West Ham,70.7627545604374,20,65.75632074540938,34.66836563337969,43.51750107751451,141.1841983372805,12.181273748353373,63.127461733696144,60.70015309263792,96.75792528257449,23.525022786925092
18,Everton,66.5479922646021,20,173.85359941503515,39.661168302977025,100.7553174087994,92.83361181476342,116.58039748905144,81.22866610845865,55.42665328588966,35.63660563737559,37.58461777337014
19,Wolves,65.58310054909893,20,42.764306029275005,32.473431984881145,105.54363526115458,110.18164643391113,94.46260485944964,59.087758724411714,62.42293674135274,56.79365588535945,89.8558399546149
20,Bournemouth,65.0880308017091,20,64.37622492085994,129.44442341499166,76.4941602133388,22.62364991682283,11.155919569831912,25.7741131234793,11.036252491586389,78.18139234640108,42.116845972773845
