,Teams,xG av adj,Matches,GW6,GW5,GW4,GW3,GW2,GW1
1,Aston Villa,232.23298475006305,5,169.93633793788158,300.7035491256074,90.29264060054571,212.37726522819327,300.37709216378744,257.4143766321813
2,Man City,229.77254387455454,5,213.53823779974417,359.8662629438663,145.02188465156817,277.5450366418462,196.2773433575317,170.1521917779605
3,Chelsea,224.22989005288315,4,244.92026457889676,287.5129790327169,248.8340726992905,231.63738510080088,132.943062471477,283.50503993996426
4,Liverpool,215.26846015949823,5,230.9066210969192,210.55519759027572,262.69781758958067,137.14221500662316,260.7898419230634,205.157228687948
5,Brighton,211.88232588979994,5,271.68063413218465,193.53997989016358,220.74961276967636,113.59221316397306,235.02961522935985,296.500208395827
6,Man Utd,208.06852210432595,5,238.64425267331123,70.76384112174308,185.5545910200475,329.8333146826545,307.40080983967516,146.79005385750966
7,Newcastle,202.1687386351578,5,262.0880459947995,212.95381337938161,88.92862310620896,237.95351958990457,57.07541440277187,413.932322697522
8,Arsenal,199.84740098775615,4,218.30108354314348,281.6061171129189,190.61018779754843,230.2536950146711,286.7418187159155,91.78390242288962
9,West Ham,191.49425213074133,5,133.74484075679385,198.78613318587333,83.12945940609004,303.3685966748584,270.2417722942172,101.94529909266775
10,Brentford,185.14755431088307,5,260.8924789851802,101.50908442873556,211.11031276841084,123.08333953429614,250.18087411050033,239.85416071247238
11,Spurs,183.08281840926912,5,125.54334372205702,136.9908314807517,165.32612231069515,156.62865197165647,254.8240256830609,201.6444606001813
12,Fulham,180.1263388327955,5,139.66918066083397,119.20705285308065,419.0193585163244,160.4897190505094,55.4540667207335,146.46149702332957
13,Bournemouth,175.2447843038741,4,202.87703109695943,128.23525873968782,292.9908393537704,61.00117095728244,222.295952425391,124.69117447905246
14,Wolves,159.96795500398744,5,214.00984519706228,79.04547963894264,147.7402093508992,130.12538899039504,264.6634042413,178.26529279840028
15,Crystal Palace,159.88144042748164,5,199.59694599390698,106.97277455046095,175.66033351503233,150.04945214068138,202.3544923330522,164.37014959818126
16,Everton,158.348863858575,4,128.912711558557,108.58280430747304,235.1629703464983,145.05743200257055,69.09576146408867,184.07929162114235
17,Nott'm Forest,139.6309538593967,4,95.3424024927292,160.14976362993318,181.5717219323516,95.85314602557501,99.02364412747069,182.07530335218945
18,Luton,136.10708895629122,4,163.3363139194816,103.55688679686614,181.9999191363793,73.50338284128173,,185.36816705063768
19,Burnley,112.90039843685175,3,112.3255791981783,104.92355493203094,209.2733723542602,60.39395589309582,,69.03386706319921
20,Sheffield Utd,106.61952727098351,5,51.77609295569494,95.56311833105796,153.51012757828641,169.17785902657937,60.02281595096392,54.823715468029896
